Opponent,Wins,Draws,Loses,Equity%
KcQc,1891986,18120,1514502,55.51
KcJc,1880954,17766,1525888,55.18
KcTc,1866830,17872,1539906,54.77
Kc9c,1929202,17892,1477514,56.59
Kc8c,1971022,17644,1435942,57.81
Kc7c,1970886,17396,1436326,57.8
Kc6c,1972182,17798,1434628,57.85
Kc5c,2436542,99446,888620,72.6
Kc4c,2127330,19332,1277946,62.4
Kc3c,2130912,19628,1274068,62.51
Kc2c,2134494,19924,1270190,62.62
QcJc,1839192,17468,1567948,53.96
QcTc,1825068,17574,1581966,53.55
Qc9c,1887440,17594,1519574,55.37
Qc8c,1929260,17346,1478002,56.59
Qc7c,1970886,17420,1436302,57.81
Qc6c,1961150,17444,1446014,57.52
Qc5c,2424086,99128,901394,72.23
Qc4c,2116298,18978,1289332,62.07
Qc3c,2119880,19274,1285454,62.18
Qc2c,2123462,19570,1281576,62.29
JcTc,1783522,17276,1623810,52.33
Jc9c,1845894,17296,1561418,54.15
Jc8c,1887714,17048,1519846,55.37
Jc7c,1929340,17122,1478146,56.59
Jc6c,1961366,17468,1445774,57.53
Jc5c,2411846,98810,913952,71.87
Jc4c,2105482,18624,1300502,61.75
Jc3c,2109064,18920,1296624,61.86
Jc2c,2112646,19216,1292746,61.97
Tc9c,1789800,17352,1617456,52.52
Tc8c,1833044,17104,1574460,53.78
Tc7c,1874670,17178,1532760,54.99
Tc6c,1906696,17524,1500388,55.93
Tc5c,2412278,84698,927632,71.68
Tc4c,2091574,18730,1314304,61.35
Tc3c,2095156,19026,1310426,61.46
Tc2c,2098738,19322,1306548,61.57
9c8c,1824728,17216,1582664,53.53
9c7c,1866354,17290,1540964,54.75
9c6c,1898380,17636,1508592,55.69
9c5c,2378106,81908,964594,70.64
9c4c,2117110,19076,1288422,62.1
9c3c,2110896,19100,1294612,61.92
9c2c,2114478,19396,1290734,62.03
8c7c,1834790,17080,1572738,53.83
8c6c,1866816,17426,1540366,54.77
8c5c,2328412,78796,1017400,69.14
8c4c,2079368,18866,1326374,60.99
8c3c,2120910,19124,1284574,62.21
8c2c,2113272,19148,1292188,61.99
7c6c,1845076,17594,1561938,54.13
7c5c,2291390,76062,1057156,68.02
7c4c,2051450,19034,1354124,60.18
7c3c,2092992,19292,1312324,61.4
7c2c,2134534,19550,1270524,62.61
6c5c,2241428,76500,1106680,66.57
6c4c,2022688,19436,1382484,59.35
6c3c,2064230,19694,1340684,60.56
6c2c,2105772,19952,1298884,61.78
5c4c,2317290,90532,1016786,68.99
5c3c,2371880,93764,958964,70.63
5c2c,2426470,96996,901142,72.27
4c3c,2142196,21030,1261382,62.86
4c2c,2190132,21288,1213188,64.26
3c2c,2195000,21584,1208024,64.41
KcAh,1743680,326540,4778996,27.84
KcKh,2054504,29044,4765668,30.21
KcQh,3984916,32516,2831784,58.42
KcJh,3961344,31596,2856276,58.07
KcTh,3931368,31640,2886208,57.63
Kc9h,4058112,31500,2759604,59.48
Kc8h,4146784,30844,2671588,60.77
Kc7h,4145576,30228,2673412,60.75
Kc6h,4148052,31372,2669792,60.79
Kc5h,5102596,204036,1542584,75.99
Kc4h,4469732,35612,2343872,65.52
Kc3h,4477912,37212,2334092,65.65
Kc2h,4486092,39264,2323860,65.78
QcAh,1740576,405496,4703144,28.37
QcKh,3984748,32516,2831952,58.42
QcQh,2051496,27972,4769748,30.16
QcJh,3872892,30924,2945400,56.77
QcTh,3842916,30968,2975332,56.33
Qc9h,3969660,30828,2848728,58.18
Qc8h,4058332,30172,2760712,59.47
Qc7h,4145408,30272,2673536,60.74
Qc6h,4124312,30452,2694452,60.44
Qc5h,5075920,203188,1570108,75.59
Qc4h,4445992,34692,2368532,65.17
Qc3h,4454172,36292,2358752,65.3
Qc2h,4462352,38344,2348520,65.43
JcAh,1737472,542852,4568892,29.33
JcKh,3961008,31596,2856612,58.06
JcQh,3872724,30924,2945568,56.77
JcJh,2053528,26900,4768788,30.18
JcTh,3754896,30296,3064024,55.04
Jc9h,3881640,30156,2937420,56.89
Jc8h,3970312,29500,2849404,58.18
Jc7h,4057388,29600,2762228,59.45
Jc6h,4124576,30496,2694144,60.44
Jc5h,5049676,202340,1597200,75.2
Jc4h,4422684,33772,2392760,64.82
Jc3h,4430864,35372,2382980,64.95
Jc2h,4439044,37424,2372748,65.08
TcAh,1706896,736572,4405748,30.3
TcKh,3930864,31640,2886712,57.62
TcQh,3842580,30968,2975668,56.33
TcJh,3754728,30296,3064192,55.04
TcTh,2033128,26792,4789296,29.88
Tc9h,3763644,30200,3055372,55.17
Tc8h,3855252,29544,2964420,56.5
Tc7h,3942328,29644,2877244,57.78
Tc6h,4009516,30540,2809160,58.76
Tc5h,5050372,172048,1626796,74.99
Tc4h,4392972,33816,2422428,64.39
Tc3h,4401152,35416,2412648,64.52
Tc2h,4409332,37468,2402416,64.65
9cAh,1730128,1078444,4040644,33.13
