Opponent,Wins,Draws,Loses,Equity%
KcQc,2853596,15744,555268,83.56
KcJc,2839740,15366,569502,83.15
KcTc,2825884,14988,583736,82.74
Kc9c,2847588,14790,562230,83.37
Kc8c,2888988,14412,521208,84.57
Kc7c,2875132,14034,535442,84.16
Kc6c,2874318,14872,535418,84.15
Kc5c,2882418,15998,526192,84.4
Kc4c,2896322,16376,511910,84.81
Kc3c,2910226,16754,497628,85.22
Kc2c,2924130,17132,483346,85.64
QcJc,2782710,15044,626854,81.48
QcTc,2768854,14666,641088,81.07
Qc9c,2790558,14468,619582,81.7
Qc8c,2831958,14090,578560,82.9
Qc7c,2875156,14034,535418,84.16
Qc6c,2860462,14494,549652,83.74
Qc5c,2868562,15620,540426,83.99
Qc4c,2882466,15998,526144,84.4
Qc3c,2896370,16376,511862,84.81
Qc2c,2910274,16754,497580,85.23
JcTc,2711824,14344,698440,79.4
Jc9c,2733528,14146,676934,80.03
Jc8c,2774928,13768,635912,81.23
Jc7c,2818126,13712,592770,82.49
Jc6c,2860486,14494,549628,83.74
Jc5c,2854706,15242,554660,83.58
Jc4c,2868610,15620,540378,83.99
Jc3c,2882514,15998,526096,84.4
Jc2c,2896418,16376,511814,84.82
Tc9c,2676498,13824,734286,78.36
Tc8c,2717898,13446,693264,79.56
Tc7c,2761096,13390,650122,80.82
Tc6c,2803456,14172,606980,82.07
Tc5c,2854730,15242,554636,83.58
Tc4c,2854754,15242,554612,83.58
Tc3c,2868658,15620,540330,83.99
Tc2c,2882562,15998,526048,84.41
9c8c,2681768,13340,729500,78.5
9c7c,2724966,13284,686358,79.76
9c6c,2767326,14066,643216,81.01
9c5c,2818600,15136,590872,82.53
9c4c,2875678,15458,533472,84.2
9c3c,2875702,15458,533448,84.2
9c2c,2889606,15836,519166,84.61
8c7c,2667936,12962,743710,78.09
8c6c,2710296,13744,700568,79.34
8c5c,2761570,14814,648224,80.86
8c4c,2818648,15136,590824,82.53
8c3c,2875726,15458,533424,84.2
8c2c,2875750,15458,533400,84.2
7c6c,2667146,13800,743662,78.08
7c5c,2718420,14870,691318,79.6
7c4c,2775498,15192,633918,81.27
7c3c,2832576,15514,576518,82.94
7c2c,2889654,15836,519118,84.61
6c5c,2665392,15602,743614,78.06
6c4c,2722470,15924,686214,79.73
6c3c,2779548,16246,628814,81.4
6c2c,2836626,16568,571414,83.07
5c4c,2712812,16870,694926,79.46
5c3c,2769890,17192,637526,81.13
5c2c,2826968,17514,580126,82.8
4c3c,2783794,17570,623244,81.54
4c2c,2840872,17892,565844,83.22
3c2c,2854776,18270,551562,83.63
KcAh,6355844,92288,401084,93.47
KcKh,5596816,31692,1220708,81.95
KcQh,5953156,27904,868156,87.12
KcJh,5923760,26936,898520,86.68
KcTh,5894364,25968,928884,86.25
Kc9h,5937508,25348,886360,86.87
Kc8h,6025340,24396,799480,88.15
Kc7h,5995944,23484,829788,87.71
Kc6h,5994064,25544,829608,87.7
Kc5h,6011680,28288,809248,87.98
Kc4h,6041172,29752,778292,88.42
Kc3h,6070664,31552,747000,88.86
Kc2h,6100156,33804,715256,89.31
QcAh,6326280,91320,431616,93.03
QcKh,5952988,27904,868324,87.12
QcQh,5570456,29756,1249004,81.55
QcJh,5803948,26216,1019052,84.93
QcTh,5774552,25248,1049416,84.49
Qc9h,5817696,24628,1006892,85.12
Qc8h,5905528,23676,920012,86.39
Qc7h,5995824,23480,829912,87.71
Qc6h,5964500,24576,860140,87.26
Qc5h,5982116,27320,839780,87.54
Qc4h,6011608,28784,808824,87.98
Qc3h,6041100,30584,777532,88.42
Qc2h,6070592,32836,745788,88.87
JcAh,6296716,90352,462148,92.59
JcKh,5923424,26936,898856,86.68
JcQh,5803780,26216,1019220,84.93
JcJh,5544096,27820,1277300,81.15
JcTh,5654740,24528,1169948,82.74
Jc9h,5697884,23908,1127424,83.36
Jc8h,5785716,22956,1040544,84.64
Jc7h,5876012,22760,950444,85.96
Jc6h,5964380,24572,860264,87.26
Jc5h,5952552,26352,870312,87.1
Jc4h,5982044,27816,839356,87.54
Jc3h,6011536,29616,808064,87.99
Jc2h,6041028,31868,776320,88.43
TcAh,6267152,89384,492680,92.15
TcKh,5893860,25968,929388,86.24
TcQh,5774216,25248,1049752,84.49
TcJh,5654572,24528,1170116,82.74
TcTh,5517736,25884,1305596,80.75
Tc9h,5578072,23188,1247956,81.61
Tc8h,5665904,22236,1161076,82.89
Tc7h,5756200,22040,1070976,84.2
Tc6h,5844568,23852,980796,85.51
Tc5h,5952432,26348,870436,87.1
Tc4h,5952480,26848,869888,87.1
Tc3h,5981972,28648,838596,87.55
Tc2h,6011464,30900,806852,87.99
9cAh,6395140,97280,356796,94.08
9cKh,5936972,25376,886868,86.87
9cQh,5817328,24656,1007232,85.11
9cJh,5697684,23936,1127596,83.36
9cTh,5578040,23216,1247960,81.61
9c9h,5525856,24920,1298440,80.86
9c8h,5590440,22016,1236760,81.78
9c7h,5680736,21820,1146660,83.1
9c6h,5769104,23632,1056480,84.4
9c5h,5876968,26128,946120,86.0
9c4h,5996708,27344,825164,87.75
9c3h,5996756,28180,824280,87.76
9c2h,6026248,30432,792536,88.21
8cAh,6365576,96312,387328,93.64
8cKh,6024636,24408,800172,88.14
8cQh,5904992,23688,920536,86.39
8cJh,5785348,22968,1040900,84.63
8cTh,5665704,22248,1161264,82.88
8c9h,5590272,22000,1236944,81.78
8c8h,5499496,23000,1326720,80.46
8c7h,5560924,21100,1267192,81.34
8c6h,5649292,22912,1177012,82.65
8c5h,5757156,25408,1066652,84.24
8c4h,5876896,26624,945696,86.0
8c3h,5996636,28176,824404,87.76
8c2h,5996684,29464,823068,87.77
7cAh,6365624,96312,387280,93.64
7cKh,5995240,23444,830532,87.7
7cQh,5995288,23440,830488,87.7
7cJh,5875644,22720,950852,85.95
7cTh,5756000,22000,1071216,84.2
7c9h,5680568,21752,1146896,83.1
7c8h,5560924,21048,1267244,81.34
7c7h,5500776,23052,1325388,80.48
7c6h,5559092,23160,1266964,81.33
7c5h,5666956,25656,1156604,82.93
7c4h,5786696,26872,1035648,84.68
7c3h,5906436,28424,914356,86.44
7c2h,6026176,30428,792612,88.21
6cAh,6395112,66872,387232,93.86
6cKh,5993356,25376,830484,87.69
6cQh,5963960,24408,860848,87.25
6cJh,5964008,24404,860804,87.25
6cTh,5844364,23684,981168,85.5
6c9h,5768932,23436,1056848,84.4
6c8h,5649288,22732,1177196,82.65
6c7h,5559088,23032,1267096,81.33
6c6h,5498152,25116,1325948,80.46
6c5h,5555244,27340,1266632,81.31
6c4h,5674984,28556,1145676,83.06
6c3h,5794724,30108,1024384,84.82
6c2h,5914464,32112,902640,86.59
5cAh,6267396,93284,488536,92.19
5cKh,6011180,27816,810220,87.97
5cQh,5981784,26848,840584,87.53
5cJh,5952388,25880,870948,87.1
5cTh,5952436,25876,870904,87.1
5c9h,5877004,25628,946584,85.99
5c8h,5757360,24924,1066932,84.24
5c7h,5667160,25224,1156832,82.93
5c6h,5555452,27068,1266696,81.31
5c5h,5526068,28328,1294820,80.89
5c4h,5656832,30652,1161732,82.81
5c3h,5776572,32204,1040440,84.57
5c2h,5896312,34208,918696,86.34
4cAh,6297056,94252,457908,92.63
4cKh,6040840,28784,779592,88.41
4cQh,6011444,27816,809956,87.97
4cJh,5982048,26848,840320,87.54
4cTh,5952652,25880,870684,87.1
4c9h,5996912,26348,825956,87.75
4c8h,5877268,25644,946304,86.0
4c7h,5787068,25944,1036204,84.68
4c6h,5675360,27788,1146068,83.06
4c5h,5657000,30156,1162060,82.81
4c4h,5554988,30760,1263468,81.33
4c3h,5806232,33172,1009812,85.01
4c2h,5925972,35176,888068,86.78
3cAh,6326716,95220,427280,93.07
3cKh,6070500,29752,748964,88.85
3cQh,6041104,28784,779328,88.41
3cJh,6011708,27816,809692,87.98
3cTh,5982312,26848,840056,87.54
3c9h,5997128,26352,825736,87.75
3c8h,5997176,26364,825676,87.75
3c7h,5906976,26664,915576,86.44
3c6h,5795268,28508,1025440,84.82
3c5h,5776908,30876,1041432,84.57
3c4h,5806400,32340,1010476,85.01
3c3h,5583908,33528,1231780,81.77
3c2h,5955632,36144,857440,87.22
2cAh,6356376,96188,396652,93.51
2cKh,6100160,30720,718336,89.29
2cQh,6070764,29752,748700,88.85
2cJh,6041368,28784,779064,88.42
2cTh,6011972,27816,809428,87.98
2c9h,6026788,27320,795108,88.19
2c8h,5997392,26368,825456,87.76
2c7h,6026884,27384,794948,88.19
2c6h,5915176,29228,904812,86.58
2c5h,5896816,31596,920804,86.33
2c4h,5926308,33060,889848,86.77
2c3h,5955800,34860,858556,87.21
2c2h,5612828,36748,1199640,82.22
AhKh,2987340,43006,394262,87.86
AhQh,2973878,42630,408100,87.46
AhJh,2960416,42254,421938,87.06
AhTh,2946954,41878,435776,86.66
Ah9h,3005970,44980,373658,88.43
Ah8h,2992508,44604,387496,88.03
Ah7h,2992532,44604,387472,88.03
Ah6h,3006042,31120,387446,88.23
Ah5h,2947074,43648,433886,86.69
Ah4h,2960584,44024,420000,87.09
Ah3h,2974094,44400,406114,87.49
Ah2h,2987604,44776,392228,87.89
KhQh,2812526,12906,599176,82.32
KhJh,2799064,12530,613014,81.92
KhTh,2785602,12154,626852,81.52
Kh9h,2805204,11922,607482,82.09
Kh8h,2845712,11546,567350,83.26
Kh7h,2832250,11170,581188,82.87
Kh6h,2831358,12086,581164,82.85
Kh5h,2839786,13154,571668,83.12
Kh4h,2853296,13530,557782,83.51
Kh3h,2866806,13906,543896,83.91
Kh2h,2880316,14282,530010,84.31
QhJh,2743832,12210,668566,80.3
QhTh,2730370,11834,682404,79.9
Qh9h,2749972,11602,663034,80.47
Qh8h,2790480,11226,622902,81.65
Qh7h,2832274,11170,581164,82.87
Qh6h,2817896,11710,595002,82.45
Qh5h,2826324,12778,585506,82.72
Qh4h,2839834,13154,571620,83.12
Qh3h,2853344,13530,557734,83.52
Qh2h,2866854,13906,543848,83.92
JhTh,2675138,11514,737956,78.28
Jh9h,2694740,11282,718586,78.85
Jh8h,2735248,10906,678454,80.03
Jh7h,2777042,10850,636716,81.25
Jh6h,2817920,11710,594978,82.46
Jh5h,2812862,12402,599344,82.32
Jh4h,2826372,12778,585458,82.72
Jh3h,2839882,13154,571572,83.12
Jh2h,2853392,13530,557686,83.52
Th9h,2639508,10962,774138,77.23
Th8h,2680016,10586,734006,78.41
Th7h,2721810,10530,692268,79.63
Th6h,2762688,11390,650530,80.84
Th5h,2812886,12402,599320,82.32
Th4h,2812910,12402,599296,82.32
Th3h,2826420,12778,585410,82.72
Th2h,2839930,13154,571524,83.12
9h8h,2644642,10430,769536,77.38
9h7h,2686436,10374,727798,78.6
9h6h,2727314,11234,686060,79.8
9h5h,2777512,12246,634850,81.28
9h4h,2832792,12566,579250,82.9
9h3h,2832816,12566,579226,82.9
9h2h,2846326,12942,565340,83.3
8h7h,2631204,10060,783344,76.98
8h6h,2672082,10922,741604,78.19
8h5h,2722280,11934,690394,79.67
8h4h,2777560,12254,634794,81.28
8h3h,2832840,12574,579194,82.9
8h2h,2832864,12574,579170,82.9
7h6h,2630336,10998,783274,76.97
7h5h,2680534,12016,732058,78.45
7h4h,2735814,12336,676458,80.07
7h3h,2791094,12656,620858,81.69
7h2h,2846374,12976,565258,83.3
6h5h,2628614,12830,783164,76.94
6h4h,2683894,13162,727552,78.56
6h3h,2739174,13482,671952,80.18
6h2h,2794454,13802,616352,81.8
5h4h,2676120,14202,734286,78.35
5h3h,2731400,14542,678666,79.97
5h2h,2786680,14862,623066,81.59
4h3h,2744910,15136,664562,80.37
4h2h,2800190,15486,608932,81.99
3h2h,2813700,16194,594714,82.4
AhAs,37210,1637884,37210,50.0
AhKs,3148878,42898,232832,92.57
AhQs,3134406,42416,247786,92.15
AhJs,3119934,41934,262740,91.72
AhTs,3105462,41452,277694,91.29
Ah9s,3168510,45370,210728,93.18
Ah8s,3154038,44896,225674,92.75
Ah7s,3154062,44922,225624,92.76
Ah6s,3168582,30492,225534,92.97
Ah5s,3105582,43608,275418,91.32
Ah4s,3120102,44338,260168,91.76
Ah3s,3134622,45236,244750,92.19
Ah2s,3149142,46360,229106,92.63
KhKs,1388072,6538,317694,81.26
KhQs,2951480,11210,461918,86.35
KhJs,2937008,10728,476872,85.92
KhTs,2922536,10246,491826,85.49
Kh9s,2943510,9938,471160,86.1
Kh8s,2986872,9464,428272,87.36
Kh7s,2972400,9010,443198,86.93
Kh6s,2971464,10036,443108,86.91
Kh5s,2980204,11382,433022,87.19
Kh4s,2994724,12112,417772,87.62
Kh3s,3009244,13010,402354,88.06
Kh2s,3023764,14134,386710,88.5
QhQs,1381624,6056,324624,80.86
QhJs,2878084,10370,536154,84.19
QhTs,2863612,9888,551108,83.76
Qh9s,2884586,9580,530442,84.37
Qh8s,2927948,9106,487554,85.63
Qh7s,2972424,9008,443176,86.93
Qh6s,2956992,9554,458062,86.48
Qh5s,2965732,10900,447976,86.76
Qh4s,2980252,11630,432726,87.19
Qh3s,2994772,12528,417308,87.63
Qh2s,3009292,13652,401664,88.07
JhJs,1375176,5574,331554,80.47
JhTs,2804688,9530,610390,82.04
Jh9s,2825662,9222,589724,82.65
Jh8s,2869024,8748,546836,83.9
Jh7s,2913500,8650,502458,85.2
Jh6s,2957016,9552,458040,86.49
Jh5s,2951260,10418,462930,86.33
Jh4s,2965780,11148,447680,86.76
Jh3s,2980300,12046,432262,87.2
Jh2s,2994820,13170,416618,87.64
