Opponent,Wins,Draws,Loses,Equity%
KcQc,1949260,17940,1457408,57.18
KcJc,2415238,54730,954640,71.33
KcTc,2048532,17254,1358822,60.07
Kc9c,2091334,17098,1316176,61.32
Kc8c,2120430,16744,1287434,62.16
Kc7c,2102696,16390,1305522,61.64
Kc6c,2102780,16686,1305142,61.65
Kc5c,2101772,17814,1305022,61.63
Kc4c,2114100,18216,1292292,62.0
Kc3c,2126644,18618,1279346,62.37
Kc2c,2139404,19020,1266184,62.75
QcJc,2364680,51618,1008310,69.8
QcTc,2008502,17044,1399062,58.9
Qc9c,2051304,16888,1356416,60.15
Qc8c,2080400,16534,1327674,60.99
Qc7c,2110046,16414,1298148,61.85
Qc6c,2100710,16438,1307460,61.58
Qc5c,2099702,17566,1307340,61.57
Qc4c,2112030,17968,1294610,61.93
Qc3c,2124574,18370,1281664,62.31
Qc2c,2137334,18772,1268502,62.69
JcTc,2306292,63020,1055296,68.26
Jc9c,2373524,65746,985338,70.27
Jc8c,2364794,65428,994386,70.01
Jc7c,2406352,68282,949974,71.26
Jc6c,2446324,71514,906770,72.48
Jc5c,2449110,72676,902822,72.58
Jc4c,2465670,73114,885824,73.07
Jc3c,2482446,73552,868610,73.56
Jc2c,2499438,73990,851180,74.06
Tc9c,2069290,16348,1338970,60.66
Tc8c,2098386,15994,1310228,61.51
Tc7c,2134210,15874,1274524,62.55
Tc6c,2168126,16132,1240350,63.55
Tc5c,2210782,17258,1196568,64.81
Tc4c,2212078,17282,1195248,64.85
Tc3c,2224622,17684,1182302,65.22
Tc2c,2237382,18086,1169140,65.6
9c8c,2044058,15930,1364620,59.92
9c7c,2079882,15810,1328916,60.96
9c6c,2113798,16068,1294742,61.96
9c5c,2154654,17194,1252760,63.17
9c4c,2199852,17540,1207216,64.49
9c3c,2201364,17564,1205680,64.54
9c2c,2214124,17966,1192518,64.92
8c7c,2036628,15512,1372468,59.7
8c6c,2070544,15770,1338294,60.69
8c5c,2111400,16896,1296312,61.9
8c4c,2156598,17242,1250768,63.23
8c3c,2202012,17588,1205008,64.56
8c2c,2203740,17612,1203256,64.61
7c6c,2042054,15744,1366810,59.86
7c5c,2073302,16870,1334436,60.79
7c4c,2118500,17216,1288892,62.11
7c3c,2163914,17562,1243132,63.44
7c2c,2209544,17908,1197156,64.78
6c5c,2034366,17166,1373076,59.65
6c4c,2079564,17512,1327532,60.98
6c3c,2124978,17858,1281772,62.31
6c2c,2170608,18204,1235796,63.65
5c4c,2031072,18372,1375164,59.58
5c3c,2076486,18718,1329404,60.91
5c2c,2122116,19064,1283428,62.25
4c3c,2089030,19120,1316458,61.28
4c2c,2134660,19466,1270482,62.62
3c2c,2147420,19868,1257320,63.0
KcAh,1645680,319944,4883592,26.36
KcKh,1970368,27940,4850908,28.97
KcQh,4100532,32040,2716644,60.1
KcJh,5058640,107608,1682968,74.64
KcTh,4304180,30448,2514588,63.06
Kc9h,4392924,29924,2426368,64.36
Kc8h,4455080,29020,2365116,65.26
Kc7h,4417888,28156,2403172,64.71
Kc6h,4418900,29052,2401264,64.73
Kc5h,4416652,31596,2400968,64.71
Kc4h,4442816,33108,2373292,65.11
Kc3h,4469412,34956,2344848,65.51
Kc2h,4496440,37256,2315520,65.92
QcAh,1618008,397152,4834056,26.52
QcKh,4100364,32040,2716812,60.1
QcQh,1953196,27364,4868656,28.72
QcJh,4952088,99824,1797304,73.03
QcTh,4219112,29960,2600144,61.82
Qc9h,4307856,29436,2511924,63.11
Qc8h,4370012,28532,2450672,64.01
Qc7h,4432636,28200,2388380,64.92
Qc6h,4413576,28380,2407260,64.65
Qc5h,4411328,30924,2406964,64.63
Qc4h,4437492,32436,2379288,65.03
Qc3h,4464088,34284,2350844,65.43
Qc2h,4491116,36584,2321516,65.84
JcAh,124580,6649696,74940,50.36
JcKh,5058468,107900,1682848,74.64
JcQh,4952084,100148,1796984,73.03
JcJh,2035776,122140,4691300,30.61
JcTh,4828444,123276,1897496,71.4
Jc9h,4970992,129084,1749140,73.52
Jc8h,4950964,128252,1770000,73.22
Jc7h,5037752,135328,1676136,74.54
Jc6h,5121072,143448,1584696,75.82
Jc5h,5126660,146064,1576492,75.92
Jc4h,5161376,147648,1540192,76.44
Jc3h,5196524,149568,1503124,76.96
Jc2h,5232104,151940,1465172,77.5
TcAh,4737216,551912,1560088,73.19
TcKh,4303676,30448,2515092,63.06
TcQh,4218776,29960,2600480,61.81
TcJh,4828112,122920,1898184,71.39
TcTh,2930556,25912,3892748,42.98
Tc9h,4340524,28276,2480416,63.58
Tc8h,4402680,27372,2419164,64.48
Tc7h,4478108,27040,2344068,65.58
Tc6h,4549320,27752,2272144,66.62
Tc5h,4639604,30296,2179316,67.96
Tc4h,4642196,30844,2176176,68.0
Tc3h,4668792,32692,2147732,68.4
Tc2h,4695820,34992,2118404,68.82
9cAh,4758272,536868,1554076,73.39
9cKh,4392420,29948,2426848,64.35
9cQh,4307520,29460,2512236,63.11
9cJh,4970652,129016,1749548,73.51
9cTh,4340524,28300,2480392,63.58
9c9h,3037668,25936,3785612,44.54
9c8h,4290468,27260,2531488,62.84
9c7h,4365896,26928,2456392,63.94
9c6h,4437108,27640,2384468,64.98
9c5h,4523492,30184,2295540,66.26
9c4h,4618808,31448,2198960,67.67
9c3h,4621832,32332,2195052,67.72
9c2h,4648860,34632,2165724,68.13
8cAh,4735544,538444,1575228,73.07
8cKh,4454408,29028,2365780,65.25
8cQh,4369508,28540,2451168,64.0
8cJh,4950456,128168,1770592,73.21
8cTh,4402512,27380,2419324,64.48
8c9h,4290300,27244,2531672,62.84
8c8h,3045604,24880,3778732,44.65
8c7h,4274300,26256,2548660,62.6
8c6h,4345512,26968,2476736,63.64
8c5h,4431896,29512,2387808,64.92
8c4h,4527212,30776,2291228,66.32
8c3h,4622960,32376,2193880,67.73
8c2h,4626416,33712,2189088,67.79
7cAh,4719136,541172,1588908,72.85
7cKh,4417216,28112,2403888,64.7
7cQh,4432132,28156,2388928,64.92
7cJh,5037244,135224,1676748,74.53
7cTh,4477940,26996,2344280,65.58
7c9h,4365728,26860,2456628,63.94
7c8h,4274300,26204,2548712,62.6
7c7h,3093520,25300,3730396,45.35
7c6h,4286428,27016,2535772,62.78
7c5h,4352176,29560,2467480,63.76
7c4h,4447492,30824,2370900,65.16
7c3h,4543240,32424,2273552,66.57
