Opponent,Wins,Draws,Loses,Equity%
KcQc,2427708,41660,955240,71.5
KcJc,2417556,41342,965710,71.2
KcTc,2407404,41024,976180,70.9
Kc9c,2474636,43750,906222,72.9
Kc8c,2465906,43432,915270,72.64
Kc7c,2456906,43114,924588,72.37
Kc6c,2458776,43552,922280,72.43
Kc5c,2474018,45092,905498,72.9
Kc4c,2490578,45530,888500,73.39
Kc3c,2507354,45968,871286,73.89
Kc2c,2524346,46406,853856,74.39
QcJc,2107256,17942,1299410,61.79
QcTc,2096224,17588,1310796,61.47
Qc9c,2140452,17432,1266724,62.76
Qc8c,2169548,17078,1237982,63.6
Qc7c,2202912,16724,1204972,64.57
Qc6c,2189518,16748,1218342,64.18
Qc5c,2199458,18252,1206898,64.49
Qc4c,2211786,18654,1194168,64.86
Qc3c,2224330,19056,1181222,65.23
Qc2c,2237090,19458,1168060,65.61
JcTc,2052322,17290,1354996,60.18
Jc9c,2096550,17134,1310924,61.47
Jc8c,2125646,16780,1282182,62.31
Jc7c,2159010,16426,1249172,63.28
Jc6c,2189518,16772,1218318,64.18
Jc5c,2188426,17898,1218284,64.16
Jc4c,2200754,18300,1205554,64.53
Jc3c,2213298,18702,1192608,64.9
Jc2c,2226058,19104,1179446,65.28
Tc9c,2052648,16836,1355124,60.18
Tc8c,2081744,16482,1326382,61.03
Tc7c,2115108,16128,1293372,62.0
Tc6c,2145616,16474,1262518,62.89
Tc5c,2188426,17922,1218260,64.16
Tc4c,2189722,17946,1216940,64.2
Tc3c,2202266,18348,1203994,64.57
Tc2c,2215026,18750,1190832,64.95
9c8c,2082172,16418,1326018,61.04
9c7c,2072188,16064,1336356,60.74
9c6c,2102696,16410,1305502,61.64
9c5c,2145506,17858,1261244,62.91
9c4c,2190704,18204,1215700,64.24
9c3c,2192216,18228,1214164,64.28
9c2c,2204976,18630,1201002,64.66
8c7c,2028934,15766,1379908,59.48
8c6c,2059442,16112,1349054,60.37
8c5c,2102252,17560,1304796,61.64
8c4c,2147450,17906,1259252,62.97
8c3c,2192864,18252,1213492,64.3
8c2c,2194592,18276,1211740,64.35
7c6c,2016488,15816,1392304,59.11
7c5c,2059298,17264,1348046,60.38
7c4c,2104496,17610,1302502,61.71
7c3c,2149910,17956,1256742,63.04
7c2c,2195540,18302,1210766,64.38
6c5c,2016846,17666,1390096,59.15
6c4c,2062044,18012,1344552,60.48
6c3c,2107458,18358,1298792,61.81
6c2c,2153088,18704,1252816,63.14
5c4c,2024500,19248,1380860,59.4
5c3c,2069914,19594,1335100,60.73
5c2c,2115544,19940,1289124,62.07
4c3c,2082458,19996,1322154,61.1
4c2c,2128088,20342,1276178,62.44
3c2c,2140848,20744,1263016,62.82
KcAh,124908,6649712,74596,50.37
KcKh,2037272,60076,4751868,30.18
KcQh,5085340,79908,1683968,74.83
KcJh,5063440,79060,1706716,74.5
KcTh,5041540,78212,1729464,74.18
Kc9h,5184088,84020,1581108,76.3
Kc8h,5164060,83188,1601968,76.0
Kc7h,5144464,82396,1622356,75.71
Kc6h,5147908,83612,1617696,75.77
Kc5h,5180004,87192,1582020,76.27
Kc4h,5214720,88776,1545720,76.78
Kc3h,5249868,90696,1508652,77.31
Kc2h,5285448,93068,1470700,77.85
QcAh,4959480,320792,1568944,74.75
QcKh,5085008,79616,1684592,74.82
QcQh,2947244,28904,3873068,43.24
QcJh,4424472,32040,2392704,64.83
QcTh,4400900,31120,2417196,64.48
Qc9h,4492480,30596,2326140,65.81
Qc8h,4554636,29692,2264888,66.72
Qc7h,4624892,28828,2195496,67.73
Qc6h,4596212,29008,2223996,67.32
Qc5h,4617536,32516,2199164,67.65
Qc4h,4643700,34028,2171488,68.05
Qc3h,4670296,35876,2143044,68.45
Qc2h,4697324,38176,2113716,68.86
JcAh,4937316,319944,1591956,74.42
JcKh,5062940,78768,1707508,74.5
JcQh,4424304,32040,2392872,64.83
JcJh,2941396,27832,3879988,43.15
JcTh,4308008,30448,2510760,63.12
Jc9h,4399588,29924,2419704,64.45
Jc8h,4461744,29020,2358452,65.35
Jc7h,4532000,28156,2289060,66.37
Jc6h,4596044,29052,2224120,67.32
Jc5h,4593796,31596,2223824,67.3
Jc4h,4619960,33108,2196148,67.69
Jc3h,4646556,34956,2167704,68.1
Jc2h,4673584,37256,2138376,68.51
TcAh,4915152,319096,1614968,74.09
TcKh,5040872,77920,1730424,74.17
TcQh,4400564,31120,2417532,64.48
TcJh,4307840,30448,2510928,63.12
TcTh,2940156,26760,3882300,43.12
Tc9h,4306696,29252,2513268,63.09
Tc8h,4368852,28348,2452016,63.99
Tc7h,4439108,27484,2382624,65.01
Tc6h,4503152,28380,2317684,65.95
Tc5h,4593628,31640,2223948,67.3
Tc4h,4596220,32188,2220808,67.34
Tc3h,4622816,34036,2192364,67.74
Tc2h,4649844,36336,2163036,68.15
9cAh,4947132,324500,1577584,74.6
9cKh,5183412,84016,1581788,76.29
9cQh,4492176,30620,2326420,65.81
9cJh,4399452,29948,2419816,64.45
9cTh,4306728,29276,2513212,63.09
9c9h,3050204,26784,3772228,44.73
9c8h,4373708,28236,2447272,64.06
9c7h,4351432,27372,2470412,63.73
9c6h,4415476,28268,2405472,64.67
9c5h,4505952,31528,2311736,66.02
9c4h,4601268,32792,2215156,67.42
9c3h,4604292,33676,2211248,67.47
9c2h,4631320,35976,2181920,67.88
8cAh,4925532,324948,1598736,74.29
8cKh,5163216,83168,1602832,75.99
8cQh,4554164,29700,2265352,66.71
8cJh,4461440,29028,2358748,65.35
8cTh,4368716,28356,2452144,63.99
8c9h,4373540,28220,2447456,64.06
8c8h,3058140,25728,3765348,44.84
8c7h,4259836,26700,2562680,62.39
8c6h,4323880,27596,2497740,63.33
8c5h,4414356,30856,2404004,64.68
8c4h,4509672,32120,2307424,66.08
8c3h,4605420,33720,2210076,67.49
8c2h,4608876,35056,2205284,67.55
7cAh,4904100,325832,1619284,73.98
7cKh,5143620,82324,1623272,75.7
7cQh,4624388,28784,2196044,67.73
7cJh,4531664,28112,2289440,66.37
7cTh,4438940,27440,2382836,65.01
7c9h,4351264,27304,2470648,63.73
7c8h,4259836,26648,2562732,62.39
