Opponent,Wins,Draws,Loses,Equity%
KcQc,2427692,40938,955978,71.49
KcJc,2047316,17940,1359352,60.04
KcTc,2036284,17586,1370738,59.72
Kc9c,2079086,17430,1328092,60.96
Kc8c,2108182,17076,1299350,61.81
Kc7c,2101856,16722,1306030,61.62
Kc6c,2088546,16748,1319314,61.23
Kc5c,2098486,18252,1307870,61.54
Kc4c,2110814,18654,1295140,61.91
Kc3c,2123358,19056,1282194,62.28
Kc2c,2136118,19458,1269032,62.66
QcJc,2367000,52340,1005268,69.88
QcTc,2356848,52022,1015738,69.58
Qc9c,2424080,54748,945780,71.58
Qc8c,2415350,54430,954828,71.32
Qc7c,2456908,57284,910416,72.58
Qc6c,2446322,57344,920942,72.27
Qc5c,2461564,58884,904160,72.74
Qc4c,2478124,59322,887162,73.23
Qc3c,2494900,59760,869948,73.72
Qc2c,2511892,60198,852518,74.23
JcTc,2061194,17046,1346368,60.44
Jc9c,2104320,16890,1303398,61.69
Jc8c,2133416,16536,1274656,62.54
Jc7c,2170342,16416,1237850,63.61
Jc6c,2200696,16440,1207472,64.5
Jc5c,2199604,17566,1207438,64.49
Jc4c,2211932,17968,1194708,64.85
Jc3c,2224476,18370,1181762,65.22
Jc2c,2237236,18772,1168600,65.6
Tc9c,2060418,16592,1347598,60.41
Tc8c,2089514,16238,1318856,61.25
Tc7c,2126440,16118,1282050,62.33
Tc6c,2156794,16142,1251672,63.21
Tc5c,2199604,17590,1207414,64.49
Tc4c,2200900,17614,1206094,64.52
Tc3c,2213444,18016,1193148,64.9
Tc2c,2226204,18418,1179986,65.28
9c8c,2046594,16174,1361840,60.0
9c7c,2083520,16054,1325034,61.07
9c6c,2102466,16078,1306064,61.63
9c5c,2145276,17526,1261806,62.9
9c4c,2190474,17872,1216262,64.22
9c3c,2191986,17896,1214726,64.27
9c2c,2204746,18298,1201564,64.65
8c7c,2040266,15756,1368586,59.81
8c6c,2059212,15780,1349616,60.36
8c5c,2102022,17228,1305358,61.63
8c4c,2147220,17574,1259814,62.96
8c3c,2192634,17920,1214054,64.29
8c2c,2194362,17944,1212302,64.34
7c6c,2030722,15754,1378132,59.53
7c5c,2073532,17202,1333874,60.8
7c4c,2118730,17548,1288330,62.12
7c3c,2164144,17894,1242570,63.46
7c2c,2209774,18240,1196594,64.79
6c5c,2020132,17228,1387248,59.24
6c4c,2065330,17574,1341704,60.57
6c3c,2110744,17920,1295944,61.9
6c2c,2156374,18266,1249968,63.23
5c4c,2027786,18810,1378012,59.49
5c3c,2073200,19156,1332252,60.82
5c2c,2118830,19502,1286276,62.16
4c3c,2085744,19558,1319306,61.19
4c2c,2131374,19904,1273330,62.53
3c2c,2144134,20306,1260168,62.91
KcAh,1622932,320792,4905492,26.04
KcKh,1942940,28908,4877368,28.58
KcQh,5085144,78172,1685900,74.81
KcJh,4302544,32040,2514632,63.05
KcTh,4278972,31120,2539124,62.7
Kc9h,4367716,30596,2450904,63.99
Kc8h,4429872,29692,2389652,64.89
Kc7h,4417216,28828,2403172,64.7
Kc6h,4388536,29008,2431672,64.29
Kc5h,4409860,32516,2406840,64.62
Kc4h,4436024,34028,2379164,65.02
Kc3h,4462620,35876,2350720,65.42
Kc2h,4489648,38176,2321392,65.83
QcAh,124744,6649704,74768,50.36
QcKh,5085140,78464,1685612,74.82
QcQh,2034220,91108,4723888,30.37
QcJh,4956892,101592,1790732,73.11
QcTh,4934992,100744,1813480,72.79
Qc9h,5077540,106552,1665124,74.91
Qc8h,5057512,105720,1685984,74.61
Qc7h,5144300,112796,1592120,75.93
Qc6h,5121236,113048,1614932,75.6
Qc5h,5153332,116628,1579256,76.09
Qc4h,5188048,118212,1542956,76.61
Qc3h,5223196,120132,1505888,77.14
Qc2h,5258776,122504,1467936,77.67
JcAh,4887452,397248,1564516,74.26
JcKh,4302208,32040,2514968,63.05
JcQh,4956560,101268,1791388,73.11
JcJh,2936596,27408,3885212,43.08
JcTh,4326016,29960,2493240,63.38
Jc9h,4415408,29436,2404372,64.68
Jc8h,4477564,28532,2343120,65.58
Jc7h,4555180,28200,2265836,66.71
Jc6h,4619032,28380,2201804,67.65
Jc5h,4616784,30924,2201508,67.63
Jc4h,4642948,32436,2173832,68.02
Jc3h,4669544,34284,2145388,68.43
Jc2h,4696572,36584,2116060,68.84
TcAh,4865288,396400,1587528,73.93
TcKh,4278468,31120,2539628,62.69
TcQh,4934492,100420,1814304,72.78
TcJh,4325848,29960,2493408,63.38
TcTh,2935356,26336,3887524,43.05
Tc9h,4322516,28764,2497936,63.32
Tc8h,4384672,27860,2436684,64.22
Tc7h,4462288,27528,2359400,65.35
Tc6h,4526140,27708,2295368,66.28
Tc5h,4616616,30968,2201632,67.63
