Opponent,Wins,Draws,Loses,Equity%
KcQc,1952546,17502,1454560,57.27
KcJc,1951546,17254,1455808,57.24
KcTc,2402784,68522,953302,71.16
Kc9c,2103582,16766,1304260,61.67
Kc8c,2132678,16412,1275518,62.51
Kc7c,2113144,16058,1295406,61.94
Kc6c,2103620,16354,1304634,61.67
Kc5c,2116006,17752,1290850,62.05
Kc4c,2117386,17778,1289444,62.09
Kc3c,2129930,18180,1276498,62.46
Kc2c,2142690,18582,1263336,62.84
QcJc,1917694,17044,1489870,56.25
QcTc,2352226,65410,1006972,69.64
Qc9c,2063552,16556,1344500,60.5
Qc8c,2092648,16202,1315758,61.34
Qc7c,2122294,16082,1286232,62.21
Qc6c,2101550,16106,1306952,61.6
Qc5c,2113936,17504,1293168,61.98
Qc4c,2115316,17530,1291762,62.02
Qc3c,2127860,17932,1278816,62.4
Qc2c,2140620,18334,1265654,62.77
JcTc,2301668,62298,1060642,68.12
Jc9c,2023522,16346,1384740,59.33
Jc8c,2052618,15992,1355998,60.17
Jc7c,2082264,15872,1326472,61.03
Jc6c,2108900,16130,1299578,61.82
Jc5c,2111866,17256,1295486,61.92
Jc4c,2113246,17282,1294080,61.96
Jc3c,2125790,17684,1281134,62.33
Jc2c,2138550,18086,1267972,62.71
Tc9c,2322968,76744,1024896,68.95
Tc8c,2314238,76426,1033944,68.69
Tc7c,2355796,79280,989532,69.95
Tc6c,2395768,82512,946328,71.16
Tc5c,2449112,86846,888650,72.78
Tc4c,2453216,86906,884486,72.9
Tc3c,2469992,87344,867272,73.4
Tc2c,2486984,87782,849842,73.9
9c8c,2051130,15686,1357792,60.12
9c7c,2086954,15566,1322088,61.17
9c6c,2119768,15824,1289016,62.13
9c5c,2165986,17184,1241438,63.5
9c4c,2211030,17208,1196370,64.81
9c3c,2212542,17232,1194834,64.86
9c2c,2225302,17634,1181672,65.24
8c7c,2043700,15268,1365640,59.9
8c6c,2076514,15526,1332568,60.86
8c5c,2122732,16886,1284990,62.23
8c4c,2167776,16910,1239922,63.55
8c3c,2213190,17256,1194162,64.88
8c2c,2214918,17280,1192410,64.93
7c6c,2038416,15500,1370692,59.75
7c5c,2084634,16860,1323114,61.12
7c4c,2127878,16884,1279846,62.38
7c3c,2173292,17230,1234086,63.71
7c2c,2218922,17576,1188110,65.05
6c5c,2045698,17156,1361754,59.99
6c4c,2079334,17180,1328094,60.97
6c3c,2124748,17526,1282334,62.3
6c2c,2170378,17872,1236358,63.64
5c4c,2045306,18310,1360992,59.99
5c3c,2090720,18656,1315232,61.32
5c2c,2136350,19002,1269256,62.66
4c3c,2092316,18682,1313610,61.37
4c2c,2137946,19028,1267634,62.71
3c2c,2150706,19430,1254472,63.09
KcAh,1668428,319096,4861692,26.69
KcKh,1997796,26972,4824448,29.37
KcQh,4107324,31120,2710772,60.19
KcJh,4104388,30448,2714380,60.15
KcTh,5032136,137044,1680036,74.47
Kc9h,4418132,29252,2401832,64.72
Kc8h,4480288,28348,2340580,65.62
Kc7h,4439196,27484,2382536,65.01
Kc6h,4419572,28380,2401264,64.73
Kc5h,4447016,31640,2370560,65.16
Kc4h,4449608,32188,2367420,65.2
Kc3h,4476204,34036,2338976,65.6
Kc2h,4503232,36336,2309648,66.01
QcAh,1640756,396304,4812156,26.85
QcKh,4107156,31120,2710940,60.19
QcQh,1980624,26396,4842196,29.11
QcJh,4032124,29960,2787132,59.09
QcTh,4925584,129260,1794372,72.86
Qc9h,4333064,28764,2487388,63.47
Qc8h,4395220,27860,2426136,64.37
Qc7h,4457844,27528,2363844,65.29
Qc6h,4414248,27708,2407260,64.65
Qc5h,4441692,30968,2376556,65.08
Qc4h,4444284,31516,2373416,65.12
Qc3h,4470880,33364,2344972,65.52
Qc2h,4497908,35664,2315644,65.93
JcAh,1613084,551720,4684412,27.58
JcKh,4104052,30448,2714716,60.14
JcQh,4031956,29960,2787300,59.09
JcJh,1968492,25820,4854904,28.93
JcTh,4819032,121476,1908708,71.25
Jc9h,4247996,28276,2572944,62.23
Jc8h,4310152,27372,2511692,63.13
Jc7h,4372776,27040,2449400,64.04
Jc6h,4428996,27752,2392468,64.87
Jc5h,4436368,30296,2382552,64.99
Jc4h,4438960,30844,2379412,65.03
Jc3h,4465556,32692,2350968,65.44
Jc2h,4492584,34992,2321640,65.85
TcAh,124416,6649688,75112,50.36
TcKh,5031796,137336,1680084,74.47
TcQh,4925412,129584,1794220,72.86
TcJh,4819028,121832,1908356,71.25
TcTh,2041940,153172,4654104,30.93
Tc9h,4864444,151616,1833156,72.13
Tc8h,4844416,150784,1854016,71.83
Tc7h,4931204,157860,1760152,73.15
Tc6h,5014524,165980,1668712,74.42
Tc5h,5126496,176464,1546256,76.14
Tc4h,5134704,177084,1537428,76.26
Tc3h,5169852,179004,1500360,76.79
Tc2h,5205432,181376,1462408,77.32
9cAh,4591928,730652,1526636,72.38
9cKh,4417628,29276,2402312,64.71
9cQh,4332728,28788,2487700,63.47
9cJh,4247828,28300,2573088,62.23
9cTh,4864272,151516,1833428,72.13
9c9h,3032868,25512,3790836,44.47
9c8h,4304576,26772,2517868,63.04
9c7h,4380004,26440,2442772,64.14
9c6h,4449028,27152,2373036,65.15
9c5h,4546672,30228,2272316,66.6
9c4h,4641796,30776,2176644,68.0
9c3h,4644820,31660,2172736,68.05
9c2h,4671848,33960,2143408,68.46
8cAh,4568636,732792,1547788,72.05
8cKh,4479616,28356,2341244,65.61
8cQh,4394716,27868,2426632,64.37
8cJh,4309816,27380,2512020,63.12
8cTh,4844076,150668,1854472,71.82
8c9h,4304408,26756,2518052,63.04
8c8h,3040804,24456,3783956,44.57
8c7h,4288408,25768,2535040,62.8
8c6h,4357432,26480,2465304,63.81
8c5h,4455076,29556,2364584,65.26
8c4h,4550200,30104,2268912,66.65
8c3h,4645948,31704,2171564,68.06
8c2h,4649404,33040,2166772,68.12
7cAh,4550764,733084,1565368,71.79
7cKh,4438524,27440,2383252,65.0
7cQh,4457340,27484,2364392,65.28
7cJh,4372440,26996,2449780,64.04
7cTh,4930864,157724,1760628,73.14
7c9h,4379836,26372,2443008,64.14
7c8h,4288408,25716,2535092,62.8
7c7h,3088720,24876,3735620,45.28
7c6h,4277712,26528,2544976,62.65
7c5h,4375356,29604,2444256,64.1
7c4h,4466580,30152,2352484,65.43
7c3h,4562328,31752,2255136,66.84
7c2h,4658508,33804,2156904,68.26
6cAh,4560296,707368,1581552,71.75
6cKh,4418896,28208,2402112,64.72
6cQh,4413740,27536,2407940,64.64
6cJh,4428656,27580,2392980,64.86
6cTh,5014180,165748,1669288,74.42
6c9h,4448856,26956,2373404,65.15
6c8h,4357428,26300,2465488,63.81
6c7h,4277708,26400,2545108,62.65
6c6h,3116704,26344,3706168,45.7
6c5h,4293636,30372,2525208,62.91
6c4h,4364224,30920,2454072,63.94
6c3h,4459972,32520,2356724,65.35
6c2h,4556152,34572,2258492,66.77
5cAh,4458476,736208,1654532,70.47
5cKh,4446508,31164,2371544,65.15
5cQh,4441352,30492,2377372,65.07
5cJh,4436196,29820,2383200,64.99
5cTh,5126320,175960,1546936,76.13
5c9h,4546700,29728,2272788,66.6
5c8h,4455272,29072,2364872,65.26
5c7h,4375552,29172,2444492,64.1
5c6h,4293836,30100,2525280,62.91
5c5h,3172176,30392,3646648,46.54
5c4h,4296988,33348,2518880,62.98
5c3h,4392736,34948,2421532,64.39
5c2h,4488916,37000,2323300,65.81
4cAh,4462028,741048,1646140,70.56
4cKh,4449268,31216,2368732,65.19
4cQh,4444112,30544,2374560,65.11
4cJh,4438956,29872,2380388,65.03
4cTh,5134696,176084,1538436,76.25
4c9h,4641960,29780,2177476,67.99
4c8h,4550532,29124,2269560,66.65
4c7h,4466912,29224,2353080,65.43
4c6h,4364560,30152,2454504,63.94
4c5h,4297156,32852,2519208,62.98
4c4h,3204792,31760,3612664,47.02
4c3h,4395928,35000,2418288,64.44
4c2h,4492108,37052,2320056,65.86
3cAh,4492088,747284,1609844,71.04
3cKh,4476032,32232,2340952,65.59
3cQh,4470876,31560,2346780,65.51
3cJh,4465720,30888,2352608,65.43
3cTh,5170012,177172,1502032,76.78
3c9h,4645152,29832,2174232,68.04
3c8h,4646448,29892,2172876,68.06
3c7h,4562828,29992,2256396,66.84
3c6h,4460476,30920,2357820,65.35
3c5h,4393072,33620,2422524,64.39
3c4h,4396096,34168,2418952,64.43
3c3h,3247888,35392,3565936,47.68
3c2h,4519304,38068,2291844,66.26
2cAh,4522148,753952,1573116,71.53
2cKh,4503228,33248,2312740,65.99
2cQh,4498072,32576,2318568,65.91
2cJh,4492916,31904,2324396,65.83
2cTh,5205760,178260,1465196,77.31
2c9h,4672348,30848,2146020,68.44
2c8h,4650072,29944,2169200,68.11
2c7h,4659176,30760,2159280,68.25
2c6h,4556824,31688,2260704,66.76
2c5h,4489420,34388,2325408,65.8
2c4h,4492444,34936,2321836,65.85
2c3h,4519472,36784,2292960,66.25
2c2h,3295592,39476,3514148,48.4
AhKh,782216,150206,2492186,25.03
AhQh,770244,187604,2466760,25.23
AhJh,758272,260874,2405462,25.95
AhTh,74426,3105064,245118,47.51
Ah9h,2138520,344142,941946,67.47
Ah8h,2128122,345320,951166,67.18
Ah7h,2119572,345604,959432,66.94
Ah6h,2123502,334000,967106,66.88
Ah5h,2076392,347814,1000402,65.71
Ah4h,2078084,350234,996290,65.79
Ah3h,2091866,353244,979498,66.24
Ah2h,2105648,356470,962490,66.69
KhQh,1907910,14692,1502006,55.93
KhJh,1907090,14446,1503072,55.9
KhTh,2349976,64548,1010084,69.56
Kh9h,2054350,13932,1356326,60.19
Kh8h,2082566,13580,1328462,61.01
Kh7h,2063532,13228,1347848,60.45
Kh6h,2054086,13604,1356918,60.18
Kh5h,2066754,14942,1342912,60.57
Kh4h,2068050,14968,1341590,60.61
Kh3h,2080256,15368,1328984,60.97
Kh2h,2092678,15768,1316162,61.34
QhJh,1874680,14238,1535690,54.95
QhTh,2301208,61504,1061896,68.09
Qh9h,2015904,13724,1394980,59.07
Qh8h,2044120,13372,1367116,59.88
Qh7h,2072520,13252,1338836,60.71
Qh6h,2052222,13358,1359028,60.12
Qh5h,2064890,14696,1345022,60.51
Qh4h,2066186,14722,1343700,60.55
Qh3h,2078392,15122,1331094,60.91
Qh2h,2090814,15522,1318272,61.28
JhTh,2252440,58460,1113708,66.63
Jh9h,1977458,13516,1433634,57.94
Jh8h,2005674,13164,1405770,58.76
Jh7h,2034074,13044,1377490,59.59
Jh6h,2059440,13382,1351786,60.33
Jh5h,2063026,14450,1347132,60.45
