Opponent,Wins,Draws,Loses,Equity%
AcKc,1050662,18500,2355446,30.95
AcQc,1040270,18202,2366136,30.64
AcTc,1143502,17550,2263556,33.65
Ac9c,1183082,17924,2223602,34.81
Ac8c,1185242,17676,2221690,34.87
Ac7c,1187636,17750,2219222,34.94
Ac6c,1197836,18096,2208676,35.24
Ac5c,1153300,18956,2252352,33.95
Ac4c,783042,85266,2556300,24.11
Ac3c,1277258,19654,2127696,37.58
Ac2c,1289228,19950,2115430,37.94
KcQc,1014022,25854,2384732,29.99
KcTc,1110892,25202,2288514,32.81
Kc9c,1150472,25576,2248560,33.97
Kc8c,1193388,25596,2205624,35.22
Kc7c,1185940,25348,2213320,35.0
Kc6c,1187874,25422,2211312,35.06
Kc5c,1175258,26516,2222834,34.71
Kc4c,780106,124752,2519750,24.6
Kc3c,1305394,27214,2092000,38.52
Kc2c,1317364,27510,2079734,38.87
QcTc,1068484,33652,2322472,31.69
Qc9c,1108064,34026,2282518,32.85
Qc8c,1150980,34046,2239582,34.11
Qc7c,1184288,34066,2206254,35.08
Qc6c,1176380,33818,2214410,34.84
Qc5c,1163764,34912,2225932,34.49
Qc4c,767272,160290,2497046,24.74
Qc3c,1293900,35610,2095098,38.3
Qc2c,1305870,35906,2082832,38.66
Tc9c,1754618,47208,1622782,51.92
Tc8c,1804244,47444,1572920,53.38
Tc7c,1852878,47464,1524266,54.8
Tc6c,1901728,47484,1475396,56.22
Tc5c,1944278,48578,1431752,57.48
Tc4c,2319392,206102,899114,70.74
Tc3c,2064648,48898,1311062,61.0
Tc2c,2068446,49194,1306968,61.12
9c8c,1751588,47126,1625894,51.84
9c7c,1801646,47146,1575816,53.3
9c6c,1850496,47166,1526946,54.72
9c5c,1893046,48260,1483302,55.98
9c4c,2322802,190652,911154,70.61
9c3c,2054178,48630,1321800,60.69
9c2c,2057976,48926,1317706,60.81
8c7c,1782136,47258,1595214,52.73
8c6c,1830986,47278,1546344,54.16
8c5c,1871734,48372,1504502,55.36
8c4c,2274210,187862,962536,69.15
8c3c,2066718,48976,1308914,61.06
8c2c,2060720,49000,1314888,60.89
7c6c,1813574,47390,1563644,53.65
7c5c,1844714,48484,1531410,54.57
7c4c,2227636,185072,1011900,67.75
7c3c,2033520,49088,1342000,60.1
7c2c,2075278,49346,1299984,61.32
6c5c,1826094,48596,1549918,54.03
6c4c,2192310,182282,1050016,66.68
6c3c,2008722,49200,1366686,59.37
6c2c,2050480,49458,1324670,60.6
5c4c,2130020,193752,1100836,65.03
5c3c,1959066,50060,1415482,57.94
5c2c,2000824,50318,1373466,59.16
4c3c,2211196,204994,1008418,67.56
4c2c,2265426,209090,950092,69.2
3c2c,2124072,51016,1249520,62.77
AcAh,839356,27816,5982044,12.46
AcKh,2196148,33108,4619960,32.31
AcQh,2173832,32436,4642948,31.98
AcJh,1540192,147648,5161376,23.56
AcTh,2379412,30844,4438960,34.97
Ac9h,2459644,31420,4358152,36.14
Ac8h,2464108,30764,4354344,36.2
Ac7h,2468008,30864,4350344,36.26
Ac6h,2488796,31760,4328660,36.57
Ac5h,2392760,33772,4422684,35.18
Ac4h,1599636,173896,5075684,24.62
Ac3h,2651264,36884,4161068,38.98
Ac2h,2678020,38936,4132260,39.38
KcAh,2196008,33112,4620096,32.3
KcKh,839176,28796,5981244,12.46
KcQh,2121712,48900,4678604,31.33
KcJh,1547204,217844,5084168,24.18
KcTh,2314488,47308,4487420,34.14
Kc9h,2394720,47884,4406612,35.31
Kc8h,2481820,47756,4319640,36.58
Kc7h,2465648,47140,4336428,36.34
Kc6h,2468584,47320,4333312,36.39
Kc5h,2440148,49864,4359204,35.99
Kc4h,1592312,256484,5000420,25.12
Kc3h,2711456,52976,4084784,39.97
Kc2h,2738212,55028,4055976,40.38
QcAh,2173520,32412,4643284,31.97
QcKh,2121540,48904,4678772,31.33
QcQh,818960,28336,6001920,12.16
QcJh,1526712,283928,5038576,24.36
QcTh,2227216,65276,4556724,32.99
Qc9h,2307448,65852,4475916,34.17
Qc8h,2394548,65724,4388944,35.44
Qc7h,2461012,65636,4322568,36.41
Qc6h,2443876,65100,4340240,36.16
