Opponent,Wins,Draws,Loses,Equity%
AcKc,1848442,15814,1560352,54.21
AcQc,1850868,15622,1558118,54.27
AcTc,2324042,14976,1085590,68.08
Ac9c,2346402,14778,1063428,68.73
Ac8c,2333768,14400,1076440,68.36
Ac7c,2329570,14238,1080800,68.23
Ac6c,2347728,14454,1062426,68.77
Ac5c,2285702,15556,1123350,66.97
Ac4c,2298098,15934,1110576,67.34
Ac3c,2310494,16312,1097802,67.71
Ac2c,2322890,16690,1085028,68.07
KcQc,1834710,15916,1573982,53.81
KcTc,2319508,15270,1089830,67.95
Kc9c,2341868,15072,1067668,68.6
Kc8c,2356626,14874,1053108,69.03
Kc7c,2345792,14496,1064320,68.71
Kc6c,2351578,14334,1058696,68.88
Kc5c,2337430,15758,1071420,68.48
Kc4c,2349826,16136,1058646,68.85
Kc3c,2362222,16514,1045872,69.22
Kc2c,2374618,16892,1033098,69.59
QcTc,2302602,15402,1106604,67.46
Qc9c,2324962,15204,1084442,68.11
Qc8c,2339720,15006,1069882,68.54
Qc7c,2354478,14808,1055322,68.97
Qc6c,2355428,14430,1054750,68.99
Qc5c,2341280,15854,1067474,68.6
Qc4c,2353676,16232,1054700,68.97
Qc3c,2366072,16610,1041926,69.33
Qc2c,2378468,16988,1029152,69.7
Tc9c,2809240,15378,599990,82.26
Tc8c,2813142,15180,596286,82.37
Tc7c,2818468,14982,591158,82.52
Tc6c,2832570,14784,577254,82.93
Tc5c,2872168,16208,536232,84.11
Tc4c,2872192,16208,536208,84.11
Tc3c,2886096,16586,521926,84.52
Tc2c,2900000,16964,507644,84.93
9c8c,2761916,15074,647618,80.87
9c7c,2767242,14876,642490,81.02
9c6c,2781344,14678,628586,81.43
9c5c,2820942,16102,587564,82.61
9c4c,2878020,16424,530164,84.28
9c3c,2878044,16424,530140,84.28
9c2c,2891948,16802,515858,84.69
8c7c,2716854,14770,692984,79.55
8c6c,2730956,14572,679080,79.96
8c5c,2768752,15996,639860,81.08
8c4c,2825830,16318,582460,82.75
8c3c,2882908,16640,525060,84.43
8c2c,2882932,16640,525036,84.43
7c6c,2692060,14466,718082,78.82
7c5c,2718364,15890,690354,79.61
7c4c,2775442,16212,632954,81.28
