Opponent,Wins,Draws,Loses,Equity%
AcKc,1202642,17254,2204712,35.37
AcQc,1196032,17044,2211532,35.17
AcTc,927592,62298,2434718,28.0
Ac9c,1438398,16346,1969864,42.24
Ac8c,1446280,15992,1962336,42.47
Ac7c,1464006,15872,1944730,42.98
Ac6c,1493170,16130,1915308,43.84
Ac5c,1472188,17256,1935164,43.24
Ac4c,1472188,17282,1935138,43.24
Ac3c,1474952,17684,1931972,43.33
Ac2c,1477716,18086,1928806,43.41
KcQc,1151024,24872,2248712,33.97
KcTc,876826,96590,2451192,27.01
Kc9c,1407778,24174,1992656,41.46
Kc8c,1453110,24018,1947480,42.78
Kc7c,1462332,23664,1938612,43.05
Kc6c,1488732,23544,1912332,43.82
Kc5c,1485968,24992,1913648,43.76
Kc4c,1485968,25018,1913622,43.76
Kc3c,1488732,25420,1910456,43.84
Kc2c,1491496,25822,1907290,43.93
QcTc,824636,129512,2470460,25.97
Qc9c,1374394,32478,2017736,40.61
Qc8c,1419726,32322,1972560,41.93
Qc7c,1465058,32166,1927384,43.25
Qc6c,1484294,31812,1908502,43.81
Qc5c,1481530,33260,1909818,43.75
Qc4c,1481530,33286,1909792,43.75
Qc3c,1484294,33688,1906626,43.83
Qc2c,1487058,34090,1903460,43.92
Tc9c,2313980,174802,935826,70.12
Tc8c,2315416,176670,932522,70.19
Tc7c,2327630,179212,917766,70.58
Tc6c,2378996,182480,863132,72.13
Tc5c,2368248,184828,871532,71.85
Tc4c,2371488,185752,867368,71.96
Tc3c,2387400,187054,850154,72.44
Tc2c,2403528,188356,832724,72.93
9c8c,2140490,40646,1243472,63.1
9c7c,2166164,40490,1217954,63.84
9c6c,2199610,40334,1184664,64.82
9c5c,2227552,41782,1155274,65.66
9c4c,2272596,41806,1110206,66.97
9c3c,2274108,41830,1108670,67.02
9c2c,2286868,42232,1095508,67.39
8c7c,2110510,39764,1274334,62.21
8c6c,2143956,39608,1241044,63.18
8c5c,2170556,41056,1212996,63.98
8c4c,2213800,41080,1169728,65.24
8c3c,2259214,41426,1123968,66.57
8c2c,2260942,41450,1122216,66.63
7c6c,2106138,39274,1279196,62.07
7c5c,2124334,40722,1259552,62.63
7c4c,2157970,40746,1225892,63.61
7c3c,2203384,41092,1180132,64.94
7c2c,2249014,41438,1134156,66.28
6c5c,2118618,40658,1265332,62.46
6c4c,2120314,40682,1263612,62.51
6c3c,2165728,41028,1217852,63.84
6c2c,2211358,41374,1171876,65.18
5c4c,2066944,41538,1316126,60.96
5c3c,2112358,41884,1270366,62.29
5c2c,2157988,42230,1224390,63.63
4c3c,2113954,41910,1268744,62.34
4c2c,2159584,42256,1222768,63.68
3c2c,2172344,42658,1209606,64.06
AcAh,1169948,24528,5654740,17.26
AcKh,2510760,30448,4308008,36.88
AcQh,2493240,29960,4326016,36.62
AcJh,1897496,123276,4828444,28.6
AcTh,1908708,121476,4819032,28.75
Ac9h,2982528,28276,3838412,43.75
Ac8h,3003244,27372,3818600,44.05
Ac7h,3043436,27040,3778740,44.63
Ac6h,3108316,27752,3713148,45.58
Ac5h,3064024,30296,3754896,44.96
Ac4h,3064024,30844,3754348,44.96
Ac3h,3069896,32692,3746628,45.06
Ac2h,3075768,34992,3738456,45.16
KcAh,2510380,30452,4308384,36.87
KcKh,1065684,26376,5757156,15.75
KcQh,2399768,46812,4402636,35.38
KcJh,1788716,193708,4866792,27.53
KcTh,1799564,191680,4857972,27.67
Kc9h,2918456,45128,3885632,42.94
Kc8h,3012196,44616,3792404,44.3
Kc7h,3035848,43752,3769616,44.64
Kc6h,3094856,43500,3710860,45.5
Kc5h,3088984,46760,3713472,45.44
Kc4h,3088984,47308,3712924,45.45
Kc3h,3094856,49156,3705204,45.54
Kc2h,3100728,51456,3697032,45.65
QcAh,2492480,29940,4326796,36.61
QcKh,2399388,46816,4403012,35.37
QcQh,961420,26288,5861508,14.23
QcJh,1676424,261188,4911604,26.38
QcTh,1687484,258932,4902800,26.53
Qc9h,2848512,62804,3937900,42.05
Qc8h,2942252,62292,3844672,43.41
Qc7h,3035992,61820,3751404,44.78
Qc6h,3081396,61036,3706784,45.43
Qc5h,3075524,64296,3709396,45.37
Qc4h,3075524,64844,3708848,45.38
Qc3h,3081396,66692,3701128,45.48
Qc2h,3087268,68992,3692956,45.58
TcAh,1954448,121780,4772988,29.42
TcKh,1845672,192240,4811304,28.35
TcQh,1733960,259748,4855508,27.21
TcJh,124928,6649684,74604,50.37
TcTh,2345280,132360,4371576,35.21
Tc9h,4852448,352672,1644096,73.42
Tc8h,4854028,356584,1638604,73.47
Tc7h,4878780,361944,1608492,73.87
Tc6h,4987336,368896,1492984,75.51
Tc5h,4962976,373956,1512284,75.19
Tc4h,4969456,376304,1503456,75.3
Tc3h,5002876,379952,1466388,75.82
Tc2h,5036728,384052,1428436,76.34
9cAh,3028940,28256,3792020,44.43
9cKh,2965044,45132,3839040,43.62
9cQh,2895276,62832,3891108,42.73
9cJh,4569596,749348,1530272,72.19
9cTh,4852148,351888,1645180,73.41
9c9h,3149052,27224,3672940,46.18
9c8h,4489652,79960,2279604,66.13
9c7h,4542564,79488,2227164,66.9
9c6h,4611468,79096,2158652,67.91
9c5h,4671020,82356,2095840,68.8
9c4h,4766144,82904,2000168,70.19
9c3h,4769168,83788,1996260,70.24
9c2h,4796196,86088,1966932,70.65
8cAh,3049480,27336,3772400,44.72
8cKh,3058812,44632,3745772,44.99
8cQh,2989044,62332,3797840,44.1
8cJh,4584096,736588,1528532,72.31
8cTh,4853544,356044,1639628,73.46
8c9h,4489476,79972,2279768,66.13
8c8h,3216792,29564,3602860,47.18
8c7h,4426428,77968,2344820,65.2
8c6h,4495332,77576,2276308,66.2
8c5h,4551948,80836,2216432,67.05
8c4h,4643172,81384,2124660,68.39
8c3h,4738920,82984,2027312,69.8
8c2h,4742376,84320,2022520,69.86
7cAh,3089532,26976,3732708,45.3
7cKh,3082292,43712,3723212,45.32
7cQh,3082816,61832,3704568,45.46
7cJh,4587808,739516,1521892,72.38
7cTh,4878116,361608,1609492,73.86
7c9h,4542216,79472,2227528,66.9
7c8h,4426256,77940,2345020,65.19
7c7h,3289776,34248,3525192,48.28
7c6h,4417536,76888,2354792,65.06
7c5h,4456052,80148,2313016,65.64
7c4h,4526640,80696,2241880,66.68
7c3h,4622388,82296,2144532,68.09
7c2h,4718568,84348,2046300,69.51
6cAh,3154440,27580,3667196,46.26
6cKh,3141328,43352,3664536,46.18
6cQh,3128216,60912,3660088,46.12
6cJh,4611940,747192,1490084,72.79
6cTh,4986660,368684,1493872,75.5
6c9h,4611148,78972,2159096,67.9
6c8h,4495188,77440,2276588,66.2
6c7h,4417564,76780,2354872,65.06
6c6h,3386984,41316,3420916,49.75
6c5h,4446708,80036,2322472,65.51
6c4h,4449300,80584,2319332,65.55
6c3h,4545048,82184,2221984,66.96
6c2h,4641228,84236,2123752,68.38
5cAh,3110008,29848,3709360,45.62
5cKh,3135284,46336,3667596,46.11
5cQh,3122172,63896,3663148,46.05
5cJh,4584744,754532,1509940,72.45
5cTh,4962128,373468,1513620,75.17
5c9h,4670528,81956,2096732,68.79
5c8h,4551632,80424,2217160,67.04
5c7h,4455908,79764,2313544,65.64
5c6h,4446536,79760,2322920,65.5
5c5h,3400100,53068,3396048,50.03
5c4h,4336000,82276,2430940,63.91
5c3h,4431748,83876,2333592,65.32
5c2h,4527928,85928,2235360,66.74
4cAh,3110176,29900,3709140,45.63
4cKh,3135452,46388,3667376,46.12
4cQh,3122340,63948,3662928,46.05
4cJh,4588296,759372,1501548,72.53
4cTh,4968776,375320,1505120,75.29
4c9h,4765788,82008,2001420,70.18
4c8h,4642992,80476,2125748,68.38
4c7h,4526632,79816,2242768,66.67
4c6h,4449296,79812,2320108,65.54
4c5h,4336168,81780,2431268,63.91
4c4h,3422348,64804,3362064,50.44
4c3h,4434940,83928,2330348,65.36
4c2h,4531120,85980,2232116,66.78
3cAh,3116216,30916,3702084,45.72
3cKh,3141492,47404,3660320,46.21
3cQh,3128380,64964,3655872,46.15
3cJh,4618356,765608,1465252,73.02
3cTh,5002364,378136,1468716,75.8
3c9h,4768980,82060,1998176,70.23
3c8h,4738908,81244,2029064,69.78
3c7h,4622548,80584,2146084,68.08
3c6h,4545212,80580,2223424,66.95
3c5h,4432084,82548,2334584,65.31
3c4h,4435108,83096,2331012,65.36
3c3h,3453348,80532,3315336,51.01
3c2h,4558316,86996,2203904,67.19
2cAh,3122256,31932,3695028,45.82
2cKh,3147532,48420,3653264,46.31
2cQh,3134420,65980,3648816,46.24
2cJh,4648416,772276,1428524,73.51
2cTh,5036384,380952,1431880,76.31
2c9h,4796176,83076,1969964,70.63
2c8h,4742532,81296,2025388,69.84
2c7h,4718896,81352,2048968,69.49
2c6h,4641560,81348,2126308,68.36
2c5h,4528432,83316,2237468,66.72
2c4h,4531456,83864,2233896,66.77
2c3h,4558484,85712,2205020,67.18
2c2h,3487228,98440,3263548,51.63
AhKh,1189702,14460,2220446,34.95
AhQh,1183426,14290,2226892,34.77
AhJh,911684,57940,2454984,27.47
AhTh,916838,57218,2450552,27.61
Ah9h,1415960,13538,1995110,41.54
Ah8h,1423862,13186,1987560,41.77
Ah7h,1440898,13028,1970682,42.27
Ah6h,1468986,13246,1942376,43.09
Ah5h,1449066,14348,1961194,42.52
Ah4h,1449066,14374,1961168,42.52
Ah3h,1451690,14774,1958144,42.61
Ah2h,1454314,15174,1955120,42.69
KhQh,1140792,22146,2261670,33.63
KhJh,864048,92254,2468306,26.58
KhTh,868926,91532,2464150,26.71
Kh9h,1387180,21394,2016034,40.82
Kh8h,1430120,21210,1973278,42.07
Kh7h,1439334,20858,1964416,42.33
Kh6h,1464798,20700,1939110,43.07
Kh5h,1462174,22122,1940312,43.02
Kh4h,1462174,22148,1940286,43.02
Kh3h,1464798,22548,1937262,43.1
Kh2h,1467422,22948,1934238,43.18
QhJh,814824,125232,2484552,25.62
QhTh,819702,124510,2480396,25.75
Qh9h,1355776,29728,2039104,40.02
Qh8h,1398716,29544,1996348,41.27
Qh7h,1441656,29360,1953592,42.53
Qh6h,1460610,29008,1934990,43.07
Qh5h,1457986,30430,1936192,43.02
Qh4h,1457986,30456,1936166,43.02
Qh3h,1460610,30856,1933142,43.1
Qh2h,1463234,31256,1930118,43.18
JhTh,74430,3105062,245116,47.51
Jh9h,2134198,353394,937016,67.48
Jh8h,2139166,347192,938250,67.53
Jh7h,2139148,348244,937216,67.55
Jh6h,2148392,351526,924690,67.87
Jh5h,2136224,355124,933260,67.56
Jh4h,2137916,357544,929148,67.65
Jh3h,2151698,360554,912356,68.09
Jh2h,2165480,363780,895348,68.54
Th9h,2268016,168440,988152,68.69
Th8h,2267160,169832,987616,68.68
Th7h,2276896,171908,975804,69.0
Th6h,2325214,174704,924690,70.45
Th5h,2314342,177006,933260,70.16
Th4h,2317546,177912,929150,70.27
Th3h,2333056,179194,912358,70.74
Th2h,2348782,180476,895350,71.22
9h8h,2094244,37780,1292584,61.7
9h7h,2118204,37596,1268808,62.4
9h6h,2149732,37412,1237464,63.32
9h5h,2176826,38832,1208950,64.13
9h4h,2220270,38856,1165482,65.4
9h3h,2221782,38880,1163946,65.44
9h2h,2234204,39280,1151124,65.81
8h7h,2063960,36836,1323812,60.81
8h6h,2095488,36654,1292466,61.72
8h5h,2121270,38074,1265264,62.5
8h4h,2162944,38098,1223566,63.72
8h3h,2206676,38442,1179490,65.0
8h2h,2208404,38466,1177738,65.05
7h6h,2058610,36302,1329696,60.64
7h5h,2076232,37728,1310648,61.18
7h4h,2108524,37752,1278332,62.12
7h3h,2152256,38096,1234256,63.4
7h2h,2196204,38440,1189964,64.69
6h5h,2070512,37680,1316416,61.01
6h4h,2071808,37716,1315084,61.05
6h3h,2115540,38060,1271008,62.33
6h2h,2159488,38404,1226716,63.62
5h4h,2020460,38664,1365484,59.56
5h3h,2064192,39028,1321388,60.85
5h2h,2108140,39372,1277096,62.13
4h3h,2065704,39272,1319632,60.89
4h2h,2109652,39646,1275310,62.18
3h2h,2122074,40378,1262156,62.55
AhAs,305195,4765,1402344,17.96
AhKs,1274174,12512,2137922,37.39
AhQs,1265350,12270,2146988,37.13
AhJs,971336,58246,2395026,29.21
AhTs,976586,57524,2390498,29.36
Ah9s,1504898,11434,1908276,44.11
Ah8s,1515278,10984,1898346,44.41
Ah7s,1535182,10818,1878608,44.99
Ah6s,1567212,11172,1846224,45.93
Ah5s,1545468,12418,1866722,45.31
Ah4s,1545468,12692,1866448,45.31
Ah3s,1548348,13614,1862646,45.41
Ah2s,1551228,14762,1858618,45.51
KhKs,279447,5233,1427624,16.47
KhQs,1219534,20706,2184368,35.91
KhJs,917874,93056,2413678,28.16
KhTs,922842,92334,2409432,28.3
Kh9s,1473452,19870,1931286,43.32
Kh8s,1519586,19616,1885406,44.66
Kh7s,1531406,19186,1874016,45.0
Kh6s,1560556,19060,1844992,45.85
Kh5s,1557676,20662,1846270,45.79
Kh4s,1557676,20936,1845996,45.79
Kh3s,1560556,21858,1842194,45.89
Kh2s,1563436,23006,1838166,45.99
QhQs,253699,5219,1453386,14.97
QhJs,862690,126424,2435494,27.04
QhTs,867658,125702,2431248,27.17
Qh9s,1439126,28720,1956762,42.44
Qh8s,1485260,28466,1910882,43.79
Qh7s,1531394,28232,1864982,45.13
Qh6s,1553900,27842,1842866,45.78
Qh5s,1551020,29444,1844144,45.72
Qh4s,1551020,29718,1843870,45.72
Qh3s,1553900,30640,1840068,45.82
Qh2s,1556780,31788,1836040,45.92
JhJs,213918,34931,1463455,13.51
JhTs,74430,3275748,74430,50.0
Jh9s,2263658,369048,791902,71.49
Jh8s,2270828,362728,791052,71.61
Jh7s,2272634,364210,787764,71.68
Jh6s,2284414,368088,772106,72.08
Jh5s,2271130,371868,781610,71.75
Jh4s,2272822,374536,777250,71.84
Jh3s,2287570,378068,758970,72.32
Jh2s,2302318,382042,740248,72.81
ThTs,582808,31286,1098210,34.95
Th9s,2406200,171600,846808,72.77
Th8s,2407030,173540,844038,72.82
Th7s,2419278,176196,829134,73.22
Th6s,2472858,179642,772108,74.83
Th5s,2460870,182126,781612,74.52
Th4s,2464074,183282,777252,74.63
Th3s,2480550,185086,758972,75.14
Th2s,2497242,187116,740250,75.65
9h9s,780114,5455,926735,45.72
9h8s,2226872,37302,1160434,65.57
