Opponent,Wins,Draws,Loses,Equity%
AcQc,1156504,18120,2249984,34.03
AcJc,1153740,17766,2253102,33.95
AcTc,1139484,17872,2267252,33.53
Ac9c,1194044,17892,2212672,35.13
Ac8c,1187936,17644,2219028,34.95
Ac7c,1177036,17396,2230176,34.62
Ac6c,1177166,17798,2229644,34.63
Ac5c,756536,99446,2568626,23.54
Ac4c,1255716,19332,2149560,36.95
Ac3c,1267686,19628,2137294,37.3
Ac2c,1279656,19924,2125028,37.66
QcJc,1817302,25120,1582186,53.43
QcTc,1803178,25226,1596204,53.02
Qc9c,1865550,25246,1533812,54.84
Qc8c,1913968,25266,1485374,56.26
Qc7c,1956004,25018,1443586,57.48
Qc6c,1956084,24770,1443754,57.48
Qc5c,2387450,138614,898544,71.74
Qc4c,2085282,26538,1312788,61.28
Qc3c,2088864,26834,1308910,61.39
Qc2c,2092662,27130,1304816,61.5
JcTc,1761632,24928,1638048,51.8
Jc9c,1824004,24948,1575656,53.63
Jc8c,1872422,24968,1527218,55.04
Jc7c,1914458,24720,1485430,56.26
Jc6c,1956300,24794,1443514,57.49
Jc5c,2375210,138296,911102,71.38
Jc4c,2074466,26184,1323958,60.96
Jc3c,2078048,26480,1320080,61.07
Jc2c,2081846,26776,1315986,61.18
Tc9c,1767910,25004,1631694,51.99
Tc8c,1817752,25024,1581832,53.44
Tc7c,1859788,24776,1540044,54.67
Tc6c,1901630,24850,1498128,55.89
Tc5c,2375642,124184,924782,71.18
Tc4c,2060558,26290,1337760,60.55
Tc3c,2064140,26586,1333882,60.66
Tc2c,2067938,26882,1329788,60.78
9c8c,1809436,25136,1590036,53.2
9c7c,1840062,24888,1559658,54.09
9c6c,1881904,24962,1517742,55.32
9c5c,2328636,121394,974578,69.77
9c4c,2074684,26636,1323288,60.97
9c3c,2068470,26660,1329478,60.79
9c2c,2072268,26956,1325384,60.9
8c7c,1822434,25000,1577174,53.58
8c6c,1864276,25074,1535258,54.8
8c5c,2292878,118604,1013126,68.68
8c4c,2050878,26748,1346982,60.28
8c3c,2092420,27006,1305182,61.49
8c2c,2084998,27030,1312580,61.28
7c6c,1831504,24864,1568240,53.84
7c5c,2243400,115492,1065716,67.19
7c4c,2011928,26538,1386142,59.14
