Opponent,Wins,Draws,Loses,Equity%
AcQc,1222534,17502,2184572,35.95
AcJc,1211634,17254,2195720,35.63
AcTc,821052,68522,2535034,24.98
Ac9c,1368634,16766,2039208,40.21
Ac8c,1386446,16412,2021750,40.72
Ac7c,1383682,16058,2024868,40.64
Ac6c,1395652,16354,2012602,40.99
Ac5c,1388064,17752,2018792,40.79
Ac4c,1388064,17778,2018766,40.79
Ac3c,1390828,18180,2015600,40.88
Ac2c,1393592,18582,2012434,40.96
QcJc,1940038,24872,1459698,57.01
QcTc,2369186,99702,955720,70.64
Qc9c,2092868,24384,1307356,61.47
Qc8c,2124456,24228,1275924,62.39
Qc7c,2153768,23874,1246966,63.24
Qc6c,2136250,23520,1264838,62.72
Qc5c,2137974,25240,1261394,62.8
Qc4c,2139354,25266,1259988,62.84
Qc3c,2151898,25668,1247042,63.21
Qc2c,2164658,26070,1233880,63.59
JcTc,2318628,96590,1009390,69.12
Jc9c,2052838,24174,1347596,60.3
Jc8c,2084426,24018,1316164,61.22
Jc7c,2113738,23664,1287206,62.07
Jc6c,2143600,23544,1257464,62.94
Jc5c,2135904,24992,1263712,62.73
Jc4c,2137284,25018,1262306,62.77
Jc3c,2149828,25420,1249360,63.15
Jc2c,2162588,25822,1236198,63.53
Tc9c,2287668,110598,1026342,68.42
Tc8c,2339178,113290,972140,69.96
Tc7c,2330376,113260,980972,69.7
Tc6c,2371862,116402,936344,70.96
Tc5c,2411762,121346,891500,72.2
Tc4c,2415578,121694,887336,72.31
Tc3c,2432066,122420,870122,72.8
Tc2c,2448770,123146,852692,73.3
9c8c,2082992,23442,1318174,61.17
9c7c,2102558,23088,1298962,61.73
9c6c,2138598,22968,1263042,62.78
9c5c,2174154,24650,1225804,63.85
9c4c,2219198,24674,1180736,65.16
9c3c,2220710,24698,1179200,65.21
9c2c,2233470,25100,1166038,65.58
8c7c,2054862,23024,1346722,60.34
8c6c,2090902,22904,1310802,61.39
8c5c,2126458,24586,1273564,62.45
8c4c,2169702,24610,1230296,63.72
8c3c,2215116,24956,1184536,65.05
8c2c,2216844,24980,1182784,65.1
7c6c,2047864,22606,1354138,60.13
7c5c,2083420,24288,1316900,61.19
7c4c,2126664,24312,1273632,62.45
7c3c,2172078,24658,1227872,63.79
7c2c,2217708,25004,1181896,65.12
6c5c,2055146,24262,1345200,60.37
6c4c,2088782,24286,1311540,61.35
6c3c,2134196,24632,1265780,62.68
6c2c,2179826,24978,1219804,64.02
5c4c,2049960,25414,1349234,60.23
5c3c,2095374,25760,1303474,61.56
5c2c,2141004,26106,1257498,62.9
4c3c,2096970,25786,1301852,61.61
4c2c,2142600,26132,1255876,62.95
3c2c,2155360,26534,1242714,63.32
AcAh,928884,25968,5894364,13.75
AcKh,1729464,78212,5041540,25.82
AcQh,2539124,31120,4278972,37.3
AcJh,2514588,30448,4304180,36.94
AcTh,1680036,137044,5032136,25.53
Ac9h,2837456,29252,3982508,41.64
Ac8h,2879924,28348,3940944,42.25
Ac7h,2874052,27484,3947680,42.16
Ac6h,2900808,28380,3920028,42.56
Ac5h,2886208,31640,3931368,42.37
Ac4h,2886208,32188,3930820,42.37
Ac3h,2892080,34036,3923100,42.47
Ac2h,2897952,36336,3914928,42.58
QcAh,2585796,31124,4232296,37.98
QcKh,1643664,384152,4821400,26.8
QcQh,1987776,27180,4834260,29.22
QcJh,4079344,46812,2723060,59.9
QcTh,4964524,199464,1685228,73.94
Qc9h,4394740,45616,2408860,64.5
Qc8h,4459944,45104,2344168,65.45
Qc7h,4522532,44240,2282444,66.35
Qc6h,4485772,43456,2319988,65.81
Qc5h,4490152,47432,2311632,65.9
Qc4h,4492744,47980,2308492,65.95
Qc3h,4519340,49828,2280048,66.35
Qc2h,4546368,52128,2250720,66.76
JcAh,2561092,30452,4257672,37.61
JcKh,1615992,539004,4694220,27.53
JcQh,4079176,46812,2723228,59.9
JcJh,1975644,26604,4846968,29.04
JcTh,4857972,191680,1799564,72.33
Jc9h,4309672,45128,2494416,63.25
Jc8h,4374876,44616,2429724,64.2
Jc7h,4437464,43752,2368000,65.11
Jc6h,4500520,43500,2305196,66.03
Jc5h,4484828,46760,2317628,65.82
Jc4h,4487420,47308,2314488,65.86
Jc3h,4514016,49156,2286044,66.26
Jc2h,4541044,51456,2256716,66.68
TcAh,1725712,137340,4986164,26.2
TcKh,124584,6649692,74940,50.36
TcQh,4964336,200016,1684864,73.94
TcJh,4857952,192264,1799000,72.33
TcTh,2124784,146448,4577984,32.09
Tc9h,4791372,221112,1836732,71.57
Tc8h,4900216,226792,1722208,73.2
Tc7h,4880044,226576,1742596,72.9
Tc6h,4966688,234308,1648220,74.23
Tc5h,5049864,246084,1553268,75.53
Tc4h,5057496,247280,1544440,75.65
Tc3h,5092068,249776,1507372,76.17
Tc2h,5127072,252724,1469420,76.7
9cAh,2883856,29280,3936080,42.32
9cKh,4603092,715356,1530768,72.43
9cQh,4394232,45640,2409344,64.49
9cJh,4309332,45152,2494732,63.25
9cTh,4791044,220784,1837388,71.56
9c9h,3042032,26296,3780888,44.61
9c8h,4369272,43440,2436504,64.11
9c7h,4410824,42576,2395816,64.71
9c6h,4486684,42324,2320208,65.82
9c5h,4561264,46116,2241836,66.93
9c4h,4656388,46664,2146164,68.32
9c3h,4659412,47548,2142256,68.38
9c2h,4686440,49848,2112928,68.79
8cAh,2926320,28360,3894536,42.93
8cKh,4618328,703592,1527296,72.56
8cQh,4459432,45140,2344644,65.44
8cJh,4374532,44652,2430032,64.2
8cTh,4899876,226708,1722632,73.19
8c9h,4369268,43452,2436496,64.11
8c8h,3132848,27484,3688884,45.94
8c7h,4311984,42464,2494768,63.27
8c6h,4387844,42212,2419160,64.37
8c5h,4462424,46004,2340788,65.49
8c4h,4553648,46552,2249016,66.82
8c3h,4649396,48152,2151668,68.23
8c2h,4652852,49488,2146876,68.29
7cAh,2920280,27440,3901496,42.84
7cKh,4595036,706164,1548016,72.24
7cQh,4521852,44220,2283144,66.34
7cJh,4436952,43732,2368532,65.1
7cTh,4879536,226436,1743244,72.9
7c9h,4410652,42532,2396032,64.71
7c8h,4311816,42408,2494992,63.26
7c7h,3143664,28196,3677356,46.1
7c6h,4296680,41540,2510996,63.04
7c5h,4371260,45332,2432624,64.15
7c4h,4462484,45880,2340852,65.49
7c3h,4558232,47480,2243504,66.9
7c2h,4654412,49532,2145272,68.32
6cAh,2947036,28204,3873976,43.23
6cKh,4578064,709888,1561264,72.02
6cQh,4485092,43304,2320820,65.8
6cJh,4500008,43348,2305860,66.02
6cTh,4966180,234068,1648968,74.22
6c9h,4486512,42148,2320556,65.81
6c8h,4387676,42024,2419516,64.37
6c7h,4296680,41408,2511128,63.03
6c6h,3193884,31000,3624332,46.86
6c5h,4312608,45380,2491228,63.3
6c4h,4383196,45928,2420092,64.33
6c3h,4478944,47528,2322744,65.74
6c2h,4575124,49580,2224512,67.16
5cAh,2932464,31192,3885560,43.04
5cKh,4580760,717948,1550508,72.12
5cQh,4489468,47008,2312740,65.89
5cJh,4484312,46336,2318568,65.81
5cTh,5049352,245604,1554260,75.51
5c9h,4561120,45668,2242428,66.93
5c8h,4462284,45544,2341388,65.48
5c7h,4371288,44928,2433000,64.15
5c6h,4312636,45108,2491472,63.29
5c5h,3251068,38428,3559720,47.75
5c4h,4301976,48340,2498900,63.16
5c3h,4397724,49940,2401552,64.57
5c2h,4493904,51992,2303320,65.99
4cAh,2932632,31244,3885340,43.05
4cKh,4584312,722788,1542116,72.21
4cQh,4492228,47060,2309928,65.93
4cJh,4487072,46388,2315756,65.85
4cTh,5057152,246304,1545760,75.63
4c9h,4656380,45720,2147116,68.32
4c8h,4553644,45596,2249976,66.82
4c7h,4462648,44980,2341588,65.48
4c6h,4383360,45160,2420696,64.33
4c5h,4302144,47844,2499228,63.16
4c4h,3280228,43252,3525736,48.21
4c3h,4400916,49992,2398308,64.62
4c2h,4497096,52044,2300076,66.04
3cAh,2938672,32260,3878284,43.14
3cKh,4614372,729024,1505820,72.69
3cQh,4518992,48076,2282148,66.33
3cJh,4513836,47404,2287976,66.25
3cTh,5091892,247968,1509356,76.15
3c9h,4659572,45772,2143872,68.36
3c8h,4649560,46364,2153292,68.22
3c7h,4558564,45748,2244904,66.89
3c6h,4479276,45928,2324012,65.73
3c5h,4398060,48612,2402544,64.57
3c4h,4401084,49160,2398972,64.62
3c3h,3319292,50916,3479008,48.83
3c2h,4524292,53060,2271864,66.44
2cAh,2944712,33276,3871228,43.24
2cKh,4644432,735692,1469092,73.18
2cQh,4546188,49092,2253936,66.73
2cJh,4541032,48420,2259764,66.65
2cTh,5127064,249632,1472520,76.68
2c9h,4686768,46788,2115660,68.77
2c8h,4653184,46416,2149616,68.28
2c7h,4654912,46516,2147788,68.3
2c6h,4575624,46696,2226896,67.15
2c5h,4494408,49380,2305428,65.98
2c4h,4497432,49928,2301856,66.03
2c3h,4524460,51776,2272980,66.44
2c2h,3362388,59608,3427220,49.53
AhKh,833352,37588,2553668,24.88
AhQh,1205422,14774,2204412,35.41
AhJh,1194762,14528,2215318,35.1
AhTh,810738,64630,2549240,24.62
Ah9h,1346450,14014,2064144,39.52
Ah8h,1364092,13662,2046854,40.03
Ah7h,1361468,13312,2049828,39.95
Ah6h,1373172,13606,2037830,40.3
Ah5h,1366268,14976,2043364,40.11
Ah4h,1366268,15002,2043338,40.11
Ah3h,1368892,15402,2040314,40.2
Ah2h,1371516,15802,2037290,40.28
KhQh,773744,182302,2468562,25.26
KhJh,761772,255290,2407546,25.97
KhTh,74426,3105066,245116,47.51
Kh9h,2145640,337310,941658,67.58
Kh8h,2150890,331606,942112,67.65
Kh7h,2140492,333000,951116,67.37
Kh6h,2132332,334880,957396,67.15
Kh5h,2133180,338748,952680,67.24
Kh4h,2134872,341168,948568,67.32
Kh3h,2148654,344178,931776,67.77
Kh2h,2162436,347404,914768,68.22
QhJh,1897380,22148,1505080,55.73
QhTh,2319674,95240,1009694,69.13
Qh9h,2045412,21634,1357562,60.04
Qh8h,2075146,21450,1328012,60.91
Qh7h,2103578,21098,1299932,61.73
Qh6h,2086530,20746,1317332,61.23
Qh5h,2088162,22436,1314010,61.3
Qh4h,2089458,22462,1312688,61.34
Qh3h,2101664,22862,1300082,61.7
Qh2h,2114086,23262,1287260,62.07
JhTh,2270906,92196,1061506,67.66
Jh9h,2006966,21426,1396216,58.92
Jh8h,2036700,21242,1366666,59.78
Jh7h,2065132,20890,1338586,60.61
Jh6h,2093748,20770,1310090,61.44
Jh5h,2086298,22190,1316120,61.24
Jh4h,2087594,22216,1314798,61.28
Jh3h,2099800,22616,1302192,61.65
Jh2h,2112222,23016,1289370,62.01
Th9h,2238408,105452,1080748,66.9
Th8h,2286858,107684,1030066,68.35
Th7h,2277888,107650,1039070,68.09
Th6h,2317902,110720,995986,69.3
Th5h,2356362,115562,952684,70.49
Th4h,2360130,115904,948574,70.61
Th3h,2376204,116622,931782,71.09
Th2h,2392494,117340,914774,71.58
9h8h,2036086,20630,1367892,59.76
9h7h,2055046,20278,1349284,60.3
9h6h,2089698,20158,1314752,61.31
9h5h,2123840,21810,1278958,62.34
9h4h,2167284,21834,1235490,63.6
9h3h,2168796,21858,1233954,63.65
9h2h,2181218,22258,1221132,64.02
8h7h,2008516,20180,1395912,58.94
8h6h,2043168,20062,1361378,59.95
8h5h,2077310,21714,1325584,60.98
8h4h,2118984,21738,1283886,62.19
8h3h,2162716,22082,1239810,63.47
8h2h,2164444,22106,1238058,63.53
7h6h,2001812,19788,1403008,58.74
7h5h,2035954,21446,1367208,59.76
7h4h,2077628,21470,1325510,60.98
7h3h,2121360,21814,1281434,62.26
7h2h,2165308,22158,1237142,63.55
6h5h,2008874,21474,1394260,58.97
6h4h,2041166,21510,1361932,59.92
6h3h,2084898,21854,1317856,61.2
6h2h,2128846,22198,1273564,62.49
5h4h,2003878,22726,1398004,58.85
5h3h,2047610,23090,1353908,60.13
5h2h,2091558,23434,1309616,61.42
4h3h,2049122,23334,1352152,60.18
4h2h,2093070,23708,1307830,61.46
3h2h,2105492,24440,1294676,61.84
AhAs,245913,5123,1461268,14.51
AhKs,888596,36138,2499874,26.48
AhQs,1287522,12846,2124240,37.78
AhJs,1275426,12512,2136670,37.43
AhTs,864014,65244,2495350,26.18
Ah9s,1433702,11918,1978988,42.04
Ah8s,1454768,11468,1958372,42.65
Ah7s,1451888,11038,1961682,42.56
Ah6s,1465068,11484,1948056,42.95
Ah5s,1457944,13086,1953578,42.76
Ah4s,1457944,13360,1953304,42.77
Ah3s,1460824,14282,1949502,42.87
Ah2s,1463704,15430,1945474,42.97
KhKs,163870,19419,1529015,10.14
KhQs,821598,188490,2414520,26.74
KhJs,808062,265182,2351364,27.47
KhTs,74426,3275756,74426,50.0
Kh9s,2280014,352418,792176,71.72
Kh8s,2287466,346596,790546,71.86
Kh7s,2276102,347912,800594,71.54
Kh6s,2267742,349840,807026,71.33
Kh5s,2269078,353976,801554,71.43
Kh4s,2270770,356644,797194,71.51
Kh3s,2285518,360176,778914,72.0
Kh2s,2300266,364150,760192,72.49
QhQs,494132,5433,1212739,29.02
QhJs,2026486,20706,1377416,59.48
QhTs,2461858,96194,866556,73.29
Qh9s,2181030,20112,1223466,63.98
Qh8s,2213056,19858,1191694,64.91
Qh7s,2243796,19428,1161384,65.8
Qh6s,2225718,19038,1179852,65.27
Qh5s,2227882,20996,1175730,65.36
Qh4s,2229178,21270,1174160,65.4
Qh3s,2242306,22192,1160110,65.8
Qh2s,2255650,23340,1145618,66.21
JhJs,491174,5291,1215839,28.84
JhTs,2409432,92334,922842,71.7
Jh9s,2139306,19870,1265432,62.76
Jh8s,2171332,19616,1233660,63.69
Jh7s,2202072,19186,1203350,64.58
Jh6s,2233044,19060,1172504,65.48
Jh5s,2225358,20662,1178588,65.28
Jh4s,2226654,20936,1177018,65.32
Jh3s,2239782,21858,1162968,65.72
Jh2s,2253126,23006,1148476,66.13
ThTs,528526,34778,1149000,31.88
Th9s,2376638,106532,941438,70.95
Th8s,2430350,109354,884904,72.56
Th7s,2420414,109242,894952,72.27
Th6s,2463120,113088,848400,73.58
Th5s,2504122,118926,801560,74.86
Th4s,2507890,119518,797200,74.98
Th3s,2524930,120758,778920,75.49
Th2s,2542186,122224,760198,76.02
9h9s,754046,5209,953049,44.19
9h8s,2168242,19018,1237348,63.59
9h7s,2188652,18588,1217368,64.18
9h6s,2225884,18462,1180262,65.27
9h5s,2262496,20328,1141784,66.36
9h4s,2309450,20602,1094556,67.74
9h3s,2310962,21044,1092602,67.79
9h2s,2324306,22192,1078110,68.19
8h8s,776587,5503,930214,45.51
8h7s,2139910,18526,1266172,62.76
8h6s,2177142,18400,1229066,63.84
8h5s,2213754,20266,1190588,64.94
8h4s,2258788,20540,1145280,66.26
