Opponent,Wins,Draws,Loses,Equity%
AcKc,1039192,18854,2366562,30.62
AcJc,1143526,18202,2262880,33.66
AcTc,1140762,17848,2265998,33.57
Ac9c,1180558,18222,2225828,34.74
Ac8c,1182718,17974,2223916,34.8
Ac7c,1186452,18048,2220108,34.91
Ac6c,1183818,18072,2222718,34.83
Ac5c,1142046,19310,2263252,33.63
Ac4c,770484,85584,2568540,23.75
Ac3c,1266004,20008,2138596,37.26
Ac2c,1277974,20304,2126330,37.61
KcJc,1110916,25854,2287838,32.82
KcTc,1108152,25500,2290956,32.73
Kc9c,1147948,25874,2250786,33.9
Kc8c,1190864,25894,2207850,35.15
Kc7c,1184756,25646,2214206,34.97
Kc6c,1173856,25398,2225354,34.65
Kc5c,1164004,26870,2233734,34.38
Kc4c,767548,125070,2531990,24.24
Kc3c,1294140,27568,2102900,38.19
Kc2c,1306110,27864,2090634,38.55
JcTc,1757580,33436,1633592,51.81
Jc9c,1804972,34026,1585610,53.2
Jc8c,1854814,34046,1535748,54.66
Jc7c,1903448,34066,1487094,56.08
Jc6c,1945700,33818,1445090,57.31
Jc5c,1946078,34912,1443618,57.34
Jc4c,2364712,160290,899606,71.39
Jc3c,2077480,35610,1311518,61.18
Jc2c,2081278,35906,1307424,61.3
Tc9c,1763642,33728,1627238,51.99
Tc8c,1813484,33748,1577376,53.45
Tc7c,1862118,33768,1528722,54.87
Tc6c,1904370,33520,1486718,56.1
Tc5c,1946510,34936,1443162,57.35
Tc4c,2352688,159972,911948,71.04
Tc3c,2066880,35256,1322472,60.87
Tc2c,2070678,35552,1318378,60.98
9c8c,1761934,34126,1628548,51.95
9c7c,1811992,34146,1578470,53.41
9c6c,1852442,33898,1538268,54.59
9c5c,1894582,35314,1494712,55.84
9c4c,2354438,146182,923988,70.88
9c3c,2055714,35684,1333210,60.55
9c2c,2059512,35980,1329116,60.66
8c7c,1802090,34258,1588260,53.12
8c6c,1832932,34010,1557666,54.02
8c5c,1875072,35426,1514110,55.27
8c4c,2307648,143392,973568,69.48
8c3c,2070056,36030,1318522,60.97
8c2c,2064058,36054,1324496,60.8
7c6c,1815520,34122,1574966,53.51
7c5c,1857660,35538,1531410,54.76
7c4c,2272106,140602,1011900,68.4
7c3c,2046466,36142,1342000,60.29
7c2c,2088224,36400,1299984,61.51
6c5c,1825104,35328,1564176,53.81
6c4c,2222844,137490,1064274,66.92
6c3c,2007732,35932,1380944,59.15
6c2c,2049490,36190,1338928,60.37
5c4c,2173010,149338,1102260,65.63
5c3c,1969108,37170,1418330,58.04
5c2c,2010866,37428,1376314,59.26
4c3c,2256490,158276,1009842,68.2
4c2c,2311008,162084,951516,69.85
3c2c,2134114,38126,1252368,62.87
AcAh,808824,28784,6011608,12.02
AcKh,2171488,34028,4643700,31.95
AcQh,1542956,118212,5188048,23.39
AcJh,2379288,32436,4437492,34.97
AcTh,2373416,31516,4444284,34.88
Ac9h,2454080,32092,4363044,36.06
Ac8h,2458544,31436,4359236,36.12
Ac7h,2465380,31536,4352300,36.23
Ac6h,2458696,31716,4358804,36.13
Ac5h,2368532,34692,4445992,34.83
Ac4h,1572544,174744,5101928,24.24
Ac3h,2627036,37804,4184376,38.63
Ac2h,2653792,39856,4155568,39.04
KcAh,2171348,34032,4643836,31.95
KcKh,808644,29764,6010808,12.02
KcQh,1549968,188408,5110840,24.01
KcJh,2314364,48900,4485952,34.15
KcTh,2308492,47980,4492744,34.05
Kc9h,2389156,48556,4411504,35.24
Kc8h,2476256,48428,4324532,36.51
Kc7h,2463020,47812,4338384,36.31
Kc6h,2438484,47276,4363456,35.95
Kc5h,2415920,50784,4382512,35.64
Kc4h,1565220,257332,5026664,24.73
Kc3h,2687228,53896,4108092,39.63
Kc2h,2713984,55948,4079284,40.03
JcAh,2426084,32412,4390720,35.66
JcKh,2361484,48904,4438828,34.84
JcQh,1577028,567336,4704852,27.17
JcJh,1907288,28900,4913028,28.06
JcTh,3708848,64844,3075524,54.62
Jc9h,3804752,65852,2978612,56.03
Jc8h,3905768,65724,2877724,57.5
Jc7h,4004280,65636,2779300,58.94
Jc6h,4093816,65100,2690300,60.25
Jc5h,4093472,67644,2688100,60.26
Jc4h,4954932,329616,1564668,74.75
Jc3h,4366928,70756,2411532,64.27
Jc2h,4375540,72808,2400868,64.42
TcAh,2420044,31492,4397680,35.56
TcKh,2355444,47984,4445788,34.74
TcQh,1573924,739380,4535912,28.38
TcJh,3708680,64844,3075692,54.62
TcTh,1913208,28980,4907028,28.14
Tc9h,3717164,65180,3066872,54.75
Tc8h,3818180,65052,2965984,56.22
Tc7h,3916692,64964,2867560,57.66
Tc6h,4006228,64428,2778560,58.96
Tc5h,4094168,67688,2687360,60.27
Tc4h,4929120,328768,1591328,74.37
Tc3h,4344052,69836,2435328,63.93
Tc2h,4352664,71888,2424664,64.07
9cAh,2500324,32096,4316796,36.74
9cKh,2435724,48588,4364904,35.92
9cQh,1566604,1039448,4243164,30.46
9cJh,3804416,65880,2978920,56.03
9cTh,3716996,65208,3067012,54.74
9c9h,1938516,32644,4878056,28.54
9c8h,3709640,65844,3073732,54.64
9c7h,3811088,65756,2972372,56.12
9c6h,3896724,65220,2887272,57.37
9c5h,3984664,68480,2796072,58.68
9c4h,4932436,299224,1617556,74.2
9c3h,4319896,70628,2458692,63.59
9c2h,4328508,72680,2448028,63.73
8cAh,2504624,31424,4313168,36.8
8cKh,2522476,48476,4278264,37.18
8cQh,1586728,1429864,3832624,33.6
8cJh,3905268,65768,2878180,57.5
8cTh,3817848,65096,2966272,56.22
8c9h,3709476,65860,3073880,54.64
8c8h,2001660,37004,4810552,29.49
8c7h,3789032,66016,2994168,55.8
8c6h,3854032,65480,2929704,56.75
8c5h,3941972,68740,2838504,58.06
8c4h,4833704,292188,1723324,72.71
8c3h,4349300,71420,2428496,64.02
8c2h,4336876,72756,2439584,63.85
7cAh,2511432,31500,4306284,36.9
7cKh,2509244,47804,4292168,36.98
7cQh,1583448,1961712,3304056,37.44
7cJh,4003784,65656,2779776,58.94
7cTh,3916364,64984,2867868,57.65
7c9h,3810928,65748,2972540,56.12
7c8h,3789036,65992,2994188,55.8
7c7h,2047260,42556,4759400,30.2
7c6h,3816696,65740,2966780,56.2
7c5h,3904636,69000,2875580,57.51
7c4h,4759144,285152,1804920,71.57
7c3h,4299160,71680,2478376,63.29
7c2h,4387516,73548,2388152,64.6
6cAh,2504580,31544,4313092,36.8
6cKh,2484540,47132,4317544,36.62
6cQh,1555776,2487164,2806276,40.87
6cJh,4093152,64984,2691080,60.24
6cTh,4005732,64312,2779172,58.95
6c9h,3896396,65076,2887744,57.36
6c8h,3853868,65320,2930028,56.74
6c7h,3816528,65604,2967084,56.2
6c6h,2054568,47876,4746772,30.35
6c5h,3834964,68512,2945740,56.49
6c4h,4655184,277368,1916664,69.99
6c3h,4216684,71192,2561340,62.08
6c2h,4305040,73060,2471116,63.39
5cAh,2414380,34248,4400588,35.5
5cKh,2461972,50368,4336876,36.31
5cQh,1527304,3043368,2278544,44.52
5cJh,4092804,67256,2689156,60.25
5cTh,4093668,67300,2688248,60.26
5c9h,3984332,68064,2796820,58.67
5c8h,3941804,68308,2839104,58.05
5c7h,3904464,68592,2876160,57.51
5c6h,3834960,68240,2946016,56.49
5c5h,2066936,59364,4722916,30.61
5c4h,4550008,301812,1997396,68.63
5c3h,4134404,73896,2640916,60.9
5c2h,4222760,75764,2550692,62.21
4cAh,1617692,173836,5057688,24.89
4cKh,1610540,256420,4982256,25.39
4cQh,123452,6650652,75112,50.35
4cJh,4954612,328732,1565872,74.74
4cTh,4928968,327884,1592364,74.36
4c9h,4932452,298312,1618452,74.19
4c8h,4833884,291292,1724040,72.7
4c7h,4759320,284312,1805584,71.56
4c6h,4655528,276696,1916992,69.99
4c5h,4550356,301444,1997416,68.64
4c4h,2097500,204752,4546964,32.12
4c3h,4724180,322388,1802648,71.33
4c2h,4838484,332816,1677916,73.07
3cAh,2673220,36032,4139964,39.29
3cKh,2733616,52152,4063448,40.29
3cQh,1949028,3433172,1467016,53.52
3cJh,4366596,69040,2413580,64.26
3cTh,4343888,68120,2437208,63.92
3c9h,4319900,68884,2460432,63.57
3c8h,4349468,69660,2430088,64.01
3c7h,4299324,69944,2479948,63.28
3c6h,4217016,69592,2562608,62.08
3c5h,4134740,72568,2641908,60.9
3c4h,4724168,321460,1803588,71.32
3c3h,3093864,73428,3681924,45.71
3c2h,4479428,77548,2292240,65.97
2cAh,2700144,36800,4112272,39.69
2cKh,2760540,52920,4035756,40.69
2cQh,1978920,3415504,1454792,53.83
2cJh,4375376,69808,2404032,64.39
2cTh,4352668,68888,2427660,64.05
2c9h,4328680,69652,2450884,63.71
2c8h,4337212,69712,2442292,63.83
2c7h,4387848,70528,2390840,64.58
2c6h,4305540,70176,2473500,63.37
2c5h,4223264,73152,2552800,62.19
2c4h,4838640,330636,1679940,73.06
2c3h,4479596,76264,2293356,65.96
2c2h,3161644,86232,3601340,46.79
AhKh,1029964,16102,2378542,30.31
AhQh,744270,56154,2624184,22.55
AhJh,1129388,15420,2279800,33.2
AhTh,1126764,15068,2282776,33.12
Ah9h,1163078,15406,2246124,34.19
Ah8h,1165232,15160,2244216,34.25
Ah7h,1168314,15184,2241110,34.34
Ah6h,1165692,15210,2243706,34.26
Ah5h,1125138,16422,2283048,33.09
Ah4h,758670,81504,2584434,23.34
Ah3h,1246320,17116,2161172,36.64
Ah2h,1258024,17410,2149174,36.99
KhQh,747106,90454,2587048,23.14
KhJh,1099514,23106,2301988,32.44
KhTh,1096890,22754,2304964,32.36
Kh9h,1133204,23092,2268312,33.43
Kh8h,1173270,23078,2228260,34.6
Kh7h,1167270,22832,2234506,34.42
Kh6h,1156610,22588,2245410,34.1
Kh5h,1146888,24032,2253688,33.84
Kh4h,755834,120542,2548232,23.83
Kh3h,1274106,24726,2125776,37.57
Kh2h,1285810,25020,2113778,37.91
QhJh,736658,269200,2418750,25.44
QhTh,735346,350066,2339196,26.58
Qh9h,731850,489780,2202978,28.52
Qh8h,741562,671158,2011888,31.45
Qh7h,740496,917204,1766908,35.01
Qh6h,728524,1160196,1535888,38.21
Qh5h,716178,1416580,1291850,41.6
Qh4h,73942,3105546,245120,47.5
Qh3h,915306,1596076,913226,50.03
Qh2h,928322,1588340,907946,50.3
JhTh,1723300,30696,1670612,50.77
Jh9h,1766928,31232,1626448,52.05
Jh8h,1813678,31218,1579712,53.42
Jh7h,1859248,31204,1534156,54.75
Jh6h,1900612,30958,1493038,55.95
Jh5h,1901172,32026,1491410,55.98
Jh4h,2310270,155314,959024,69.73
Jh3h,2029518,32720,1362370,59.74
Jh2h,2033110,33014,1358484,59.85
Th9h,1727228,30936,1666444,50.89
Th8h,1773978,30922,1619708,52.25
Th7h,1819548,30908,1574152,53.58
Th6h,1860912,30662,1533034,54.79
