Opponent,Wins,Draws,Loses,Equity%
AcKc,1845198,16222,1563188,54.12
AcJc,2330876,15600,1078132,68.29
AcTc,2318528,15222,1090858,67.92
Ac9c,2340888,15024,1068696,68.57
Ac8c,2330054,14646,1079908,68.25
Ac7c,2335840,14484,1074284,68.42
Ac6c,2335864,14484,1074260,68.42
Ac5c,2286210,15964,1122434,66.99
Ac4c,2298606,16342,1109660,67.36
Ac3c,2311002,16720,1096886,67.73
Ac2c,2323398,17098,1084112,68.09
KcJc,2326342,15894,1082372,68.16
KcTc,2313994,15516,1095098,67.8
Kc9c,2336354,15318,1072936,68.45
Kc8c,2351112,15120,1058376,68.87
Kc7c,2352062,14742,1057804,68.9
Kc6c,2339714,14364,1070530,68.53
Kc5c,2337938,16166,1070504,68.5
Kc4c,2350334,16544,1057730,68.87
Kc3c,2362730,16922,1044956,69.24
Kc2c,2375126,17300,1032182,69.61
JcTc,2808328,15120,601160,82.23
Jc9c,2818408,14922,591278,82.52
Jc8c,2823734,14724,586150,82.67
Jc7c,2837836,14526,572246,83.08
Jc6c,2879236,14148,531224,84.28
Jc5c,2863578,15572,545458,83.85
Jc4c,2877482,15950,531176,84.26
Jc3c,2891386,16328,516894,84.67
Jc2c,2905290,16706,502612,85.08
Tc9c,2761378,14600,648630,80.85
Tc8c,2766704,14402,643502,81.0
Tc7c,2780806,14204,629598,81.41
Tc6c,2822206,13826,588576,82.61
Tc5c,2863602,15572,545434,83.85
Tc4c,2863626,15572,545410,83.85
Tc3c,2877530,15950,531128,84.26
Tc2c,2891434,16328,516846,84.67
9c8c,2717280,14296,693032,79.55
9c7c,2731382,14098,679128,79.96
9c6c,2770980,13720,639908,81.11
9c5c,2812376,15466,596766,82.35
9c4c,2869454,15788,539366,84.02
9c3c,2869478,15788,539342,84.02
9c2c,2883382,16166,525060,84.43
8c7c,2692486,13992,718130,78.83
8c6c,2720592,13614,690402,79.64
8c5c,2761988,15360,647260,80.88
8c4c,2819066,15682,589860,82.55
8c3c,2876144,16004,532460,84.22
8c2c,2876168,16004,532436,84.22
7c6c,2681696,13508,729404,78.5
7c5c,2723092,15254,686262,79.74
7c4c,2780170,15576,628862,81.41
7c3c,2837248,15898,571462,83.08
7c2c,2894326,16220,514062,84.75
6c5c,2666062,14932,743614,78.07
6c4c,2723140,15254,686214,79.74
6c3c,2780218,15576,628814,81.41
6c2c,2837296,15898,571414,83.08
5c4c,2664308,16734,743566,78.04
5c3c,2721386,17056,686166,79.71
5c2c,2778464,17378,628766,81.39
4c3c,2735290,17434,671884,80.13
4c2c,2792368,17756,614484,81.8
3c2c,2806272,18134,600202,82.21
AcAh,1249004,29756,5570456,18.45
AcKh,3873068,28904,2947244,56.76
AcQh,4723888,91108,2034220,69.63
AcJh,4868656,27364,1953196,71.28
AcTh,4842196,26396,1980624,70.89
Ac9h,4886572,25776,1936868,71.53
Ac8h,4863300,24824,1961092,71.19
Ac7h,4875180,24380,1949656,71.36
Ac6h,4875228,24512,1949476,71.36
Ac5h,4769748,27972,2051496,69.84
Ac4h,4796304,29436,2023476,70.24
Ac3h,4822860,31236,1995120,70.64
Ac2h,4849416,33488,1966312,71.05
KcAh,3872936,28908,2947372,56.76
KcKh,1221404,31840,5595972,18.07
KcQh,4647192,84384,2117640,68.47
KcJh,4860720,28148,1960348,71.17
KcTh,4834260,27180,1987776,70.78
Kc9h,4878636,26560,1944020,71.42
Kc8h,4907488,25952,1915776,71.84
Kc7h,4909716,25040,1914460,71.87
Kc6h,4883256,24208,1941752,71.47
Kc5h,4879404,28384,1941428,71.45
Kc4h,4905960,29848,1913408,71.85
Kc3h,4932516,31648,1885052,72.25
Kc2h,4959072,33900,1856244,72.65
JcAh,4918880,27340,1902996,72.02
JcKh,4911076,28152,1909988,71.91
JcQh,6070104,114256,664856,89.46
JcJh,5599036,30052,1220128,81.97
JcTh,5861508,26288,961420,85.77
Jc9h,5880716,25668,942832,86.05
Jc8h,5890272,25060,933884,86.18
Jc7h,5917892,24492,906832,86.58
Jc6h,6005724,23660,819832,87.86
Jc5h,5972428,26872,849916,87.39
Jc4h,6001920,28336,818960,87.84
Jc3h,6031412,30136,787668,88.28
Jc2h,6060904,32388,755924,88.73
TcAh,4892252,26372,1930592,71.62
TcKh,4884448,27184,1937584,71.51
TcQh,6040540,113288,695388,89.02
TcJh,5861340,26288,961588,85.77
TcTh,5572676,28116,1248424,81.57
Tc9h,5760904,24948,1063364,84.29
Tc8h,5770460,24340,1054416,84.43
Tc7h,5798080,23772,1027364,84.83
Tc6h,5885912,22940,940364,86.1
Tc5h,5972308,26868,850040,87.39
Tc4h,5972356,27368,849492,87.4
Tc3h,6001848,29168,818200,87.84
Tc2h,6031340,31420,786456,88.29
9cAh,4936420,25780,1887016,72.26
9cKh,4928616,26592,1894008,72.15
9cQh,6167776,121760,559680,90.94
9cJh,5880340,25696,943180,86.04
9cTh,5760696,24976,1063544,84.29
9c9h,5547320,27152,1274744,81.19
9c8h,5666384,24120,1158712,82.91
9c7h,5694004,23552,1131660,83.31
9c6h,5777936,22720,1048560,84.52
9c5h,5864332,26648,958236,85.82
9c4h,5984072,27864,837280,87.57
9c3h,5984120,28700,836396,87.58
9c2h,6013612,30952,804652,88.03
8cAh,4912944,24812,1911460,71.91
8cKh,4957264,26000,1865952,72.57
8cQh,6262248,128692,458276,92.37
8cJh,5889692,25104,934420,86.17
8cTh,5770048,24384,1054784,84.42
8c9h,5666180,24136,1158900,82.9
8c8h,5525868,26200,1297148,80.87
8c7h,5612496,23332,1213388,82.11
8c6h,5671892,22500,1154824,82.98
8c5h,5758288,26428,1064500,84.27
8c4h,5878028,27644,943544,86.02
8c3h,5997768,29196,822252,87.78
8c2h,5997816,30484,820916,87.79
7cAh,4924788,24344,1900084,72.08
7cKh,4959456,25032,1864728,72.59
7cQh,6356888,135624,356704,93.8
7cJh,5917276,24512,907428,86.57
7cTh,5797632,23792,1027792,84.82
7c9h,5693764,23544,1131908,83.3
7c8h,5612460,23308,1213448,82.11
7c7h,5530084,25288,1293844,80.92
7c6h,5590552,22280,1236384,81.79
7c5h,5676948,26208,1146060,83.08
7c4h,5796688,27424,1025104,84.83
7c3h,5916428,28976,903812,86.59
7c2h,6036168,30980,782068,88.36
6cAh,4924668,24340,1900208,72.08
6cKh,4932828,24064,1892324,72.2
6cQh,6327324,134656,387236,93.36
6cJh,6004940,23544,820732,87.85
6cTh,5885296,22824,941096,86.09
6c9h,5777528,22576,1049112,84.52
6c8h,5671688,22340,1155188,82.97
6c7h,5590384,22144,1236688,81.78
6c6h,5503724,23488,1322004,80.53
6c5h,5557136,25488,1266592,81.32
6c4h,5676876,26704,1145636,83.08
6c3h,5796616,28256,1024344,84.84
6c2h,5916356,30260,902600,86.6
5cAh,4819184,27528,2002504,70.56
5cKh,4928972,27968,1892276,72.17
5cQh,6323468,138560,387188,93.34
5cJh,5971640,26484,851092,87.38
5cTh,5971688,26480,851048,87.38
5c9h,5863920,26232,959064,85.81
5c8h,5758080,25996,1065140,84.26
5c7h,5676776,25800,1146640,83.07
5c6h,5557132,25216,1266868,81.32
5c5h,5501100,27668,1320448,80.52
5c4h,5553328,29892,1265996,81.3
5c3h,5673068,31444,1144704,83.06
5c2h,5792808,33448,1022960,84.82
4cAh,4845908,28496,1974812,70.96
4cKh,4955696,28936,1864584,72.57
4cQh,6353128,139528,356560,93.78
4cJh,6001300,27452,820464,87.82
4cTh,5971904,26484,850828,87.38
4c9h,5983828,26952,838436,87.56
4c8h,5877988,26716,944512,86.01
4c7h,5796684,26520,1026012,84.83
4c6h,5677040,25936,1146240,83.08
4c5h,5553496,29396,1266324,81.3
4c4h,5530020,30100,1289096,80.96
4c3h,5702728,32412,1114076,83.5
4c2h,5822468,34416,992332,85.26
3cAh,4872632,29464,1947120,71.36
3cKh,4982420,29904,1836892,72.96
3cQh,6382788,140496,325932,94.22
3cJh,6030960,28420,789836,88.26
3cTh,6001564,27452,820200,87.82
3c9h,5984044,26956,838216,87.57
3c8h,5997896,27436,823884,87.77
3c7h,5916592,27240,905384,86.58
3c6h,5796948,26656,1025612,84.83
3c5h,5673404,30116,1145696,83.05
3c4h,5702896,31580,1114740,83.49
3c3h,5558940,32868,1257408,81.4
3c2h,5852128,35384,961704,85.7
2cAh,4899356,30432,1919428,71.75
2cKh,5009144,30872,1809200,73.36
2cQh,6412448,141464,295304,94.66
2cJh,6060620,29388,759208,88.7
2cTh,6031224,28420,789572,88.26
2c9h,6013704,27924,807588,88.01
2c8h,5998112,27440,823664,87.77
2c7h,6036500,27960,784756,88.34
2c6h,5916856,27376,904984,86.59
2c5h,5793312,30836,1025068,84.81
2c4h,5822804,32300,994112,85.25
2c3h,5852296,34100,962820,85.69
2c2h,5587860,36088,1225268,81.85
AhKh,1835212,13464,1575932,53.79
AhQh,2229566,42524,1152518,65.73
AhJh,2314104,12814,1097690,67.76
AhTh,2302038,12438,1110132,67.4
Ah9h,2322196,12206,1090206,67.99
Ah8h,2311530,11830,1101248,67.67
Ah7h,2316698,11618,1096292,67.82
Ah6h,2316722,11620,1096266,67.82
Ah5h,2268338,13072,1143198,66.43
Ah4h,2280452,13448,1130708,66.79
Ah3h,2292566,13824,1118218,67.15
Ah2h,2304680,14200,1105728,67.5
KhQh,2194448,39900,1190260,64.66
KhJh,2310832,13142,1100634,67.67
KhTh,2298766,12766,1113076,67.31
Kh9h,2318924,12534,1093150,67.9
Kh8h,2332234,12302,1080072,68.28
Kh7h,2333178,11926,1079504,68.3
Kh6h,2321112,11552,1091944,67.95
Kh5h,2319366,13324,1091918,67.92
Kh4h,2331480,13700,1079428,68.28
Kh3h,2343594,14076,1066938,68.64
Kh2h,2355708,14452,1054448,69.0
QhJh,2855438,54302,514868,84.17
QhTh,2841976,53926,528706,83.77
Qh9h,2900722,57298,466588,85.54
Qh8h,2944482,60026,420100,86.86
Qh7h,2988242,62754,373612,88.17
Qh6h,2974780,62378,387450,87.78
Qh5h,2973034,64150,387424,87.75
Qh4h,2986544,64526,373538,88.15
Qh3h,3000054,64902,359652,88.55
Qh2h,3013564,65278,345766,88.95
JhTh,2771674,12378,640556,81.11
Jh9h,2779866,12146,632596,81.35
Jh8h,2784002,11914,628692,81.47
Jh7h,2796756,11682,616170,81.84
Jh6h,2837264,11306,576038,83.01
Jh5h,2822032,12702,589874,82.59
Jh4h,2835542,13078,575988,82.99
Jh3h,2849052,13454,562102,83.39
Jh2h,2862562,13830,548216,83.79
Th9h,2724634,11826,688148,79.73
Th8h,2728770,11594,684244,79.85
Th7h,2741524,11362,671722,80.22
Th6h,2782032,10986,631590,81.4
Th5h,2822056,12702,589850,82.59
Th4h,2822080,12702,589826,82.59
Th3h,2835590,13078,575940,82.99
Th2h,2849100,13454,562054,83.39
9h8h,2680390,11438,732780,78.44
9h7h,2693144,11206,720258,78.8
9h6h,2731882,10830,681896,79.93
9h5h,2771906,12546,640156,81.12
9h4h,2827186,12866,584556,82.74
9h3h,2827210,12866,584532,82.74
9h2h,2840720,13242,570646,83.14
8h7h,2655146,11054,758408,77.69
8h6h,2682648,10680,731280,78.49
8h5h,2722672,12396,689540,79.68
8h4h,2777952,12716,633940,81.3
8h3h,2833232,13036,578340,82.92
8h2h,2833256,13036,578316,82.92
7h6h,2644650,10544,769414,77.38
7h5h,2684674,12266,727668,78.57
7h4h,2739954,12586,672068,80.19
7h3h,2795234,12906,616468,81.81
