Opponent,Wins,Draws,Loses,Equity%
AcKc,1158300,17502,2248806,34.08
AcJc,1252802,17044,2154762,36.83
AcTc,874322,65410,2484876,26.49
Ac9c,1403624,16556,2004428,41.23
Ac8c,1412846,16202,1995560,41.49
Ac7c,1437822,16082,1970704,42.22
Ac6c,1437822,16106,1970680,42.22
Ac5c,1430234,17504,1976870,42.02
Ac4c,1430234,17530,1976844,42.02
Ac3c,1432998,17932,1973678,42.11
Ac2c,1435762,18334,1970512,42.19
KcJc,1214934,24872,2184802,35.84
KcTc,823556,99702,2501350,25.5
Kc9c,1373004,24384,2027220,40.45
Kc8c,1418336,24228,1982044,41.77
Kc7c,1436148,23874,1964586,42.28
Kc6c,1433384,23520,1967704,42.2
Kc5c,1444014,25240,1955354,42.53
Kc4c,1444014,25266,1955328,42.53
Kc3c,1446778,25668,1952162,42.62
Kc2c,1449542,26070,1948996,42.71
JcTc,2338382,129512,956714,70.17
Jc9c,2084586,32694,1307328,61.35
Jc8c,2115898,32538,1276172,62.26
Jc7c,2147702,32382,1244524,63.19
Jc6c,2177230,32028,1215350,64.04
Jc5c,2169534,33476,1221598,63.84
Jc4c,2170914,33502,1220192,63.88
Jc3c,2183458,33904,1207246,64.25
Jc2c,2196218,34306,1194084,64.63
Tc9c,2294772,143134,986702,69.1
Tc8c,2307058,145388,972162,69.49
Tc7c,2358496,148368,917744,71.04
Tc6c,2349622,148626,926360,70.78
Tc5c,2389234,153858,881516,72.01
Tc4c,2392762,154494,877352,72.13
Tc3c,2408962,155508,860138,72.61
Tc2c,2425378,156522,842708,73.11
9c8c,2104786,31570,1288252,61.92
9c7c,2136914,31414,1256280,62.86
9c6c,2165100,31060,1228448,63.68
9c5c,2200656,32742,1191210,64.74
9c4c,2245700,32766,1146142,66.05
9c3c,2247212,32790,1144606,66.1
9c2c,2259972,33192,1131444,66.48
8c7c,2089272,31080,1304256,61.46
8c6c,2109054,30726,1284828,62.03
8c5c,2144610,32408,1247590,63.1
8c4c,2187854,32432,1204322,64.36
8c3c,2233268,32778,1158562,65.69
8c2c,2234996,32802,1156810,65.74
7c6c,2071182,30662,1322764,60.93
7c5c,2106738,32344,1285526,61.99
7c4c,2140374,32368,1251866,62.97
7c3c,2185788,32714,1206106,64.3
7c2c,2231418,33060,1160130,65.64
6c5c,2063916,32046,1328646,60.74
6c4c,2097552,32070,1294986,61.72
6c3c,2142966,32416,1249226,63.05
6c2c,2188596,32762,1203250,64.39
5c4c,2058730,33198,1332680,60.6
5c3c,2104144,33544,1286920,61.93
5c2c,2149774,33890,1240944,63.27
4c3c,2105740,33570,1285298,61.98
4c2c,2151370,33916,1239322,63.32
3c2c,2164130,34318,1226160,63.69
AcAh,1049416,25248,5774552,15.51
AcKh,2417196,31120,4400900,35.52
AcQh,1813480,100744,4934992,27.21
AcJh,2600144,29960,4219112,38.18
AcTh,1794372,129260,4925584,27.14
Ac9h,2910208,28764,3910244,42.7
Ac8h,2933860,27860,3887496,43.04
Ac7h,2989932,27528,3831756,43.85
Ac6h,2989932,27708,3831576,43.86
Ac5h,2975332,30968,3842916,43.67
Ac4h,2975332,31516,3842368,43.67
Ac3h,2981204,33364,3834648,43.77
Ac2h,2987076,35664,3826476,43.87
KcAh,2416816,31124,4401276,35.51
KcKh,945152,27096,5876968,14.0
KcQh,1704700,171176,4973340,26.14
KcJh,2521048,46812,4281356,37.15
KcTh,1685228,199464,4964524,26.06
Kc9h,2846136,45616,3957464,41.89
Kc8h,2939876,45104,3864236,43.25
Kc7h,2982344,44240,3822632,43.87
Kc6h,2976472,43456,3829288,43.77
Kc5h,3000292,47432,3801492,44.15
Kc4h,3000292,47980,3800944,44.16
Kc3h,3006164,49828,3793224,44.25
Kc2h,3012036,52128,3785052,44.36
JcAh,2646656,29940,4172620,38.86
JcKh,2567736,46816,4234664,37.83
JcQh,1615392,556288,4677536,27.65
JcJh,2009840,26852,4812524,29.54
JcTh,4902800,258932,1687484,73.47
Jc9h,4376532,63236,2409448,64.36
Jc8h,4441168,62724,2345324,65.3
Jc7h,4506804,62252,2280160,66.25
Jc6h,4569824,61468,2217924,67.17
Jc5h,4554132,64728,2230356,66.96
Jc4h,4556724,65276,2227216,67.01
Jc3h,4583320,67124,2198772,67.41
Jc2h,4610348,69424,2169444,67.82
TcAh,1840080,129560,4879576,27.81
TcKh,1731304,200020,4917892,26.74
TcQh,124756,6649688,74772,50.36
TcJh,4902764,259744,1686708,73.48
TcTh,2235248,139188,4474780,33.65
Tc9h,4808968,287760,1752488,72.31
Tc8h,4833864,292504,1722848,72.71
Tc7h,4942564,298800,1607852,74.34
Tc6h,4922248,299240,1627728,74.05
Tc5h,5004848,311592,1532776,75.35
Tc4h,5011904,313364,1523948,75.46
Tc3h,5045900,316436,1486880,75.98
Tc2h,5080328,319960,1448928,76.51
9cAh,2956612,28768,3863836,43.38
9cKh,2892716,45644,3910856,42.57
9cQh,4586348,732064,1530804,72.31
9cJh,4376188,63260,2409768,64.36
9cTh,4808652,287204,1753360,72.3
9c9h,3094288,26544,3728384,45.37
9c8h,4414708,60716,2373792,64.9
9c7h,4480992,60244,2307980,65.86
9c6h,4541076,59460,2248680,66.73
9c5h,4615656,63252,2170308,67.85
9c4h,4710780,63800,2074636,69.24
9c3h,4713804,64684,2070728,69.29
9c2h,4740832,66984,2041400,69.71
8cAh,2980092,27848,3841276,43.71
8cKh,2986488,45144,3817584,43.93
8cQh,4601416,719304,1528496,72.43
8cJh,4440652,62760,2345804,65.29
8cTh,4833368,292192,1723656,72.7
8c9h,4414536,60728,2373952,64.9
8c8h,3165544,28308,3655364,46.42
8c7h,4382128,59556,2407532,64.41
8c6h,4424112,58772,2366332,65.02
8c5h,4498692,62564,2287960,66.14
