Opponent,Wins,Draws,Loses,Equity%
AcKc,1048812,19048,2356748,30.9
AcQc,1038420,18750,2367438,30.6
AcJc,1028028,18452,2378128,30.29
Ac9c,1183562,18068,2222978,34.82
Ac8c,1170958,18174,2235476,34.46
Ac7c,1182960,18248,2223400,34.81
Ac6c,1193620,18594,2212394,35.13
Ac5c,1161918,19776,2242914,34.22
Ac4c,1161918,19800,2242890,34.22
Ac3c,796390,71572,2556646,24.3
Ac2c,1286946,20498,2117164,37.88
KcQc,1012172,26402,2386034,29.94
KcJc,1001780,26104,2396724,29.63
Kc9c,1151168,25720,2247720,33.99
Kc8c,1179104,26094,2219410,34.81
Kc7c,1181264,25846,2217498,34.87
Kc6c,1183658,25920,2215030,34.94
Kc5c,1183876,27336,2213396,34.97
Kc4c,1183876,27360,2213372,34.97
Kc3c,793454,111058,2520096,24.79
Kc2c,1314884,28058,2081666,38.8
QcJc,965734,34554,2424320,28.7
Qc9c,1108760,34170,2281678,32.88
Qc8c,1136696,34544,2253368,33.7
Qc7c,1179612,34564,2210432,34.95
Qc6c,1172164,34316,2218128,34.73
Qc5c,1172382,35732,2216494,34.76
Qc4c,1172382,35756,2216470,34.76
Qc3c,780620,146596,2497392,24.93
Qc2c,1303390,36454,2084764,38.59
Jc9c,1066352,47866,2310390,31.84
Jc8c,1094288,48240,2282080,32.66
Jc7c,1137204,48260,2239144,33.91
Jc6c,1170512,48280,2205816,34.88
Jc5c,1160888,49374,2214346,34.62
Jc4c,1160888,49398,2214322,34.62
Jc3c,767786,192726,2464096,25.23
Jc2c,1291896,50096,2082616,38.46
9c8c,1734788,68382,1621438,51.65
9c7c,1784630,68618,1571360,53.11
9c6c,1833480,68638,1522490,54.54
9c5c,1882628,70000,1471980,56.0
9c4c,1926312,70024,1428272,57.27
9c3c,2272108,254180,898320,70.06
9c2c,2047968,70344,1306296,60.83
8c7c,1732190,68300,1624118,51.58
8c6c,1782464,68320,1573824,53.05
8c5c,1831612,69682,1523314,54.5
8c4c,1875296,69706,1479606,55.78
8c3c,2275734,238730,910144,69.94
8c2c,2037714,70076,1316818,60.53
7c6c,1763170,68432,1593006,52.48
7c5c,1812318,69794,1542496,53.94
7c4c,1854200,69818,1500590,55.16
7c3c,2227358,235940,961310,68.48
7c2c,2050470,70422,1303716,60.9
6c5c,1795122,69906,1559580,53.44
6c4c,1827396,69930,1527282,54.38
6c3c,2181000,233150,1010458,67.09
6c2c,2017488,70534,1336586,59.94
5c4c,1798924,71112,1554572,53.57
5c3c,2132646,244942,1047020,65.85
5c2c,1981768,71716,1371124,58.92
4c3c,2134374,245002,1045232,65.9
4c2c,1983496,71740,1369372,58.97
3c2c,2214902,259700,950006,68.47
AcAh,838596,28648,5981972,12.45
AcKh,2192364,34036,4622816,32.26
AcQh,2170048,33364,4645804,31.93
AcJh,2147732,32692,4668792,31.6
AcTh,1500360,179004,5169852,23.21
Ac9h,2460868,31632,4356716,36.16
Ac8h,2434924,31692,4382600,35.78
Ac7h,2459460,31792,4357964,36.14
Ac6h,2481212,32688,4335316,36.46
Ac5h,2412648,35416,4401152,35.48
Ac4h,2412648,35964,4400604,35.49
Ac3h,1628396,145276,5075544,24.84
Ac2h,2673372,39864,4135980,39.32
KcAh,2192224,34040,4622952,32.26
KcKh,838416,29628,5981172,12.46
KcQh,2117928,49828,4681460,31.29
KcJh,2095612,49156,4704448,30.96
KcTh,1507372,249776,5092068,23.83
Kc9h,2396376,48096,4404744,35.34
Kc8h,2452636,48684,4347896,36.16
Kc7h,2457100,48068,4344048,36.23
Kc6h,2461000,48248,4339968,36.28
Kc5h,2460036,51508,4337672,36.29
Kc4h,2460036,52056,4337124,36.3
Kc3h,1621072,227864,5000280,25.33
Kc2h,2733132,55956,4060128,40.31
QcAh,2169736,33340,4646140,31.92
QcKh,2117756,49832,4681628,31.28
QcQh,818200,29168,6001848,12.16
QcJh,2021144,67124,4760948,30.0
QcTh,1486880,316436,5045900,24.02
Qc9h,2309104,66064,4474048,34.2
Qc8h,2365364,66652,4417200,35.02
Qc7h,2452464,66564,4330188,36.29
Qc6h,2436292,66028,4346896,36.05
Qc5h,2435328,69288,4344600,36.06
Qc4h,2435328,69836,4344052,36.07
Qc3h,1593428,300996,4954792,25.46
Qc2h,2708424,73736,4067056,40.08
JcAh,2147248,32640,4669328,31.59
JcKh,2095268,49132,4704816,30.95
JcQh,2020972,67128,4761116,30.0
JcJh,797984,30436,6020796,11.87
JcTh,1466388,379952,5002876,24.18
Jc9h,2221832,95256,4532128,33.13
Jc8h,2278092,95844,4475280,33.96
Jc7h,2365192,95756,4388268,35.23
Jc6h,2431656,95748,4321812,36.2
Jc5h,2410620,98292,4340304,35.91
Jc4h,2410620,98840,4339756,35.92
Jc3h,1565784,396376,4887056,25.75
Jc2h,2683716,102740,4062760,39.93
9cAh,2507176,31580,4310460,36.84
9cKh,2443008,48072,4358136,36.02
9cQh,2356092,66068,4427056,34.88
9cJh,2269176,95288,4484752,33.83
9cTh,1516712,1079692,4252812,30.03
9c9h,1916576,38480,4894160,28.26
9c8h,3659600,138904,3050712,54.44
9c7h,3760616,139248,2949352,55.92
9c6h,3859560,139240,2850416,57.37
9c5h,3958936,142312,2747968,58.84
9c4h,4052272,142860,2654084,60.21
9c3h,4763968,523816,1561432,73.38
9c2h,4304808,145796,2398612,63.92
8cAh,2481064,31624,4336528,36.45
8cKh,2498916,48676,4301624,36.84
8cQh,2412000,66672,4370544,35.7
8cJh,2325084,95892,4428240,34.65
8cTh,1506456,1436268,3906492,32.48
8c9h,3659432,138920,3050864,54.44
8c8h,1937452,46764,4865000,28.63
8c7h,3650108,138540,3060568,54.3
8c6h,3751988,138532,2958696,55.79
8c5h,3851364,141604,2856248,57.26
8c4h,3944700,142152,2762364,58.63
8c3h,4771188,490800,1587228,73.24
8c2h,4282584,145088,2421544,63.59
7cAh,2505400,31700,4312116,36.81
7cKh,2503212,48004,4298000,36.9
7cQh,2498748,66560,4283908,36.97
7cJh,2411832,95780,4341604,35.91
7cTh,1526576,1896496,3426144,36.13
7c9h,3760280,139240,2949696,55.92
7c8h,3649940,138516,3060760,54.3
7c7h,1999872,56924,4792420,29.61
7c6h,3709724,138792,3000700,55.18
7c5h,3809100,141864,2898252,56.65
7c4h,3898536,142412,2808268,57.96
7c3h,4668984,483764,1696468,71.7
7c2h,4308516,145880,2394820,63.97
6cAh,2526956,32492,4289768,37.13
6cKh,2506916,48080,4294220,36.95
6cQh,2482412,65888,4300916,36.72
6cJh,2477948,95668,4275600,36.88
6cTh,1523128,2466256,2859832,40.24
6c9h,3859060,139128,2851028,57.36
6c8h,3751656,138404,2959156,55.79
6c7h,3709560,138688,3000968,55.17
6c6h,2043432,69468,4736316,30.34
6c5h,3772028,142124,2935064,56.11
6c4h,3840828,142672,2865716,57.12
6c3h,4571116,476728,1801372,70.22
6c2h,4238004,146140,2465072,62.94
5cAh,2458328,34976,4355912,36.15
5cKh,2505920,51096,4292200,36.96
5cQh,2481416,68904,4298896,36.73
5cJh,2456912,97936,4294368,36.59
5cTh,1512044,3065800,2271372,44.46
5c9h,3958436,141956,2748824,58.83
5c8h,3851032,141232,2856952,57.26
5c7h,3808936,141516,2898764,56.64
5c6h,3772028,141880,2935308,56.11
5c5h,2084064,87400,4677752,31.07
5c4h,3779664,145156,2924396,56.24
5c3h,4469096,500952,1879168,68.91
5c2h,4161816,148624,2538776,61.85
4cAh,2458328,35024,4355864,36.15
4cKh,2505920,51144,4292152,36.96
4cQh,2481416,68952,4298848,36.73
4cJh,2456912,97984,4294320,36.59
4cTh,1512044,3445624,1891548,47.23
4c9h,4051772,142004,2655440,60.19
4c8h,3944368,141280,2763568,58.62
4c7h,3898372,141564,2809280,57.95
4c6h,3840828,141928,2866460,57.11
4c5h,3779664,144656,2924896,56.24
4c4h,2108352,104892,4635972,31.55
4c3h,4472552,501072,1875592,68.96
4c2h,4165272,148672,2535272,61.9
3cAh,1673376,143536,5032304,25.48
3cKh,1666224,226120,4956872,25.98
3cQh,1638784,299280,4911152,26.11
3cJh,1611344,394688,4843184,26.41
3cTh,122792,6651476,74948,50.35
3c9h,4763816,522128,1563272,73.36
3c8h,4771204,489096,1588916,73.23
3c7h,4669168,482116,1697932,71.69
3c6h,4571464,475216,1802536,70.21
3c5h,4469444,499716,1880056,68.9
3c4h,4472900,500336,1875980,68.96
3c3h,2148160,229912,4471144,33.04
3c2h,4640820,533588,1674808,71.65
2cAh,2719388,36808,4093020,39.97
2cKh,2779352,52928,4016936,40.97
2cQh,2754848,70736,4023632,40.74
2cJh,2730344,99768,4019104,40.59
2cTh,1927456,3469896,1451864,53.47
2c9h,4304644,142824,2401748,63.89
2c8h,4282588,142100,2424528,63.56
2c7h,4308688,142916,2397612,63.95
2c6h,4238340,143280,2467596,62.93
2c5h,4162152,146008,2541056,61.83
2c4h,4165608,146556,2537052,61.89
2c3h,4640808,532240,1676168,71.64
2c2h,3141288,130160,3577768,46.81
AhKh,1039412,16130,2369066,30.59
AhQh,1029796,15884,2378928,30.3
AhJh,1020180,15638,2388790,30.02
AhTh,724472,84054,2616082,22.38
Ah9h,1167180,15188,2242240,34.3
Ah8h,1154814,15294,2254500,33.94
Ah7h,1166050,15318,2243240,34.27
Ah6h,1175858,15612,2233138,34.56
Ah5h,1144652,16718,2263238,33.67
Ah4h,1144652,16744,2263212,33.67
Ah3h,784118,67638,2572852,23.88
Ah2h,1266878,17438,2140292,37.25
KhQh,1005958,23570,2395080,29.72
KhJh,996342,23324,2404942,29.43
KhTh,727308,118630,2578670,22.97
Kh9h,1137504,22874,2264230,33.55
Kh8h,1162852,23212,2238544,34.29
Kh7h,1165006,22966,2236636,34.35
Kh6h,1166776,22990,2234842,34.41
Kh5h,1166402,24328,2233878,34.41
Kh4h,1166402,24354,2233852,34.42
Kh3h,781282,106676,2536650,24.37
Kh2h,1294466,25048,2105094,38.16
QhJh,962888,31810,2429910,28.58
QhTh,718172,151310,2555126,23.18
Qh9h,1098014,31360,2295234,32.52
Qh8h,1123362,31698,2269548,33.27
Qh7h,1163428,31684,2229496,34.44
Qh6h,1156116,31438,2237054,34.22
Qh5h,1155742,32776,2236090,34.23
Qh4h,1155742,32802,2236064,34.23
Qh3h,769310,141866,2513432,24.54
Qh2h,1283806,33496,2107306,37.98
JhTh,709036,182484,2533088,23.37
Jh9h,1058524,45056,2321028,31.57
Jh8h,1083872,45394,2295342,32.31
Jh7h,1123938,45380,2255290,33.48
Jh6h,1154538,45366,2224704,34.38
Jh5h,1145082,46434,2233092,34.11
Jh4h,1145082,46460,2233066,34.12
Jh3h,757338,187460,2479810,24.85
Jh2h,1273146,47154,2104308,37.86
Th9h,709036,509098,2206474,28.14
Th8h,704228,674830,2045550,30.42
Th7h,713940,887942,1822726,33.81
Th6h,712874,1150956,1560778,37.62
Th5h,708352,1426986,1289270,41.52
Th4h,708352,1602038,1114218,44.07
Th3h,73528,3105958,245122,47.49
Th2h,904276,1613778,906554,49.97
9h8h,1700530,65316,1658762,50.61
9h7h,1747298,65500,1611810,51.98
9h6h,1793084,65486,1566038,53.31
9h5h,1839170,66786,1518652,54.68
9h4h,1881786,66810,1476012,55.92
9h3h,2219504,247856,957248,68.43
9h2h,2000698,67128,1356782,59.4
8h7h,1696064,65140,1663404,50.48
8h6h,1743246,65128,1616234,51.85
8h5h,1789332,66428,1568848,53.22
8h4h,1831948,66452,1526208,54.46
8h3h,2222464,232704,969440,68.29
8h2h,1990172,66820,1367616,59.09
7h6h,1724538,65210,1634860,51.31
7h5h,1770624,66516,1587468,52.67
7h4h,1811470,66540,1546598,53.87
7h3h,2175244,229956,1019408,66.88
7h2h,2002104,67140,1355364,59.44
6h5h,1753922,66632,1604054,52.19
6h4h,1785386,66668,1572554,53.11
6h3h,2130010,227248,1067350,65.52
6h2h,1969984,67268,1387356,58.51
5h4h,1757780,67890,1598938,52.32
5h3h,2082912,238864,1102832,64.31
5h2h,1935298,68510,1420800,57.51
4h3h,2084640,239144,1100824,64.36
4h2h,1937026,68784,1418798,57.57
3h2h,2162688,253918,1008002,66.86
AhAs,223608,5782,1482914,13.23
AhKs,1117280,14282,2293046,32.83
AhQs,1106268,13948,2304392,32.51
AhJs,1095256,13614,2315738,32.18
AhTs,775358,85812,2563438,23.89
Ah9s,1248672,13088,2162848,36.65
Ah8s,1235942,13118,2175548,36.28
Ah7s,1248038,13168,2163402,36.64
Ah6s,1258724,13614,2152270,36.95
Ah5s,1225026,14952,2184630,35.99
Ah4s,1225026,15226,2184356,35.99
Ah3s,838298,69220,2517090,25.49
Ah2s,1352738,17172,2054698,39.75
KhKs,223608,6034,1482662,13.24
KhQs,1080732,22192,2321684,31.88
KhJs,1069720,21858,2333030,31.56
KhTs,778920,120758,2524930,24.51
Kh9s,1217092,21332,2186184,35.85
Kh8s,1244708,21626,2158274,36.66
Kh7s,1246954,21320,2156334,36.72
Kh6s,1248874,21410,2154324,36.78
Kh5s,1248394,23012,2153202,36.79
Kh4s,1248394,23286,2152928,36.79
Kh3s,834736,110066,2479806,25.98
Kh2s,1382150,25232,2017226,40.73
QhQs,218646,5928,1487730,12.94
QhJs,1033172,30856,2360580,30.62
QhTs,768946,153690,2501972,24.7
Qh9s,1174284,30330,2219994,34.73
Qh8s,1201900,30624,2192084,35.54
Qh7s,1244708,30582,2149318,36.79
Qh6s,1236778,30316,2157514,36.56
Qh5s,1236298,31918,2156392,36.57
Qh4s,1236298,32192,2156118,36.57
Qh3s,821200,146248,2457160,26.11
Qh2s,1370054,34138,2020416,40.5
JhJs,213684,6254,1492366,12.66
JhTs,758972,185086,2480550,24.86
Jh9s,1131476,44904,2248228,33.7
Jh8s,1159092,45198,2220318,34.51
Jh7s,1201900,45156,2177552,35.76
Jh6s,1234532,45154,2144922,36.71
Jh5s,1224202,46400,2154006,36.42
Jh4s,1224202,46674,2153732,36.43
Jh3s,807664,193366,2423578,26.41
Jh2s,1357958,48620,2018030,40.36
ThTs,97355,56144,1558805,7.33
Th9s,758972,532510,2133126,29.94
Th8s,753970,708656,1961982,32.36
Th7s,763944,935778,1724886,35.97
Th6s,762302,1216748,1445558,40.02
Th5s,756820,1512326,1155462,44.18
Th4s,756820,1699662,968126,46.91
Th3s,73528,3277552,73528,50.0
Th2s,960200,1712774,751634,53.05
9h9s,476889,8266,1227149,28.09
9h8s,1819178,66644,1538786,54.09
9h7s,1868894,66818,1488896,55.55
9h6s,1917602,66816,1440190,56.97
9h5s,1966526,68326,1389756,58.42
9h4s,2012612,68600,1343396,59.77
9h3s,2362872,256220,805516,72.74
9h2s,2136288,70066,1218254,63.4
8h8s,482136,10332,1219836,28.46
8h7s,1814514,66460,1543634,53.95
8h6s,1864662,66458,1493488,55.42
8h5s,1913586,67968,1443054,56.87
8h4s,1959672,68242,1396694,58.22
8h3s,2366524,239962,818122,72.61
8h2s,2125444,69708,1229456,63.08
7h7s,497601,12878,1201825,29.44
7h6s,1843968,66600,1514040,54.82
7h5s,1892892,68110,1463606,56.27
7h4s,1937058,68384,1419166,57.56
7h3s,2316262,236486,871860,71.09
7h2s,2138294,70114,1216200,63.46
6h6s,508422,16040,1187842,30.16
6h5s,1874784,68292,1481532,55.74
6h4s,1908774,68566,1447268,56.74
6h3s,2268136,233050,923422,69.63
6h2s,2103750,70296,1250562,62.46
5h5s,518487,20570,1173247,30.88
5h4s,1878756,69904,1475948,55.88
5h3s,2217898,245070,961640,68.34
5h2s,2066388,71634,1286586,61.39
4h4s,524559,25068,1162677,31.37
4h3s,2219626,245380,959602,68.4
4h2s,2068116,71908,1284584,61.44
3h3s,534713,56181,1121410,32.87
3h2s,2302298,261772,860538,71.05
2h2s,778912,31910,901482,46.42
AcAd,196055,8092,1508157,11.69
AcKd,537945,9433,1164926,31.69
AcQd,532285,9264,1170755,31.36
AcJd,526625,9095,1176584,31.02
AcTd,362081,46153,1304070,22.49
Ac9d,606455,8829,1097020,35.68
Ac8d,599813,8845,1103646,35.29
Ac7d,606041,8863,1097400,35.65
Ac6d,611540,9081,1091683,35.98
Ac5d,594068,9769,1108467,34.98
Ac4d,594068,9906,1108330,34.98
Ac2d,671964,10569,1029771,39.55
KcAd,537875,9427,1165002,31.69
KcKd,196055,8344,1507905,11.69
KcQd,519031,13380,1179893,30.7
KcJd,513371,13211,1185722,30.37
KcTd,363841,64049,1284414,23.12
Kc9d,590037,12945,1109322,34.84
Kc8d,604321,13094,1094889,35.68
Kc7d,605438,12932,1093934,35.74
Kc6d,606394,12970,1092940,35.79
Kc5d,606116,13791,1092397,35.8
Kc4d,606116,13928,1092260,35.8
Kc2d,687130,14591,1010583,40.56
QcAd,532180,9251,1170873,31.35
QcKd,518996,13381,1179927,30.7
QcQd,190954,8227,1513123,11.39
