Hand,Wins,Draws,Loses,Equity%
Ac_Ad,1781508418,11402312,304661670,85.2
Ac_Kd,1355520522,33730470,708321408,65.43
Ac_Qd,1338322689,36392273,722857438,64.67
Ac_Jd,1321104748,40083736,736383916,63.94
Ac_Td,1304103195,44419947,749049258,63.23
Ac_9d,1263649810,49764151,784158439,61.43
Ac_8d,1244794787,55672170,797105443,60.67
Ac_7d,1223238686,61131913,813201801,59.77
Ac_6d,1199038035,65620572,832913793,58.73
Ac_5d,1198296537,70192367,829083496,58.8
Ac_4d,1179135864,71212536,847224000,57.91
Ac_3d,1161907475,70703337,864961588,57.08
Ac_2d,1143986029,70243827,883342544,56.21
Kc_Kd,1722470558,11676960,363424882,82.4
Kc_Qd,1270166962,41333426,786072012,61.54
Kc_Jd,1252611435,44989477,799971488,60.79
Kc_Td,1235970204,49063986,812538210,60.09
Kc_9d,1196206959,54140272,847225169,58.32
Kc_8d,1158541143,60022241,879009016,56.66
Kc_7d,1140738318,66124904,890709178,55.96
Kc_6d,1120428929,71054029,906089442,55.11
Kc_5d,1100870128,75490722,921211550,54.28
Kc_4d,1081301335,76498045,939773020,53.37
Kc_3d,1063725906,75973288,957873206,52.52
Kc_2d,1045775134,75495526,976301740,51.66
Qc_Qd,1670338644,12299076,414934680,79.93
Qc_Jd,1196462353,49661873,851448174,58.22
Qc_Td,1179570346,53665738,864336316,57.51
Qc_9d,1139771915,58643226,899157259,55.74
Qc_8d,1102980451,64136903,930455046,54.11
Qc_7d,1064070625,70265824,963235951,52.4
Qc_6d,1047973548,75896011,973702841,51.77
Qc_5d,1028538491,80318412,988715497,50.95
Qc_4d,1008839170,81309061,1007424169,50.03
Qc_3d,991122797,80765248,1025684355,49.18
Qc_2d,973020665,80266048,1044285687,48.3
Jc_Jd,1618339604,13277356,465955440,77.47
Jc_Td,1132240434,57371906,907960060,55.35
Jc_9d,1090168661,63968902,943434837,53.5
Jc_8d,1053425829,69306283,974840288,51.87
Jc_7d,1015281413,75061246,1007229741,50.19
Jc_6d,976133363,80658459,1040780578,48.46
Jc_5d,961272086,85840064,1050460250,47.87
Jc_4d,941521743,86814039,1069236618,46.96
Jc_3d,923745624,86251170,1087575606,46.09
Jc_2d,905575022,85730532,1106266846,45.22
Tc_Td,1566053110,14746566,516772724,75.01
Tc_9d,1049021847,68967156,979583397,51.66
Tc_8d,1010654865,75367485,1011550050,49.98
Tc_7d,972396383,81075360,1044100657,48.29
Tc_6d,933894311,86396177,1077281912,46.58
Tc_5d,894341989,91399776,1111830635,44.82
Tc_4d,879272142,93191097,1125109161,44.14
Tc_3d,861517475,92609172,1143445753,43.28
Tc_2d,843361293,92067096,1162144011,42.4
9c_9d,1503238936,16428186,577905278,72.06
9c_8d,970826206,81667336,1045078858,48.23
9c_7d,932315732,88398791,1076857877,46.55
9c_6d,893977716,93717840,1109876844,44.85
9c_5d,854979262,98574353,1144018785,43.11
9c_4d,813744086,99982576,1183845738,41.18
9c_3d,800865489,100276139,1196430772,40.57
9c_2d,782802213,99712625,1215057562,39.7
8c_8d,1441396848,18695790,637479762,69.16
8c_7d,900319598,95197151,1102055651,45.19
8c_6d,861307392,101649048,1134615960,43.49
8c_5d,822447540,106528623,1168596237,41.75
8c_4d,781682108,107899338,1207990954,39.84
8c_3d,741476250,107570391,1248525759,37.91
8c_2d,728423052,107940507,1261208841,37.3
7c_7d,1378636878,21423310,697512212,66.24
7c_6d,836447752,108405248,1152719400,42.46
7c_5d,797010676,114484811,1186076913,40.73
7c_4d,756557786,115926326,1225088288,38.83
7c_3d,716771588,115598237,1265202575,36.93
7c_2d,675421341,115097851,1307053208,34.94
6c_6d,1315178390,24530044,757863966,63.28
6c_5d,780302606,120136407,1197133387,40.06
6c_4d,739810540,122703778,1235058082,38.19
6c_3d,700230346,122567157,1274774897,36.3
6c_2d,659322223,122054363,1316195814,34.34
5c_5d,1250992922,28731922,817847556,60.32
5c_4d,738716406,127639802,1231216192,38.26
5c_3d,699527368,128348935,1269696097,36.41
5c_2d,659037425,127942863,1310592112,34.47
4c_4d,1180021110,32147698,885403592,57.02
4c_3d,674362673,128890081,1294319646,35.22
4c_2d,634281744,128977263,1334313393,33.31
3c_3d,1108341244,35819814,953411342,53.69
3c_2d,615013595,128315007,1354243798,32.38
2c_2d,1035889822,39805340,1021877238,50.33
