Opponent,Wins,Draws,Loses,Equity%
AcAd,943221,24369,4169322,18.6
AcKd,1948188,27537,3161187,38.19
AcQd,1943916,26880,3166116,38.1
AcJd,1922658,26787,3187467,37.69
AcTd,1923501,26289,3187122,37.7
Ac9d,1939035,26325,3171552,38.0
Ac8d,1922052,26322,3188538,37.67
Ac7d,1915035,26688,3195189,37.54
Ac6d,1436433,146577,3553902,29.39
Ac5d,2011026,29541,3096345,39.44
Ac4d,2028900,30483,3077529,39.79
Ac3d,1541346,82752,3512814,30.81
Ac2d,2251701,33078,2852133,44.16
KcAd,1948188,27534,3161190,38.19
KcKd,943221,23868,4169823,18.59
KcQd,1919085,37539,3180288,37.72
KcJd,1897827,37446,3201639,37.31
KcTd,1898670,36948,3201294,37.32
Kc9d,1914204,37389,3185319,37.63
Kc8d,1922052,37917,3176943,37.79
Kc7d,1910763,37593,3188556,37.56
Kc6d,1434297,204420,3498195,29.91
Kc5d,2057814,40446,3038652,40.45
Kc4d,2075688,41388,3019836,40.81
Kc3d,1539210,137139,3460563,31.3
Kc2d,2284440,43983,2808489,44.9
QcAd,1943916,27003,3165993,38.1
QcKd,1919085,37539,3180288,37.72
QcQd,943221,23364,4170327,18.59
QcJd,1872996,49122,3214794,36.94
QcTd,1873839,48624,3214449,36.95
Qc9d,1889373,49653,3197886,37.26
Qc8d,1897221,50586,3189105,37.43
Qc7d,1910763,50793,3175356,37.69
Qc6d,1432161,261099,3443652,30.42
Qc5d,2053542,52956,3030414,40.49
Qc4d,2071416,53898,3011598,40.85
Qc3d,1537074,190362,3409476,31.78
Qc2d,2280168,56493,2800251,44.94
JcAd,1922529,27039,3187344,37.69
JcKd,1897698,37575,3201639,37.31
JcQd,1872867,49098,3214947,36.94
JcJd,921834,24642,4190436,18.19
JcTd,1826778,61542,3248592,36.16
Jc9d,1856724,68562,3211626,36.81
Jc8d,1864572,70083,3202257,36.98
Jc7d,1880814,70695,3185403,37.3
Jc6d,1432032,310485,3394395,30.9
Jc5d,2032155,72858,3031899,40.27
Jc4d,2050029,73800,3013083,40.63
Jc3d,1515687,257550,3363675,32.01
Jc2d,2258781,76395,2801736,44.72
TcAd,1924134,26592,3186186,37.72
TcKd,1899303,37128,3200481,37.34
TcQd,1874472,48651,3213789,36.96
TcJd,1826778,61464,3248670,36.16
TcTd,927972,28026,4180914,18.34
Tc9d,1817763,92130,3227019,36.28
Tc8d,1825611,98598,3212703,36.5
Tc7d,1841853,100842,3194217,36.84
Tc6d,1417185,401841,3317886,31.5
Tc5d,2047533,103809,2985570,40.87
Tc4d,2050029,104220,2982663,40.92
Tc3d,1515687,349725,3271500,32.91
Tc2d,2258781,106815,2771316,45.01
9cAd,1940430,26553,3169929,38.03
9cKd,1915599,37494,3183819,37.66
9cQd,1890768,49605,3196539,37.29
9cJd,1857360,68409,3211143,36.82
9cTd,1818399,91845,3226668,36.29
9c9d,916872,36315,4183725,18.2
9c8d,1777992,144579,3214341,36.02
9c7d,1794234,153858,3188820,36.43
9c6d,1404348,534843,3197721,32.54
9c5d,1990971,159501,2986440,40.31
9c4d,2054577,160311,2922024,41.56
9c3d,1501275,485067,3150570,33.95
9c2d,2248641,162375,2725896,45.35
8cAd,1923447,26601,3186864,37.7
8cKd,1923447,37947,3175518,37.81
8cQd,1898616,50463,3187833,37.45
8cJd,1865208,69855,3201849,36.99
8cTd,1826247,98238,3212427,36.51
8c9d,1777992,144186,3214734,36.02
8c8d,899889,49965,4187058,18.0
8c7d,1732830,232848,3171234,36.0
8c6d,1311642,712923,3112347,32.47
8c5d,1931220,250314,2955378,40.03
8c4d,1994826,251124,2890962,41.28
8c3d,1503411,653034,2980467,35.62
8c2d,2235930,253188,2647794,45.99
7cAd,1919430,26841,3190641,37.63
7cKd,1915158,37623,3184131,37.65
7cQd,1915158,50544,3171210,37.77
7cJd,1884450,70341,3182121,37.37
7cTd,1845489,100356,3191067,36.9
7c9d,1797234,153339,3186339,36.48
7c8d,1735542,232320,3169050,36.05
7c7d,842229,69480,4225203,17.07
7c6d,1313811,928929,2894172,34.62
7c5d,1875504,401829,2859579,40.42
7c4d,1939110,402639,2795163,41.67
7c3d,1426533,904137,2806242,36.57
7c2d,2243895,404997,2488020,47.62
5cAd,2047554,29313,3060045,40.14
5cKd,2094339,40095,3002478,41.16
5cQd,2090067,52452,2994393,41.2
5cJd,2068809,72171,2995932,40.98
5cTd,2083299,102942,2950671,41.56
5c9d,2025825,158601,2952486,40.98
5c8d,1965738,249405,2921769,40.69
5c7d,1907319,400884,2828709,41.03
5c6d,1276617,2095071,1765224,45.24
5c5d,1617903,108669,3410340,32.55
5c4d,2451723,647808,2037381,54.03
5c3d,2652060,1260576,1224276,63.9
5c2d,2761419,650490,1725003,60.09
4cAd,2064588,29832,3042492,40.48
4cKd,2111373,40614,2984925,41.5
4cQd,2107101,52971,2976840,41.53
4cJd,2085843,72690,2978379,41.31
4cTd,2085033,102978,2948901,41.59
4c9d,2088819,158988,2889105,42.21
4c8d,2028732,249792,2858388,41.92
4c7d,1970313,401271,2765328,42.26
4c6d,1291464,2406882,1438566,48.57
4c5d,2450835,647385,2038692,54.01
4c4d,1650645,133386,3352881,33.43
4c3d,2658471,1258659,1219782,64.0
4c2d,2768394,649965,1718553,60.22
2cAd,2288004,30789,2818119,44.84
2cKd,2320740,41571,2774601,45.58
2cQd,2316468,53928,2766516,45.62
2cJd,2295210,73647,2768055,45.4
2cTd,2294400,103935,2738577,45.68
2c9d,2283450,159462,2694000,46.0
2c8d,2270739,250215,2615958,46.64
2c7d,2275656,401991,2459265,48.21
2c6d,1659447,2416977,1060488,55.83
2c5d,2761362,648429,1727121,60.07
2c4d,2769036,648327,1719549,60.22
2c3d,2705796,1293978,1137138,65.27
2c2d,2467629,163317,2505966,49.63
AdAh,1007928,20223,4108761,19.82
AdKh,4050900,46920,6176004,39.66
AdQh,4042524,45612,6185688,39.57
AdJh,4000944,45426,6227454,39.16
AdTh,4002348,44436,6227040,39.17
Ad9h,4032762,44460,6196602,39.47
Ad8h,3999534,44454,6229836,39.15
Ad7h,3985512,45186,6243126,39.01
Ad6h,3048174,280572,6945078,31.03
Ad5h,4172604,50808,6050412,40.86
Ad4h,4207788,52686,6013350,41.21
Ad3h,3253734,155730,6864360,32.43
Ad2h,4644210,57864,5571750,45.49
KdKh,1007928,19605,4109379,19.81
KdQh,3993744,66738,6213342,39.2
KdJh,3952164,66552,6255108,38.79
KdTh,3953568,65562,6254694,38.8
Kd9h,3983982,66396,6223446,39.1
Kd8h,3999534,67398,6206892,39.26
Kd7h,3977136,66756,6229932,39.04
Kd6h,3043986,394578,6835260,31.55
Kd5h,4264674,72378,5936772,41.86
Kd4h,4299858,74256,5899710,42.21
Kd3h,3249546,262968,6761310,32.91
Kd2h,4708668,79434,5485722,46.22
QdQh,1007928,18981,4110003,19.81
