Opponent,Wins,Draws,Loses,Equity%
KcAd,1407204,217110,3512598,29.51
KcKd,1613580,22338,3500994,31.63
KcQd,3040626,25122,2071164,59.44
KcJd,3019368,25029,2092515,59.02
KcTd,3018903,24531,2093478,59.01
Kc9d,3109239,24435,2003238,60.77
Kc8d,3170601,23949,1942362,61.96
Kc7d,3168891,23493,1944528,61.92
Kc6d,3836037,151017,1149858,76.15
Kc5d,3344466,26697,1765749,65.37
Kc4d,3350751,27639,1758522,65.5
Kc3d,3357333,28833,1750746,65.64
Kc2d,3366348,30366,1740198,65.83
QcAd,1404942,274875,3457095,30.03
QcKd,3040500,25122,2071290,59.43
QcQd,1611390,21726,3503796,31.58
QcJd,2956485,24657,2155770,57.79
QcTd,2956020,24159,2156733,57.78
Qc9d,3046356,24063,2066493,59.54
Qc8d,3107718,23577,2005617,60.73
Qc7d,3168765,23652,1944495,61.92
Qc6d,3817353,150540,1169019,75.78
Qc5d,3327792,26166,1782954,65.04
Qc4d,3334077,27108,1775727,65.17
Qc3d,3340659,28302,1767951,65.31
Qc2d,3349674,29835,1757403,65.5
JcAd,1383555,373731,3379626,30.57
JcKd,3019113,25158,2092641,59.02
JcQd,2956356,24660,2155896,57.79
JcJd,1593639,21681,3521592,31.23
JcTd,2872962,24195,2239755,56.16
Jc9d,2965434,24099,2147379,57.96
Jc8d,3026796,23613,2086503,59.15
Jc7d,3087843,23688,2025381,60.34
Jc6d,3817548,129372,1189992,75.58
Jc5d,3306729,26202,1803981,64.63
Jc4d,3313014,27144,1796754,64.76
Jc3d,3319596,28338,1788978,64.9
Jc2d,3328611,29871,1778430,65.09
TcAd,1383555,510540,3242817,31.9
TcKd,3019389,24711,2092812,59.02
TcQd,2956632,24213,2156067,57.79
TcJd,2872962,24198,2239752,56.16
TcTd,1606977,21312,3508623,31.49
Tc9d,2926797,23784,2186331,57.21
Tc8d,2988159,23298,2125455,58.4
Tc7d,3049206,23373,2064333,59.59
Tc6d,3742959,124704,1269249,74.08
Tc5d,3321102,26286,1789524,64.91
Tc4d,3312009,26697,1798206,64.73
Tc3d,3318591,27891,1790430,64.87
Tc2d,3327606,29424,1779882,65.06
9cAd,1384248,751740,3000924,34.26
9cKd,3109737,24615,2002560,60.78
9cQd,3046980,24117,2065815,59.55
9cJd,2965320,24102,2147490,57.96
9cTd,2926629,23736,2186547,57.2
9c9d,1639263,21960,3475689,32.13
9c8d,2962578,23466,2150868,57.9
9c7d,3023625,23541,2089746,59.09
9c6d,3692301,120519,1324092,73.05
9c5d,3286254,26454,1824204,64.23
9c4d,3350313,27264,1759335,65.49
9c3d,3339507,27927,1769478,65.28
9c2d,3348522,29460,1758930,65.47
8cAd,1365126,1017105,2754681,36.47
8cKd,3172020,24168,1940724,61.98
8cQd,3109263,23670,2003979,60.76
8cJd,3027603,23655,2085654,59.17
8cTd,2988912,23289,2124711,58.41
8c9d,2963418,23457,2150037,57.92
8c8d,1642053,21603,3473256,32.18
8c7d,2972751,23226,2140935,58.1
8c6d,3618360,115851,1402701,71.57
8c5d,3226113,26139,1884660,63.06
8c4d,3290172,26949,1819791,64.31
8c3d,3354528,28011,1754373,65.58
8c2d,3346155,29013,1761744,65.42
7cAd,1348266,1371465,2417181,39.6
7cKd,3171384,23724,1941804,61.97
7cQd,3171384,23631,1941897,61.97
7cJd,3089724,23616,2023572,60.38
7cTd,3051033,23250,2062629,59.62
7c9d,3025539,23418,2087955,59.13
7c8d,2973717,23064,2140131,58.11
7c7d,1650669,22533,3463710,32.35
7c6d,3563427,111750,1461735,70.46
7c5d,3182970,26391,1927551,62.22
7c4d,3247029,27201,1862682,63.47
7c3d,3311385,28263,1797264,64.74
7c2d,3377691,29664,1729557,66.04
5cAd,2173725,1764813,1198374,59.49
5cKd,3352530,26499,1757883,65.52
5cQd,3335982,25842,1775088,65.19
5cJd,3315021,25749,1796142,64.78
5cTd,3328500,25734,1782678,65.05
5c9d,3293463,25902,1817547,64.37
5c8d,3232098,25548,1879266,63.17
5c7d,3187578,25914,1923420,62.3
5c6d,3590040,136881,1409991,71.22
5c5d,2360751,27132,2749029,46.22
5c4d,3271392,29577,1835943,63.97
5c3d,3345291,30639,1760982,65.42
5c2d,3421140,32040,1683732,66.91
4cAd,2189964,1756956,1189992,59.73
4cKd,3358185,27018,1751709,65.64
4cQd,3341637,26361,1768914,65.31
4cJd,3320676,26268,1789968,64.9
4cTd,3318855,25770,1792287,64.86
4c9d,3357120,26289,1753503,65.61
4c8d,3295755,25935,1815222,64.41
4c7d,3251235,26301,1859376,63.55
4c6d,3671433,141729,1323750,72.85
4c5d,3270552,29154,1837206,63.95
4c4d,2408277,29169,2699466,47.17
4c3d,3352875,31158,1752879,65.57
4c2d,3428724,32559,1675629,67.06
3cAd,2197269,1761057,1178586,59.92
3cKd,3364164,27537,1745211,65.76
3cQd,3347616,26880,1762416,65.43
3cJd,3326655,26787,1783470,65.02
3cTd,3324834,26289,1785789,64.98
3c9d,3345663,26325,1764924,65.39
3c8d,3359736,26322,1750854,65.66
3c7d,3315216,26688,1795008,64.8
