Opponent,Wins,Draws,Loses,Equity%
KcAd,1394400,231408,3511104,29.4
KcKd,1628664,23769,3484479,31.94
KcQd,3146196,26910,1963806,61.51
KcJd,3821106,82095,1233711,75.18
KcTd,3293580,25881,1817451,64.37
Kc9d,3360636,25521,1750755,65.67
Kc8d,3406611,24876,1705425,66.56
Kc7d,3380769,24261,1731882,66.05
Kc6d,3382314,24801,1729797,66.08
Kc5d,3379653,26649,1730610,66.05
Kc4d,3397983,27750,1711179,66.42
Kc3d,3416610,29103,1691199,66.79
Kc2d,3435534,30795,1670583,67.18
QcAd,1375278,288147,3473487,29.58
QcKd,3147036,26913,1962963,61.53
QcQd,1617198,23400,3496314,31.71
QcJd,3745869,77427,1313616,73.67
QcTd,3232143,25566,1879203,63.17
Qc9d,3299199,25206,1812507,64.47
Qc8d,3345174,24561,1767177,65.36
Qc7d,3391794,24345,1720773,66.26
Qc6d,3378651,24354,1733907,66.01
Qc5d,3375990,26202,1734720,65.98
Qc4d,3394320,27303,1715289,66.34
Qc3d,3412947,28656,1695309,66.72
Qc2d,3431871,30348,1674693,67.1
TcAd,3588324,398673,1149915,73.73
TcKd,3300165,25935,1810812,64.5
TcQd,3237612,25569,1873731,63.28
TcJd,3658884,94530,1383498,72.15
TcTd,2332812,22533,2781567,45.63
Tc9d,3328929,24519,1783464,65.04
Tc8d,3374904,23874,1738134,65.93
Tc7d,3431067,23658,1682187,67.02
Tc6d,3484470,24066,1628376,68.07
Tc5d,3546783,25914,1564215,69.3
Tc4d,3548565,26325,1562022,69.34
Tc3d,3567192,27678,1542042,69.71
Tc2d,3586116,29370,1521426,70.1
9cAd,3603846,388407,1144659,73.94
9cKd,3362652,25701,1748559,65.71
9cQd,3300099,25335,1811478,64.49
9cJd,3759732,98619,1278561,74.15
9cTd,3324360,24519,1788033,64.95
9c9d,2405838,22725,2708349,47.06
9c8d,3293631,23904,1819377,64.35
9c7d,3349794,23688,1763430,65.44
9c6d,3403197,24096,1709619,66.48
9c5d,3462810,25944,1648158,67.66
9c4d,3530607,26886,1579419,68.99
9c3d,3532686,27549,1576677,69.04
9c2d,3551610,29241,1556061,69.42
8cAd,3588186,389766,1158960,73.64
8cKd,3408882,25170,1702860,66.61
8cQd,3346329,24804,1765779,65.38
8cJd,3745908,98142,1292862,73.88
8cTd,3370590,23988,1742334,65.85
8c9d,3293505,23892,1819515,64.35
8c8d,2411304,22125,2703483,47.16
8c7d,3284625,23316,1828971,64.17
8c6d,3338028,23724,1775160,65.21
8c5d,3397641,25572,1713699,66.39
8c4d,3465438,26514,1644960,67.72
8c3d,3533532,27708,1575672,69.06
8c2d,3535908,28710,1572294,69.11
7cAd,3576882,391932,1168098,73.45
7cKd,3382158,24639,1730115,66.08
7cQd,3392343,24624,1719945,66.28
7cJd,3807648,102423,1226841,75.12
7cTd,3425871,23808,1687233,66.92
7c9d,3348786,23712,1764414,65.42
7c8d,3283662,23226,1830024,64.15
7c7d,2444715,22569,2669628,47.81
7c6d,3295614,23835,1817463,64.39
7c5d,3340815,25683,1770414,65.29
7c4d,3408612,26625,1701675,66.61
7c3d,3476706,27819,1632387,67.95
7c2d,3545097,29352,1562463,69.3
6cAd,3600681,373731,1162500,73.73
6cKd,3383019,25158,1728735,66.1
6cQd,3378468,24660,1733784,66.01
6cJd,3867135,107271,1162506,76.33
6cTd,3478494,24195,1634223,67.95
6c9d,3401409,24099,1711404,66.45
6c8d,3336285,23613,1777014,65.18
6c7d,3294726,23688,1818498,64.37
6c6d,2466639,23640,2646633,48.25
6c5d,3283746,26202,1826964,64.18
6c4d,3351543,27144,1758225,65.51
6c3d,3419637,28338,1688937,66.85
6c2d,3488028,29871,1619013,68.19
5cAd,3508425,394050,1234437,72.13
5cKd,3381333,26847,1728732,66.09
5cQd,3376782,26349,1733781,65.99
5cJd,3871314,109014,1156584,76.42
5cTd,3541830,25884,1569198,69.2
5c9d,3462045,25788,1649079,67.65
