Opponent,Wins,Draws,Loses,Equity%
QcAd,3748020,231885,1157007,75.22
QcKd,3839556,62490,1234866,75.35
QcQd,2344782,24333,2767797,45.88
QcJd,3389757,26910,1720245,66.25
QcTd,3373209,26253,1737450,65.92
Qc9d,3442404,25893,1668615,67.27
Qc8d,3488379,25248,1623285,68.15
Qc7d,3537696,24633,1574583,69.11
Qc6d,3517626,24642,1594644,68.72
Qc5d,3531513,27180,1578219,69.01
Qc4d,3549843,28281,1558788,69.38
Qc3d,3568470,29634,1538808,69.76
Qc2d,3587394,31326,1518192,70.14
JcAd,3732792,231408,1172712,74.92
JcKd,3824328,62013,1250571,75.05
JcQd,3389631,26910,1720371,66.25
JcJd,2340528,23721,2772663,45.79
JcTd,3307068,25881,1803963,64.63
Jc9d,3376263,25521,1735128,65.97
Jc8d,3422238,24876,1689798,66.86
Jc7d,3471555,24261,1641096,67.82
Jc6d,3517500,24801,1594611,68.72
Jc5d,3514839,26649,1595424,68.68
Jc4d,3533169,27750,1575993,69.05
Jc3d,3551796,29103,1556013,69.43
Jc2d,3570720,30795,1535397,69.81
TcAd,3717564,230931,1188417,74.62
TcKd,3809100,61536,1266276,74.75
TcQd,3372957,26379,1737576,65.92
TcJd,3306942,25881,1804089,64.63
TcTd,2339514,23109,2774289,45.77
Tc9d,3310122,25149,1801641,64.68
Tc8d,3356097,24504,1756311,65.57
Tc7d,3405414,23889,1707609,66.53
Tc6d,3451359,24429,1661124,67.43
Tc5d,3514713,26808,1595391,68.68
Tc4d,3516495,27219,1593198,68.72
Tc3d,3535122,28572,1573218,69.1
Tc2d,3554046,30264,1552602,69.48
9cAd,3740928,234777,1161207,75.11
9cKd,3910080,65625,1161207,76.76
9cQd,3437667,26145,1673100,67.18
9cJd,3371652,25647,1739613,65.89
9cTd,3305637,25149,1806126,64.6
9c9d,2414808,23301,2698803,47.24
9c8d,3357042,24534,1755336,65.59
9c7d,3341385,23919,1771608,65.28
9c6d,3387330,24459,1725123,66.18
9c5d,3450684,26838,1659390,67.44
9c4d,3518481,27780,1590651,68.76
