Opponent,Wins,Draws,Loses,Equity%
KcAd,1378821,231885,3526206,29.1
KcKd,1609575,24336,3503001,31.57
KcQd,3839661,61407,1235844,75.34
KcJd,3293406,26910,1816596,64.37
KcTd,3276858,26253,1833801,64.05
Kc9d,3343914,25893,1767105,65.35
Kc8d,3389889,25248,1721775,66.24
Kc7d,3381159,24633,1731120,66.06
Kc6d,3361089,24642,1751181,65.67
Kc5d,3374976,27180,1734756,65.97
Kc4d,3393306,28281,1715325,66.33
Kc3d,3411933,29634,1695345,66.71
Kc2d,3430857,31326,1674729,67.09
JcAd,3695304,288147,1153461,74.74
JcKd,3299199,26913,1810800,64.49
JcQd,3749220,78510,1309182,73.75
JcJd,2337177,23433,2776302,45.73
JcTd,3317298,25566,1794048,64.83
Jc9d,3384840,25206,1726866,66.14
Jc8d,3430815,24561,1681536,67.03
Jc7d,3488631,24345,1623936,68.15
Jc6d,3533535,24354,1579023,69.02
Jc5d,3530874,26202,1579836,68.99
Jc4d,3549204,27303,1560405,69.36
Jc3d,3567831,28656,1540425,69.73
Jc2d,3586755,30348,1519809,70.12
TcAd,3680076,287670,1169166,74.44
TcKd,3282525,26382,1828005,64.16
TcQd,3733992,78033,1324887,73.45
TcJd,3317172,25566,1794174,64.82
TcTd,2336163,22821,2777928,45.7
Tc9d,3318699,24834,1793379,64.85
Tc8d,3364674,24189,1748049,65.74
Tc7d,3422490,23973,1690449,66.86
Tc6d,3467394,23982,1645536,67.73
Tc5d,3530748,26361,1579803,68.99
Tc4d,3532530,26772,1577610,69.03
Tc3d,3551157,28125,1557630,69.4
Tc2d,3570081,29817,1537014,69.79
9cAd,3684375,291330,1161207,74.56
9cKd,3345015,26148,1765749,65.37
9cQd,3834843,82122,1219947,75.45
9cJd,3380148,25332,1731432,66.05
9cTd,3314133,24834,1797945,64.76
9c9d,2409192,23013,2704707,47.12
9c8d,3300516,24219,1812177,64.49
9c7d,3358332,24003,1754577,65.61
9c6d,3386124,24012,1726776,66.15
9c5d,3449478,26391,1661043,67.41
9c4d,3517275,27333,1592304,68.74
9c3d,3519354,27996,1589562,68.78
9c2d,3538278,29688,1568946,69.17
8cAd,3669147,292257,1175508,74.27
8cKd,3391245,25617,1720050,66.27
8cQd,3821019,81645,1234248,75.18
8cJd,3426378,24801,1685733,66.94
8cTd,3360363,24303,1752246,65.65
8c9d,3300390,24207,1812315,64.48
8c8d,2414658,22413,2699841,47.22
8c7d,3293163,23631,1820118,64.34
8c6d,3320955,23640,1792317,64.88
8c5d,3384309,26019,1726584,66.14
8c4d,3452106,26961,1657845,67.46
8c3d,3520200,28155,1588557,68.8
8c2d,3522576,29157,1585179,68.86
7cAd,3674823,293991,1168098,74.4
7cKd,3381759,25086,1730067,66.08
7cQd,3882885,85926,1168101,76.42
7cJd,3483390,24621,1628901,68.05
7cTd,3417375,24123,1695414,66.76
7c9d,3357402,24027,1755483,65.59
7c8d,3292278,23541,1821093,64.32
7c7d,2450331,22857,2663724,47.92
7c6d,3278667,23751,1834494,64.06
7c5d,3342021,26130,1768761,65.31
7c4d,3409818,27072,1700022,66.64
7c3d,3477912,28266,1630734,67.98
7c2d,3546303,29799,1560810,69.33
6cAd,3678150,274875,1183887,74.28
6cKd,3361668,25122,1750122,65.69
6cQd,3867006,86016,1183890,76.12
6cJd,3528321,24657,1583934,68.93
6cTd,3462306,24159,1650447,67.64
6c9d,3385221,24063,1727628,66.13
6c8d,3320097,23577,1793238,64.86
6c7d,3278538,23652,1834722,64.05
