Opponent,Wins,Draws,Loses,Equity%
AcAd,767721,24564,4344627,15.18
AcKd,1769169,28656,3339087,34.72
AcQd,1752900,28158,3355854,34.4
AcJd,1276770,110985,3749157,25.94
AcTd,1901958,27129,3207825,37.29
Ac9d,1978806,26874,3131232,38.78
Ac8d,1977720,26229,3132963,38.76
Ac7d,1974336,26709,3135867,38.69
Ac6d,2007231,27327,3102354,39.34
Ac5d,1939119,28824,3168969,38.03
Ac4d,1943391,29925,3163596,38.12
Ac3d,1947663,31278,3157971,38.22
Ac2d,1376949,88110,3671853,27.66
KcAd,1769169,28608,3339135,34.72
KcKd,767721,25320,4343871,15.19
KcQd,1714506,39762,3382644,33.76
KcJd,1281045,164031,3691836,26.53
KcTd,1854297,38733,3243882,36.47
Kc9d,1931145,38478,3167289,37.97
Kc8d,1990803,38232,3107877,39.13
Kc7d,1972731,38181,3126000,38.77
Kc6d,1991979,38316,3106617,39.15
Kc5d,1973979,40164,3122769,38.82
Kc4d,1978251,41265,3117396,38.91
Kc3d,1982523,42618,3111771,39.01
Kc2d,1372674,147339,3616899,28.16
QcAd,1753659,28161,3355092,34.41
QcKd,1715265,39765,3381882,33.78
QcQd,753918,25059,4357935,14.92
QcJd,1266069,214095,3656748,26.73
QcTd,1791126,51459,3294327,35.37
Qc9d,1867974,51204,3217734,36.86
Qc8d,1927632,50958,3158322,38.02
Qc7d,1970304,51306,3115302,38.86
Qc6d,1974864,50910,3111138,38.94
Qc5d,1956864,52758,3127290,38.61
Qc4d,1961136,53859,3121917,38.7
Qc3d,1965408,55212,3116292,38.8
Qc2d,1353423,200646,3582843,28.3
TcAd,1932678,27183,3177051,37.89
TcKd,1884741,38787,3213384,37.07
TcQd,1820535,51435,3264942,35.94
TcJd,1273254,558984,3304674,30.23
TcTd,1541208,26553,3569151,30.26
Tc9d,2855703,71103,2210106,56.28
Tc8d,2913195,71181,2152536,57.4
Tc7d,2966598,71529,2098785,58.45
Tc6d,3040794,71532,2024586,59.89
Tc5d,3102921,73380,1960611,61.12
Tc4d,3105000,73791,1958121,61.16
Tc3d,3123924,75144,1937844,61.54
Tc2d,3714699,269364,1152849,74.94
9cAd,2008710,27003,3101199,39.37
9cKd,1960773,38607,3137532,38.55
9cQd,1896567,51255,3189090,37.42
9cJd,1287975,765684,3083253,32.53
9cTd,2854563,71052,2211297,56.26
9c9d,1577508,29388,3530016,31.0
9c8d,2855991,70248,2210673,56.28
9c7d,2909394,70596,2156922,57.32
9c6d,2983590,70599,2082723,58.77
9c5d,3045717,72447,2018748,60.0
9c4d,3110553,73389,1952970,61.27
9c3d,3112929,74052,1949931,61.32
9c2d,3701130,266880,1168902,74.65
8cAd,2006610,26472,3103830,39.32
8cKd,2019693,38427,3078792,39.69
8cQd,1955487,51075,3130350,38.56
8cJd,1300560,1025202,2811150,35.3
8cTd,2911122,71196,2154594,57.36
8c9d,2854977,70188,2211747,56.26
8c8d,1612767,33447,3490698,31.72
8c7d,2854170,70707,2212035,56.25
8c6d,2928366,70710,2137836,57.69
8c5d,2987793,72558,2076561,58.87
8c4d,3052629,73500,2010783,60.14
8c3d,3117762,74694,1944456,61.42
8c2d,3685395,266886,1184631,74.34
7cAd,2002260,26991,3107661,39.24
7cKd,2000607,38463,3097842,39.32
7cQd,1997421,51462,3088029,39.38
