Opponent,Wins,Draws,Loses,Equity%
AcAd,803163,21051,4312698,15.84
AcKd,1386882,64671,3685359,27.63
AcQd,1959045,25083,3152784,38.38
AcJd,1958283,24585,3154044,38.36
AcTd,1943109,24087,3169716,38.06
Ac9d,2006679,23991,3106242,39.3
Ac8d,1994127,23505,3119280,39.05
Ac7d,1345770,150351,3640791,27.66
Ac6d,2167323,23715,2945874,42.42
Ac5d,2154489,26094,2956329,42.2
Ac4d,2173968,27036,2935908,42.58
Ac3d,2193447,28230,2915235,42.97
Ac2d,2215062,29763,2892087,43.41
QcAd,1988718,24963,3123231,38.96
QcKd,1376697,288585,3471630,29.61
QcQd,1586706,22113,3528093,31.1
QcJd,2947344,36309,2153259,57.73
QcTd,2946879,35811,2154222,57.72
Qc9d,3037215,35715,2063982,59.47
Qc8d,3108681,35628,1992603,60.86
Qc7d,3800688,184221,1152003,75.78
Qc6d,3328284,34743,1773885,65.13
Qc5d,3315024,37527,1784361,64.9
Qc4d,3321309,38469,1777134,65.03
Qc3d,3330591,39663,1766658,65.22
Qc2d,3354582,41196,1741134,65.7
JcAd,1988670,24516,3123726,38.95
JcKd,1376697,385044,3375171,30.55
JcQd,2947344,36312,2153256,57.73
JcJd,1596480,21744,3518688,31.29
JcTd,2907918,35496,2193498,56.95
Jc9d,2998254,35400,2103258,58.71
Jc8d,3069720,35313,2031879,60.1
Jc7d,3725775,179553,1231584,74.28
Jc6d,3342333,34827,1759752,65.4
Jc5d,3313695,37080,1786137,64.87
Jc4d,3319980,38022,1778910,65.0
Jc3d,3329262,39216,1768434,65.19
Jc2d,3353253,40749,1742910,65.67
TcAd,1974336,24069,3138507,38.67
TcKd,1360275,510051,3266586,31.44
TcQd,2947620,35865,2153427,57.73
TcJd,2908632,35499,2192781,56.97
TcTd,1594437,21780,3520695,31.25
Tc9d,2948742,35085,2153085,57.74
Tc8d,3020208,34998,2081706,59.13
Tc7d,3651186,174885,1310841,72.78
Tc6d,3283554,34512,1818846,64.26
Tc5d,3328068,37164,1771680,65.15
Tc4d,3316965,37575,1782372,64.94
Tc3d,3326247,38769,1771896,65.13
Tc2d,3350238,40302,1746372,65.61
9cAd,2038059,23973,3074880,39.91
9cKd,1358139,735237,3043536,33.6
9cQd,3037839,35769,2063304,59.49
9cJd,2998851,35403,2102658,58.72
9cTd,2948571,35037,2153304,57.74
9c9d,1623084,23238,3490590,31.82
9c8d,2992488,35166,2109258,58.6
9c7d,3581277,170700,1384935,71.38
9c6d,3229455,34680,1872777,63.21
9c5d,3273969,37332,1825611,64.1
9c4d,3338028,38142,1760742,65.35
9c3d,3329922,38805,1768185,65.2
9c2d,3353913,40338,1742661,65.68
8cAd,2025588,23526,3087798,39.66
8cKd,1353993,1042899,2740020,36.51
8cQd,3109467,35673,1991772,60.88
8cJd,3070479,35307,2031126,60.12
8cTd,3020199,34941,2081772,59.13
8c9d,2992569,35109,2109234,58.6
8c8d,1651626,25110,3460176,32.4
8c7d,3528240,166515,1442157,70.3
8c6d,3190218,34848,1911846,62.44
8c5d,3234732,37500,1864680,63.34
8c4d,3298791,38310,1799811,64.59
8c3d,3363147,39372,1734393,65.85
8c2d,3372450,40374,1724088,66.04
6cAd,2203917,23721,2909274,43.13
6cKd,2636745,1375734,1124433,64.72
6cQd,3335151,34695,1767066,65.26
6cJd,3348333,34680,1753899,65.52
6cTd,3288510,34314,1814088,64.35
6c9d,3234225,34482,1868205,63.3
6c8d,3194523,34659,1907730,62.52
6c7d,3532368,190536,1414008,70.62
6c6d,2369730,27165,2740017,46.4
6c5d,3269745,37296,1829871,64.01
6c4d,3343347,38106,1755459,65.46
6c3d,3417246,39168,1680498,66.9
6c2d,3493095,40569,1603248,68.39
5cAd,2190066,25845,2921001,42.89
5cKd,2629329,1371957,1135626,64.54
5cQd,3321105,37350,1778457,65.02
5cJd,3318987,36852,1781073,64.97
5cTd,3332466,36837,1767609,65.23
5c9d,3278181,37005,1821726,64.18
5c8d,3238479,37182,1861251,63.41
5c7d,3591618,197952,1347342,71.84
5c6d,3268776,37041,1831095,63.99
5c5d,2407590,32505,2696817,47.18
5c4d,3265620,39825,1831467,63.96
5c3d,3339519,40887,1756506,65.41
5c2d,3415368,42288,1679256,66.9
4cAd,2208753,26364,2901795,43.25
