Opponent,Wins,Draws,Loses,Equity%
AcAd,854253,23049,4259610,16.85
AcKd,1448565,62013,3626334,28.8
AcQd,2039028,26910,3070974,39.96
AcJd,1431960,82095,3622857,28.67
AcTd,2183712,25881,2927319,42.76
Ac9d,2273250,25521,2838141,44.5
Ac8d,2303802,24876,2808234,45.09
Ac7d,2299530,24261,2813121,45.0
Ac6d,2321145,24801,2790966,45.43
Ac5d,2288832,26649,2821431,44.82
Ac4d,2293104,27750,2816058,44.91
Ac3d,2297376,29103,2810433,45.01
Ac2d,2301648,30795,2804469,45.11
QcAd,2072316,26790,3037806,40.6
QcKd,1376985,280356,3479571,29.53
QcQd,1623558,23841,3489513,31.84
QcJd,3770580,128865,1237467,74.66
QcTd,3277203,37308,1822401,64.16
Qc9d,3343833,36948,1756131,65.45
Qc8d,3393351,36597,1706964,66.41
Qc7d,3439623,35982,1661307,67.31
Qc6d,3431190,35427,1670295,67.14
Qc5d,3413427,37680,1685805,66.82
Qc4d,3431757,38781,1666374,67.18
Qc3d,3450384,40134,1646394,67.56
Qc2d,3469308,41826,1625778,67.94
TcAd,2222745,25812,2888355,43.52
TcKd,3594405,390450,1152057,73.77
TcQd,3282996,37311,1816605,64.27
TcJd,3683163,145968,1307781,73.12
TcTd,2356608,22974,2757330,46.1
Tc9d,3373077,36261,1727574,66.02
Tc8d,3423081,35910,1677921,66.99
Tc7d,3469353,35295,1632264,67.88
Tc6d,3527466,35139,1574307,69.01
Tc5d,3574677,37392,1524843,69.95
Tc4d,3576459,37803,1522650,69.99
Tc3d,3595086,39156,1502670,70.37
Tc2d,3614010,40848,1482054,70.75
9cAd,2307309,25578,2804025,45.17
9cKd,3609927,379428,1147557,73.97
9cQd,3345060,37077,1754775,65.48
9cJd,3706053,149400,1281459,73.6
9cTd,3368835,36261,1731816,65.93
9c9d,2413773,23166,2699973,47.21
9c8d,3341889,35535,1759488,65.4
9c7d,3372831,34920,1729161,66.0
9c6d,3430944,34764,1671204,67.13
9c5d,3475455,37017,1624440,68.02
9c4d,3543252,37959,1555701,69.35
9c3d,3545331,38622,1552959,69.39
9c2d,3564255,40314,1532343,69.78
8cAd,2334609,25047,2777256,45.69
8cKd,3612141,383361,1141410,74.05
8cQd,3391053,36843,1709016,66.37
8cJd,3783321,153438,1200153,75.14
8cTd,3415314,36027,1685571,66.84
8c9d,3338337,35526,1763049,65.33
8c8d,2475987,24177,2636748,48.44
8c7d,3315828,34950,1786134,64.89
8c6d,3373941,34794,1728177,66.02
8c5d,3404040,37047,1695825,66.63
8c4d,3471837,37989,1627086,67.96
8c3d,3539931,39183,1557798,69.29
8c2d,3542307,40185,1554420,69.35
7cAd,2330211,24516,2782185,45.6
7cKd,3596481,385044,1155387,73.76
7cQd,3437607,36312,1662993,67.27
7cJd,3769389,153393,1214130,74.87
7cTd,3461868,35496,1639548,67.74
7c9d,3369513,34995,1732404,65.93
7c8d,3315702,34908,1786302,64.89
7c7d,2483478,24822,2628612,48.59
7c6d,3309096,34422,1793394,64.75
7c5d,3339195,36675,1761042,65.36
7c4d,3406992,37617,1692303,66.69
7c3d,3475086,38811,1623015,68.03
7c2d,3543477,40344,1553091,69.37
6cAd,2351037,25158,2760717,46.01
6cKd,3601725,387534,1147653,73.89
6cQd,3428445,35781,1672686,67.09
6cJd,3831147,158106,1147659,76.12
6cTd,3519204,35316,1582392,68.85
6c9d,3426849,34815,1675248,67.05
6c8d,3373038,34728,1729146,66.0
6c7d,3308211,34272,1794429,64.73
6c6d,2520771,26946,2589195,49.33
6c5d,3297231,36786,1802895,64.55
6c4d,3365028,37728,1734156,65.87
6c3d,3433122,38922,1664868,67.21
6c2d,3501513,40455,1594944,68.56
5cAd,2318499,26799,2791614,45.39
5cKd,3583362,392568,1160982,73.58
5cQd,3410688,37953,1688271,66.77
5cJd,3815160,160764,1160988,75.83
5cTd,3566469,37488,1532955,69.79
5c9d,3471414,36987,1628511,67.94
5c8d,3403191,36900,1696821,66.61
5c7d,3338364,36444,1762104,65.34
5c6d,3297102,36579,1803231,64.54
5c5d,2533929,31272,2571711,49.63
5c4d,3284685,38964,1813263,64.32
5c3d,3352779,40158,1743975,65.66
5c2d,3421170,41691,1674051,67.01
4cAd,2322897,27402,2786613,45.49
4cKd,3605070,396357,1135485,74.04
4cQd,3429306,38556,1669050,67.13
4cJd,3839568,161853,1135491,76.32
4cTd,3568539,37527,1530846,69.83
4c9d,3539499,37431,1559982,69.27
4c8d,3471276,37344,1628292,67.94
4c7d,3406449,36888,1693575,66.67
4c6d,3365187,37023,1734702,65.87
4c5d,3284811,38466,1813635,64.32
4c4d,2558721,35982,2542209,50.16
4c3d,3371721,40761,1724430,66.03
4c2d,3440112,42294,1654506,67.38
3cAd,2327295,28005,2781612,45.58
3cKd,3626778,400470,1109664,74.5
3cQd,3448248,39159,1649505,67.51
3cJd,3864300,162942,1109670,76.81
3cTd,3587481,38130,1511301,70.21
3c9d,3541893,37470,1557549,69.31
3c8d,3539685,37788,1559439,69.27
3c7d,3474858,37332,1624722,68.01
3c6d,3433596,37467,1665849,67.21
3c5d,3353220,38910,1744782,65.66
