Opponent,Wins,Draws,Loses,Equity%
AcAd,832902,23616,4280394,16.44
AcKd,1432860,62490,3641562,28.5
AcQd,1433967,61407,3641538,28.51
AcJd,2186112,26910,2923890,42.82
AcTd,2181840,26253,2928819,42.73
Ac9d,2271378,25893,2839641,44.47
Ac8d,2304066,25248,2807598,45.1
Ac7d,2299794,24633,2812485,45.01
Ac6d,2299794,24642,2812476,45.01
Ac5d,2271753,27180,2837979,44.49
Ac4d,2276025,28281,2832606,44.58
Ac3d,2280297,29634,2826981,44.68
Ac2d,2284569,31326,2821017,44.78
JcAd,2224479,26790,2885643,43.56
JcKd,3701385,280356,1155171,74.78
JcQd,3773931,129948,1233033,74.73
JcJd,2360973,23874,2752065,46.19
JcTd,3373068,37308,1726536,66.03
Jc9d,3428988,36948,1670976,67.11
Jc8d,3480645,36597,1619670,68.11
Jc7d,3526917,35982,1574013,69.01
Jc6d,3576531,35427,1524954,69.97
Jc5d,3558768,37680,1540464,69.65
Jc4d,3577098,38781,1521033,70.01
Jc3d,3595725,40134,1501053,70.39
Jc2d,3614649,41826,1480437,70.77
TcAd,2220081,26259,2890572,43.47
TcKd,3685725,279879,1171308,74.47
TcQd,3758271,129471,1249170,74.42
TcJd,3372942,37308,1726662,66.02
TcTd,2359959,23262,2753691,46.17
Tc9d,3362847,36576,1737489,65.82
Tc8d,3414504,36225,1686183,66.82
Tc7d,3460776,35610,1640526,67.72
Tc6d,3510390,35055,1591467,68.68
Tc5d,3558642,37839,1540431,69.64
Tc4d,3560424,38250,1538238,69.68
Tc3d,3579051,39603,1518258,70.06
Tc2d,3597975,41295,1497642,70.44
9cAd,2304648,26025,2806239,45.12
9cKd,3689592,283215,1164105,74.58
9cQd,3781164,132903,1222845,74.9
9cJd,3424623,37074,1675215,67.03
9cTd,3358608,36576,1741728,65.74
9c9d,2417127,23454,2696331,47.28
9c8d,3350427,35850,1750635,65.57
9c7d,3381369,35235,1720308,66.17
9c6d,3413871,34680,1688361,66.8
9c5d,3462123,37464,1637325,67.76
9c4d,3529920,38406,1568586,69.09
9c3d,3531999,39069,1565844,69.14
9c2d,3550923,40761,1545228,69.52
8cAd,2334210,25494,2777208,45.69
8cKd,3708168,287334,1141410,74.98
8cQd,3858558,136941,1141413,76.45
8cJd,3472833,36840,1627239,67.96
8cTd,3406818,36342,1693752,66.67
