Opponent,Wins,Draws,Loses,Equity%
AcAd,875604,22482,4238826,17.26
AcKd,1464270,61536,3611106,29.1
AcQd,2056107,26379,3054426,40.28
AcJd,2038233,25881,3072798,39.93
AcTd,1429953,102783,3604176,28.84
Ac9d,2274798,25149,2836965,44.53
Ac8d,2305350,24504,2807058,45.12
Ac7d,2301078,23889,2811945,45.03
Ac6d,2320557,24429,2791926,45.41
Ac5d,2309859,26808,2800245,45.23
Ac4d,2309859,27219,2799834,45.23
Ac3d,2314131,28572,2794209,45.33
Ac2d,2318403,30264,2788245,45.43
QcAd,2089269,26259,3021384,40.93
QcKd,1392996,279879,3464037,29.84
QcQd,1642647,23274,3470991,32.2
QcJd,3129993,37308,1969611,61.29
QcTd,3752025,149553,1235334,74.5
Qc9d,3360555,36576,1739781,65.78
Qc8d,3410073,36225,1690614,66.74
Qc7d,3456345,35610,1644957,67.63
Qc6d,3430800,35055,1671057,67.13
Qc5d,3434652,37839,1664421,67.23
Qc4d,3436434,38250,1662228,67.27
Qc3d,3455061,39603,1642248,67.64
Qc2d,3473985,41295,1621632,68.03
JcAd,2072235,25812,3038865,40.59
JcKd,1373874,390450,3372588,30.55
JcQd,3130833,37311,1968768,61.31
JcJd,1634745,22905,3479262,32.05
JcTd,3676788,144885,1315239,72.99
Jc9d,3299118,36261,1801533,64.58
Jc8d,3348636,35910,1752366,65.54
Jc7d,3394908,35295,1706709,66.43
Jc6d,3441825,35139,1659948,67.34
Jc5d,3430989,37392,1668531,67.15
Jc4d,3432771,37803,1666338,67.19
Jc3d,3451398,39156,1646358,67.57
Jc2d,3470322,40848,1625742,67.95
9cAd,2309649,25131,2802132,45.21
9cKd,3492765,515841,1128306,73.01
9cQd,3362700,36630,1737582,65.82
9cJd,3300147,36264,1800501,64.6
9cTd,3630945,165897,1340070,72.3
9c9d,2410422,22878,2703612,47.15
9c8d,3349419,35220,1752273,65.55
9c7d,3380361,34605,1721946,66.14
9c6d,3436821,34449,1665642,67.24
9c5d,3492531,37101,1607280,68.35
9c4d,3559287,37512,1540113,69.65
9c3d,3561366,38175,1537371,69.7
9c2d,3580290,39867,1516755,70.09
8cAd,2336946,24600,2775366,45.73
8cKd,3504114,507936,1124862,73.16
8cQd,3408690,36396,1691826,66.71
8cJd,3346137,36030,1754745,65.49
8cTd,3708210,169935,1258767,73.84
8c9d,3345864,35211,1755837,65.48
8c8d,2472633,23889,2640390,48.37
8c7d,3308943,34635,1793334,64.75
8c6d,3365403,34479,1737030,65.85
8c5d,3421113,37131,1678668,66.96
8c4d,3485169,37542,1614201,68.21
8c3d,3553263,38736,1544913,69.55
8c2d,3555639,39738,1541535,69.6
7cAd,2332548,24069,2780295,45.64
7cKd,3488022,510051,1138839,72.87
7cQd,3455244,35865,1645803,67.61
7cJd,3392691,35499,1708722,66.39
7cTd,3694278,169890,1272744,73.57
7c9d,3377040,34680,1725192,66.08
7c8d,3308817,34593,1793502,64.75
7c7d,2480124,24534,2632254,48.52
7c6d,3300558,34107,1802247,64.58
