Opponent,Wins,Draws,Loses,Equity%
AcAd,810639,23430,4302843,16.01
AcKd,1810347,27378,3299187,35.51
AcQd,1356240,88326,3692346,27.26
AcJd,1961010,26349,3149553,38.43
AcTd,1939752,26256,3170904,38.02
Ac9d,2020434,26160,3090318,39.59
Ac8d,2008446,25674,3102792,39.35
Ac7d,2010582,25749,3100581,39.39
Ac6d,2005791,25836,3105285,39.3
Ac5d,1352091,148692,3636129,27.77
Ac4d,2121336,28965,2986611,41.58
Ac3d,2140815,30159,2965938,41.97
Ac2d,2160294,31692,2944926,42.36
KcAd,1810347,27330,3299235,35.51
KcKd,810639,24186,4302087,16.02
KcQd,1360515,140076,3636321,27.85
KcJd,1913349,37953,3185610,37.62
KcTd,1892091,37860,3206961,37.2
Kc9d,1972773,37764,3126375,38.77
Kc8d,2021529,37677,3077706,39.72
Kc7d,2008977,37221,3090714,39.47
Kc6d,1991103,36825,3108984,39.12
Kc5d,1347816,207921,3581175,28.26
Kc4d,2165787,40305,2930820,42.55
Kc3d,2185266,41499,2910147,42.94
Kc2d,2204745,43032,2889135,43.34
JcAd,1990638,26352,3119922,39.01
JcKd,1942701,37956,3156255,38.19
JcQd,1367319,407850,3361743,30.59
JcJd,1601211,23781,3511920,31.4
JcTd,2864727,49890,2222295,56.25
Jc9d,2956875,50118,2129919,58.05
Jc8d,3028341,50031,2058540,59.44
Jc7d,3100104,49974,1986834,60.84
Jc6d,3162060,49578,1925274,62.04
Jc5d,3727014,260751,1149147,75.09
Jc4d,3338898,52368,1745646,65.51
Jc3d,3345480,53562,1737870,65.65
Jc2d,3352359,55095,1729458,65.8
TcAd,1969251,26388,3141273,38.59
TcKd,1921314,37992,3177606,37.77
TcQd,1345932,530634,3260346,31.37
TcJd,2864598,49893,2222421,56.25
TcTd,1586214,24546,3526152,31.12
Tc9d,2874141,50154,2212617,56.44
Tc8d,2947743,50067,2139102,57.87
Tc7d,3019506,50010,2067396,59.27
Tc6d,3081462,49614,2005836,60.47
Tc5d,3727533,239583,1169796,74.9
Tc4d,3318159,52404,1766349,65.1
Tc3d,3324741,53598,1758573,65.24
Tc2d,3331620,55131,1750161,65.39
9cAd,2049957,26292,3060663,40.16
9cKd,2002020,37896,3096996,39.34
9cQd,1362915,741780,3032217,33.75
9cJd,2956500,50121,2130291,58.04
9cTd,2873127,50106,2213679,56.42
9c9d,1631724,26814,3478374,32.03
9c8d,2915793,50235,2170884,57.25
9c7d,2987556,50178,2099178,58.65
9c6d,3046812,49782,2040318,59.8
9c5d,3654921,235398,1246593,73.44
9c4d,3336519,52971,1747422,65.47
9c3d,3327723,53634,1755555,65.3
9c2d,3334602,55167,1747143,65.45
8cAd,2037924,25845,3073143,39.92
8cKd,2051007,37800,3048105,40.29
8cQd,1361343,1017048,2758521,36.4
8cJd,3028002,50025,2058885,59.43
8cTd,2946639,50010,2140263,57.85
8c9d,2915622,50178,2171112,57.25
8c8d,1661625,29901,3445386,32.64
8c7d,2959470,50346,2127096,58.1
8c6d,3004314,49950,2082648,58.97
8c5d,3585336,231213,1320363,72.05
8c4d,3284754,53139,1799019,64.46
8c3d,3349110,54201,1733601,65.72
8c2d,3338601,55203,1743108,65.53
7cAd,2040189,25881,3070842,39.97
7cKd,2038536,37353,3061023,40.05
7cQd,1357197,1393212,2386503,39.98
7cJd,3099954,49929,1987029,60.83
7cTd,3018591,49914,2068407,59.25
7c9d,2987574,50082,2099256,58.65
7c8d,2959551,50259,2127102,58.1
7c7d,1691706,33828,3411378,33.26
7c6d,2974668,50118,2112126,58.4
7c5d,3532623,227028,1377261,70.98
7c4d,3245841,53307,1837764,63.71
7c3d,3310197,54369,1772346,64.97
7c2d,3374850,55770,1706292,66.24
6cAd,2036238,25965,3074709,39.89
6cKd,2021502,36906,3078504,39.71
6cQd,1338075,1774563,2024274,43.32
6cJd,3162885,49482,1924545,62.05
6cTd,3081522,49467,2005923,60.47
6c9d,3047805,49635,2039472,59.81
6c8d,3005370,49812,2081730,58.99
6c7d,2975508,50019,2111385,58.41
6c6d,1697574,37611,3401727,33.41
6c5d,3459330,222360,1455222,69.51
6c4d,3186348,52992,1897572,62.54
6c3d,3250704,54054,1832154,63.81
6c2d,3315357,55455,1766100,65.08
4cAd,2156943,28341,2951628,42.26
4cKd,2201574,39681,2895657,43.24
4cQd,1891134,2157600,1088178,57.82
4cJd,3345273,51693,1739946,65.63
4cTd,3324609,51600,1760703,65.22
4c9d,3343062,52119,1741731,65.59
4c8d,3291084,52296,1793532,64.58
4c7d,3251679,52503,1832730,63.81
4c6d,3190908,52239,1893765,62.63
4c5d,3485628,252018,1399266,70.31
4c4d,2417889,47382,2671641,47.53
4c3d,3350547,56430,1729935,65.77
4c2d,3424743,57831,1654338,67.23
3cAd,2175630,28860,2932422,42.63
3cKd,2220261,40200,2876451,43.61
3cQd,1909641,2147799,1079472,58.08
3cJd,3351252,52212,1733448,65.75
3cTd,3330588,52119,1754205,65.34
3c9d,3333741,52155,1751016,65.41
3c8d,3355065,52683,1729164,65.83
3c7d,3315660,52890,1768362,65.06
3c6d,3254889,52626,1829397,63.87
3c5d,3566481,257730,1312701,71.94
3c4d,3349707,55755,1731450,65.75
3c3d,2462985,55341,2618586,48.49
3c2d,3432651,58350,1645911,67.39
2cAd,2194317,29379,2913216,43.0
2cKd,2238948,40719,2857245,43.98
2cQd,1913814,2152656,1070442,58.21
2cJd,3357555,52731,1726626,65.87
2cTd,3336891,52638,1747383,65.47
2c9d,3340044,52674,1744194,65.53
2c8d,3343932,52719,1740261,65.61
2c7d,3379965,53277,1703670,66.32
2c6d,3319194,53013,1764705,65.13
2c5d,3647658,263442,1225812,73.57
2c4d,3423279,56142,1657491,67.19
2c3d,3431811,57336,1647765,67.36
2c2d,2510511,64449,2561952,49.5
AdAh,878259,19167,4239486,17.28
AdKh,3782010,46320,6445494,37.04
AdQh,2893578,164220,7216026,28.96
AdJh,4076646,44274,6152904,39.9
AdTh,4035066,44088,6194670,39.49
Ad9h,4192758,43884,6037182,41.02
Ad8h,4169298,42918,6061608,40.79
Ad7h,4173486,43068,6057270,40.83
Ad6h,4163940,43338,6066546,40.74
Ad5h,2885928,282480,7105416,29.46
Ad4h,4390152,49428,5834244,42.97
Ad3h,4428468,51810,5793546,43.36
Ad2h,4466784,54870,5752170,43.74
KdKh,878259,19923,4238730,17.29
KdQh,2903814,264666,7105344,29.55
KdJh,3983610,67494,6222720,39.1
KdTh,3942030,67308,6264486,38.7
Kd9h,4099722,67104,6106998,40.23
Kd8h,4194936,66918,6011970,41.16
Kd7h,4170354,66012,6037458,40.91
Kd6h,4135170,65226,6073428,40.57
Kd5h,2875692,401328,6996804,29.94
Kd4h,4476924,72096,5724804,43.93
Kd3h,4515240,74478,5684106,44.31
Kd2h,4553556,77538,5642730,44.7
QdQh,581136,96225,4459551,12.25
QdJh,2870490,794796,6608538,31.81
QdTh,2828910,1037274,6407640,32.58
Qd9h,2860506,1456302,5957016,34.93
Qd8h,2855580,2001090,5417154,37.53
Qd7h,2845344,2744028,4684452,41.05
Qd6h,2805972,3494634,3973218,44.32
Qd5h,735366,9315882,222576,52.5
Qd4h,3875550,4249740,2148534,58.4
Qd3h,3913572,4231272,2128980,58.69
Qd2h,3923400,4242270,2108154,58.83
JdJh,1632612,19476,3484824,31.97
JdTh,5808576,91290,4373958,56.98
Jd9h,5988048,91734,4194042,58.73
Jd8h,6127362,91548,4054914,60.09
Jd7h,6267270,91422,3915132,61.45
Jd6h,6389568,90636,3793620,62.63
Jd5h,7502598,505698,2265528,75.49
Jd4h,6735708,96132,3441984,66.03
Jd3h,6748662,98514,3426648,66.17
Jd2h,6762210,101574,3410040,66.31
TdTh,1618212,20115,3498585,31.7
Td9h,5825832,91596,4356396,57.15
Td8h,5969082,91410,4213332,58.54
Td7h,6108990,91284,4073550,59.91
Td6h,6231288,90498,3952038,61.09
Td5h,7503786,464040,2305998,75.3
Td4h,6695316,95946,3482562,65.64
Td3h,6708270,98328,3467226,65.77
Td2h,6721818,101388,3450618,65.92
