Opponent,Wins,Draws,Loses,Equity%
AcAd,940281,22566,4174065,18.52
AcKd,1949115,26913,3160884,38.21
AcQd,1507902,78510,3550500,30.12
AcJd,1512465,77427,3547020,30.2
AcTd,2234805,25566,2876541,43.75
Ac9d,2324343,25206,2787363,45.49
Ac8d,2341170,24561,2771181,45.81
Ac7d,2384235,24345,2728332,46.65
Ac6d,2384235,24354,2728323,46.65
Ac5d,2351922,26202,2758788,46.04
Ac4d,2356194,27303,2753415,46.13
Ac3d,2360466,28656,2747790,46.23
Ac2d,2364738,30348,2741826,46.33
KcAd,1952163,26790,3157959,38.26
KcKd,867321,23778,4245813,17.12
KcQd,1431024,129948,3575940,29.12
KcJd,1435587,128865,3572460,29.2
KcTd,2189547,37308,2910057,42.99
Kc9d,2279085,36948,2820879,44.73
Kc8d,2349135,36597,2751180,46.09
Kc7d,2381823,35982,2719107,46.72
Kc6d,2377551,35427,2723934,46.63
Kc5d,2373279,37680,2725953,46.57
Kc4d,2377551,38781,2720580,46.66
Kc3d,2381823,40134,2714955,46.76
Kc2d,2386095,41826,2708991,46.86
TcAd,2275575,25446,2835891,44.55
TcKd,2227926,37314,2871672,43.73
TcQd,3581931,403347,1151634,73.66
TcJd,3712065,195351,1229496,74.16
TcTd,2397069,23172,2716671,46.89
Tc9d,3430302,49041,1657569,67.25
Tc8d,3470337,48690,1617885,68.03
Tc7d,3522291,48369,1566252,69.04
Tc6d,3568860,47814,1520238,69.94
Tc5d,3616071,50067,1470774,70.88
Tc4d,3617853,50478,1468581,70.92
Tc3d,3636480,51831,1448601,71.3
Tc2d,3655404,53523,1427985,71.68
9cAd,2360139,25212,2751561,46.19
9cKd,2312490,37080,2787342,45.38
9cQd,3597021,392325,1147566,73.84
9cJd,3715980,198204,1222728,74.27
9cTd,3426108,49041,1661763,67.17
9c9d,2452098,23364,2661450,47.96
9c8d,3374403,47727,1714782,66.15
9c7d,3426357,47406,1663149,67.16
9c6d,3470790,46851,1619271,68.02
9c5d,3515301,49104,1572507,68.91
9c4d,3583098,50046,1503768,70.24
9c3d,3585177,50709,1501026,70.29
9c2d,3604101,52401,1480410,70.67
8cAd,2373714,24681,2738517,46.45
8cKd,2378631,36846,2721435,46.66
8cQd,3598803,395934,1142175,73.91
8cJd,3734412,201585,1200915,74.66
8cTd,3462897,48807,1625208,67.89
8c9d,3371130,47718,1718064,66.09
8c8d,2500182,24780,2611950,48.91
8c7d,3369435,47031,1720446,66.05
8c6d,3400674,46476,1689762,66.65
8c5d,3430773,48729,1657410,67.26
8c4d,3498570,49671,1588671,68.59
8c3d,3566664,50865,1519383,69.93
8c2d,3569040,51867,1516005,69.98
7cAd,2413557,24552,2698803,47.22
7cKd,2408193,36315,2692404,47.23
7cQd,3616947,400809,1119156,74.31
7cJd,3811698,206055,1119159,76.21
7cTd,3511431,48573,1576908,68.83
7c9d,3419664,47484,1669764,67.03
7c8d,3365961,46992,1723959,65.98
7c7d,2566278,27441,2543193,50.22
7c6d,3391983,46506,1698423,66.48
7c5d,3374220,48759,1713933,66.16
7c4d,3442017,49701,1645194,67.49
7c3d,3510111,50895,1575906,68.83
7c2d,3578502,52428,1505982,70.17
6cAd,2413431,24711,2698770,47.22
6cKd,2403795,35784,2697333,47.14
6cQd,3601287,402816,1132809,74.03
6cJd,3797658,206442,1132812,75.94
6cTd,3558309,48042,1530561,69.74
6c9d,3464406,46953,1625553,67.9
6c8d,3397461,46461,1692990,66.59
6c7d,3391857,46404,1698651,66.48
6c6d,2574984,30171,2531757,50.42
6c5d,3309699,48387,1778826,64.9
6c4d,3377496,49329,1710087,66.23
6c3d,3445590,50523,1640799,67.57
6c2d,3513981,52056,1570875,68.91
5cAd,2380893,26352,2729667,46.61
5cKd,2399394,37956,2699562,47.08
5cQd,3582924,407850,1146138,73.72
5cJd,3781239,209532,1146141,75.65
5cTd,3605574,50214,1481124,70.68
