Opponent,Wins,Draws,Loses,Equity%
AcAd,961632,21999,4153281,18.93
AcKd,1966194,26382,3144336,38.53
AcQd,1523607,78033,3535272,30.42
AcJd,2098593,25566,3012753,41.1
AcTd,1510458,98115,3528339,30.36
Ac9d,2325891,24834,2786187,45.52
Ac8d,2342718,24189,2770005,45.84
Ac7d,2383647,23973,2729292,46.64
Ac6d,2383647,23982,2729283,46.64
Ac5d,2372949,26361,2737602,46.45
Ac4d,2372949,26772,2737191,46.45
Ac3d,2377221,28125,2731566,46.55
Ac2d,2381493,29817,2725602,46.65
KcAd,1969242,26259,3141411,38.59
KcKd,888672,23211,4225029,17.53
KcQd,1447161,129471,3560280,29.43
KcJd,2042463,37308,3057141,40.12
KcTd,1433580,149553,3553779,29.36
Kc9d,2280633,36576,2819703,44.75
Kc8d,2350683,36225,2750004,46.11
Kc7d,2381235,35610,2720067,46.7
Kc6d,2376963,35055,2724894,46.61
Kc5d,2394306,37839,2704767,46.98
Kc4d,2394306,38250,2704356,46.98
Kc3d,2398578,39603,2698731,47.08
Kc2d,2402850,41295,2692767,47.18
JcAd,2134608,25446,2976858,41.8
JcKd,2075763,37314,3023835,40.77
JcQd,1373448,403347,3360117,30.66
JcJd,1659906,23103,3453903,32.54
JcTd,3705690,194268,1236954,74.03
Jc9d,3347286,49041,1740585,65.64
Jc8d,3396378,48690,1691844,66.59
Jc7d,3446193,48369,1642350,67.56
Jc6d,3492762,47814,1596336,68.46
Jc5d,3481926,50067,1604919,68.27
Jc4d,3483708,50478,1602726,68.31
Jc3d,3502335,51831,1582746,68.68
Jc2d,3521259,53523,1562130,69.07
9cAd,2362479,24765,2749668,46.23
9cKd,2314830,36633,2785449,45.42
9cQd,3480291,528306,1128315,72.89
9cJd,3348639,49044,1739229,65.67
9cTd,3640872,214701,1281339,72.97
9c9d,2448747,23076,2665089,47.89
9c8d,3381933,47412,1707567,66.3
9c7d,3432234,47091,1657587,67.27
9c6d,3476667,46536,1613709,68.13
