Opponent,Wins,Draws,Loses,Equity%
AcAd,831954,22863,4282095,16.42
AcKd,1827390,26883,3282639,35.84
AcQd,1811121,26385,3299406,35.51
AcJd,1794852,25887,3316173,35.19
AcTd,1332975,130269,3673668,27.22
Ac9d,2011878,25824,3099210,39.42
Ac8d,1997190,25338,3114384,39.13
Ac7d,1997190,25413,3114309,39.13
Ac6d,2012409,26031,3098472,39.43
Ac5d,1391448,127047,3618417,28.32
Ac4d,2137407,28470,2971035,41.89
Ac3d,2156886,29664,2950362,42.28
Ac2d,2176365,31197,2929350,42.67
KcAd,1827390,26835,3282687,35.83
KcKd,831954,23619,4281339,16.43
KcQd,1772727,37989,3326196,34.88
KcJd,1756458,37491,3342963,34.56
KcTd,1337250,182019,3617643,27.8
Kc9d,1964541,37428,3134943,38.61
Kc8d,2010273,37341,3089298,39.5
Kc7d,1995585,36885,3104442,39.21
Kc6d,1997721,37020,3102171,39.25
Kc5d,1387173,186276,3563463,28.82
Kc4d,2181858,39810,2915244,42.86
Kc3d,2201337,41004,2894571,43.25
Kc2d,2220816,42537,2873559,43.65
QcAd,1811880,26388,3298644,35.53
QcKd,1773486,37992,3325434,34.89
QcQd,818151,23358,4295403,16.15
QcJd,1702554,50217,3384141,33.63
QcTd,1322274,230787,3583851,27.99
Qc9d,1901370,50154,3185388,37.5
Qc8d,1947102,50067,3139743,38.39
Qc7d,1993158,50010,3093744,39.29
Qc6d,1980606,49614,3106692,39.04
Qc5d,1367922,239583,3529407,28.96
Qc4d,2164743,52404,2919765,42.65
Qc3d,2184222,53598,2899092,43.04
Qc2d,2203701,55131,2878080,43.44
JcAd,1796370,25941,3314601,35.22
JcKd,1757976,37545,3341391,34.59
JcQd,1703313,50193,3383406,33.65
JcJd,804348,24312,4308252,15.89
JcTd,1307298,277242,3552372,28.15
Jc9d,1838199,70749,3227964,36.47
Jc8d,1883931,70662,3182319,37.36
Jc7d,1929987,70605,3136320,38.26
Jc6d,1976043,70608,3090261,39.15
Jc5d,1348671,308778,3479463,29.26
Jc4d,2147628,72867,2916417,42.52
Jc3d,2167107,74061,2895744,42.91
Jc2d,2186586,75594,2874732,43.3
9cAd,2042373,25881,3068658,40.01
9cKd,1994760,37485,3104667,39.2
9cQd,1930554,50133,3156225,38.07
9cJd,1866348,70623,3199941,37.02
9cTd,1312224,767169,3057519,33.01
9c9d,1608906,30828,3497178,31.62
9c8d,2864487,101409,2171016,56.75
9c7d,2935926,101676,2099310,58.14
9c6d,3007986,101679,2027247,59.55
9c5d,3529434,380268,1227210,72.41
9c4d,3306882,104337,1725693,65.39
9c3d,3296076,105000,1735836,65.19
9c2d,3302955,106533,1727424,65.34
8cAd,2027637,25434,3083841,39.72
8cKd,2040720,37389,3058803,40.09
8cQd,1976514,50037,3110361,38.96
8cJd,1912308,70527,3154077,37.91
8cTd,1327071,1017729,2792112,35.74
8c9d,2864439,101352,2171121,56.75
8c8d,1633674,36345,3466893,32.16
8c7d,2889759,100800,2146353,57.24
8c6d,2961819,100803,2074290,58.64
8c5d,3459636,373593,1303683,70.98
8c4d,3251448,103461,1782003,64.3
8c3d,3315804,104523,1716585,65.57
8c2d,3305295,105525,1726092,65.37
7cAd,2027637,25470,3083805,39.72
7cKd,2025984,36942,3073986,39.8
7cQd,2022798,49941,3064173,39.86
7cJd,1958592,70431,3107889,38.81
7cTd,1325496,1341195,2470221,38.86
7c9d,2935938,101580,2099394,58.14
7c8d,2889711,100713,2146488,57.23
7c7d,1660386,43512,3433014,32.75
7c6d,2917068,100971,2118873,57.77
7c5d,3390372,369408,1377132,69.6
7c4d,3195294,103629,1837989,63.21
7c3d,3259650,104691,1772571,64.47
7c2d,3324303,106092,1706517,65.75
6cAd,2042856,26037,3068019,40.02
6cKd,2028120,36978,3071814,39.84
6cQd,2010198,49494,3077220,39.61
6cJd,2004876,70335,3061701,39.71
6cTd,1321221,1743039,2072652,42.69
6c9d,3008085,101484,2027343,59.55
6c8d,2961858,100617,2074437,58.64
6c7d,2917020,100824,2119068,57.77
6c6d,1689042,52359,3395511,33.39
6c5d,3337854,365223,1433835,68.53
6c4d,3141600,103797,1891515,62.17
6c3d,3205956,104859,1826097,63.43
6c2d,3270609,106260,1760043,64.7
4cAd,2172888,27846,2936178,42.57
4cKd,2217519,39186,2880207,43.55
4cQd,2199597,51702,2885613,43.32
4cJd,2181675,72060,2883177,43.17
4cTd,1867743,2183121,1086048,57.61
4c9d,3312357,103560,1720995,65.49
4c8d,3256587,102693,1777632,64.4
4c7d,3200070,102900,1833942,63.3
