Hand,Wins,Draws,Loses,Equity%
Ac_Kc,1389004215,34610976,673957209,67.04
Ac_Qc,1370002117,37553414,690016869,66.21
Ac_Jc,1350786717,41744140,705041543,65.39
Ac_Tc,1331725962,46711746,719134692,64.6
Ac_9c,1290209940,53342951,754019509,62.78
Ac_8c,1269195105,60242341,768134954,61.94
Ac_7c,1245678450,67008466,784885484,60.98
Ac_6c,1220344506,72447218,804780676,59.91
Ac_5c,1217936943,77979612,801655845,59.92
Ac_4c,1198506708,79533094,819532598,59.03
Ac_3c,1181668536,79089680,836814184,58.22
Ac_2c,1164284001,78559848,854728551,57.38
Kc_Qc,1309061790,41615142,746895468,63.4
Kc_Jc,1289515286,45759944,762297170,62.57
Kc_Tc,1270857555,50404375,776310470,61.79
Kc_9c,1229977429,56648553,810946418,59.99
Kc_8c,1191219968,63847580,842504852,58.31
Kc_7c,1171417014,70957375,855198011,57.54
Kc_6c,1149567662,77025547,870979191,56.64
Kc_5c,1129204024,82185635,886182741,55.79
Kc_4c,1109381784,83726409,904464207,54.88
Kc_3c,1092208613,83267308,922096479,54.05
Kc_2c,1074795095,82718864,940058441,53.21
Qc_Jc,1239054394,49852123,808665883,60.26
Qc_Tc,1220171285,54407652,822993463,59.47
Qc_9c,1179313858,60474078,857784464,57.66
Qc_8c,1141436364,67152284,888983752,56.02
Qc_7c,1101718156,74622259,921231985,54.3
Qc_6c,1084009562,81105669,932457169,53.61
Qc_5c,1063751334,86250529,947570537,52.77
Qc_4c,1043815735,87773537,965983128,51.86
Qc_3c,1026518567,87294132,983759701,51.02
Qc_2c,1008970414,86722846,1001879140,50.17
Jc_Tc,1177887186,57602534,862082680,57.53
Jc_9c,1135038051,65045137,897489212,55.66
Jc_8c,1097274797,71484894,928812709,54.02
Jc_7c,1058318785,78462767,960790848,52.32
Jc_6c,1018879951,85231180,993461269,50.61
Jc_5c,1003078936,90862846,1003630618,49.99
Jc_4c,983104243,92368088,1022100069,49.07
Jc_3c,965759044,91868379,1039944977,48.23
Jc_2c,948153923,91274251,1058144226,47.38
Tc_9c,1098642842,69247375,929682183,54.03
Tc_8c,1059465943,76570746,961535711,52.33
Tc_7c,1020494848,83391254,993686298,50.64
Tc_6c,981668027,89796157,1026108216,48.94
Tc_5c,942628592,95533249,1059410559,47.22
Tc_4c,927212359,97596865,1072763176,46.53
Tc_3c,909895095,97076852,1090600453,45.69
Tc_2c,892310673,96459882,1108801845,44.84
9c_8c,1024795719,81573810,991202871,50.8
9c_7c,985655348,89249246,1022667806,49.12
9c_6c,947078416,95528642,1054965342,47.43
9c_5c,908515397,101068049,1087988954,45.72
9c_4c,868544377,102984434,1126043589,43.86
9c_3c,855951949,103094363,1138526088,43.26
9c_2c,838461663,102454551,1156656186,42.42
8c_7c,958257237,94484411,1044830752,47.94
8c_6c,919124997,101722112,1076725291,46.24
8c_5c,880780296,107166353,1109625751,44.54
8c_4c,841184813,109025471,1147362116,42.7
8c_3c,803004465,108693752,1185874183,40.87
8c_2c,790348964,108755450,1198467986,40.27
7c_6c,898379280,106652749,1092540371,45.37
7c_5c,859564300,113123404,1124884696,43.68
7c_4c,820337671,114963889,1162270840,41.85
7c_3c,782469104,114627274,1200476022,40.04
7c_2c,743376257,113942467,1240253676,38.16
6c_5c,846332445,116843119,1134396836,43.13
6c_4c,807166360,119659864,1170746176,41.33
6c_3c,769503449,119483186,1208585765,39.53
6c_2c,730742786,118782017,1248047597,37.67
5c_4c,808247748,122535513,1166789139,41.45
5c_3c,771039857,123097534,1203435009,39.69
5c_2c,732672291,122489533,1242410576,37.85
4c_3c,749407203,122271282,1225893915,38.64
4c_2c,711453440,122123616,1263995344,36.83
3c_2c,694128063,121342843,1282101494,35.98
