vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,281952,292838,44319,73087,88132,39038,2102,1075,0,54439,835322
2_3,138600,333866,201936,35500,77943,91464,20436,1112,1075,0,431326,379046
2_4,58500,344839,265573,54875,68147,90484,37426,2093,1075,0,216109,573183
2_5,62100,342661,263501,54688,66426,90484,37426,2093,1075,0,216143,575707
2_6,0,189872,165864,27192,56685,91464,20007,990,1075,0,805660,353495
2_7,0,246800,254123,52422,74928,90484,36740,1980,1075,0,133997,819755
2_8,0,241816,253295,52517,79030,90456,36744,1980,1075,0,83405,871986
2_9,0,240392,253295,52517,84691,90456,36744,1980,1075,0,53154,898000
2_T,0,241655,254674,52704,85512,90456,36744,1980,1075,0,34645,912859
2_J,0,245054,256053,52891,80817,90456,36744,1980,1075,0,24549,922685
2_Q,0,245054,256053,52891,87903,90456,36744,1980,1075,0,17976,922172
2_K,0,246478,256053,52891,87903,90456,36744,1980,1075,0,13857,924867
2_A,0,240782,251913,51815,87903,90456,36744,1980,1075,0,10263,939373
2_4,58500,343511,265132,54873,69728,91445,37430,2093,86,0,216655,572851
3_4,151200,327013,189596,34295,69975,92453,20427,1112,86,0,419553,406594
4_4,0,143824,189069,44506,48154,89093,33382,2101,86,0,44462,1117627
4_5,62100,290894,222512,53536,57543,91445,36736,2093,86,0,215795,679564
4_6,0,113920,128226,25741,50142,92453,18930,990,86,0,802295,479521
4_7,0,194498,215397,51270,66045,91445,36050,1980,86,0,133757,921776
4_8,0,193074,231387,51344,70874,91445,36054,1980,86,0,83264,952796
4_9,0,202330,236463,52607,75308,91445,36054,1980,86,0,52996,963035
4_T,0,200194,236463,52607,76182,91445,36054,1980,86,0,34326,982967
4_J,0,203593,237842,52794,71487,91445,36054,1980,86,0,24230,992793
4_Q,0,203593,237842,52794,78573,91445,36054,1980,86,0,17657,992280
4_K,0,205017,237842,52794,78573,91445,36054,1980,86,0,13538,994975
4_A,0,195761,232766,51531,78573,91445,36054,1980,86,0,9944,1014164
2_5,62100,341333,262997,54686,68303,91488,37430,2093,43,0,216830,575001
3_5,155700,323946,187638,34108,68550,92496,20427,1112,43,0,420192,408092
4_5,62100,290894,222512,53536,57839,91488,36736,2093,43,0,215936,679127
5_5,0,140264,185746,44319,44334,89136,33358,2101,43,0,36223,1136780
5_6,0,110360,127024,25554,50142,92496,18930,990,43,0,698358,588407
