vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,286224,340951,44693,46682,88972,39186,2390,215,44,11161,851786
2_3,84600,489736,336093,67146,45737,91324,38268,2349,215,44,10487,546305
2_4,84600,485267,333922,66959,44016,91324,38268,2349,215,44,10089,555251
2_5,87300,482902,331850,66772,42295,91324,38268,2349,215,44,9775,559210
2_6,90900,497733,340360,67990,36532,91324,38268,2349,215,44,9100,537489
2_7,198000,588841,330508,58163,13647,92332,20676,1400,215,44,51678,356800
2_8,100800,460807,323357,68173,42423,91324,37578,2349,215,44,8638,576596
2_9,97200,462637,324340,68360,44144,91324,37578,2349,215,44,8800,575313
2_T,93600,459821,324043,68360,43914,91324,37578,2349,215,44,8788,582268
2_J,90900,461651,325224,68547,44735,91324,37578,2349,215,44,8954,580783
2_Q,90900,465585,326504,68734,40040,91324,37578,2349,215,44,9120,579911
2_K,90900,465585,326504,68734,47126,91324,37578,2349,215,44,9151,572794
2_A,137700,343245,199558,33845,35430,92332,20127,990,215,44,466052,382766
2_3,84600,489736,336093,67146,46033,91324,38268,2349,172,44,10825,545714
3_3,0,282664,329852,44506,42862,88972,39138,2390,172,44,10285,871419
3_4,84600,472717,323954,65741,42693,91324,38268,2349,172,44,9960,580482
3_5,87300,470352,321882,65554,40972,91324,38268,2349,172,44,9646,584441
3_6,90900,485183,330392,66772,35209,91324,38268,2349,172,44,8971,562720
3_7,189000,575360,326075,57730,13647,92332,20676,1400,172,44,50062,385806
3_8,100800,460256,322493,68173,40945,91324,37578,2349,172,44,8626,579544
3_9,97200,458687,322097,68173,42719,91324,37578,2349,172,44,8627,583334
3_T,93600,455871,321800,68173,42489,91324,37578,2349,172,44,8615,590289
3_J,90900,457701,322981,68360,43310,91324,37578,2349,172,44,8781,588804
3_Q,90900,461635,324261,68547,38615,91324,37578,2349,172,44,8947,587932
3_K,90900,461635,324261,68547,45701,91324,37578,2349,172,44,8978,580815
3_A,137700,339134,197924,33658,34005,92332,20127,990,172,44,464025,392193
2_4,84600,485251,333850,66959,44608,91366,38268,2349,129,44,10652,554228
3_4,84600,472701,323954,65741,42989,91366,38268,2349,129,44,10185,579978
4_4,0,279816,319833,44319,39042,89014,39090,2390,129,44,9522,889105
4_5,87300,458337,312022,64336,39649,91366,38268,2349,129,44,9517,608987
4_6,90900,473168,320532,65554,33886,91366,38268,2349,129,44,8842,587266
4_7,180000,561879,321750,57297,13647,92374,20676,1400,129,44,48446,414662
4_8,100800,450916,313047,66955,39622,91366,37578,2349,129,44,8497,601001
4_9,100800,460240,321341,68173,41241,91366,37578,2349,129,44,8615,580428
4_T,96300,454025,319665,67986,41064,91366,37578,2349,129,44,8442,593356
4_J,93600,455855,320846,68173,41885,91366,37578,2349,129,44,8608,591871
4_Q,93600,459789,322126,68360,37190,91366,37578,2349,129,44,8774,590999
4_K,93600,459789,322126,68360,44276,91366,37578,2349,129,44,8805,583882
4_A,141300,336897,196290,33471,32580,92374,20127,990,129,44,462106,395996
2_5,87300,482870,331715,66772,43183,91409,38268,2349,86,44,10479,557829
3_5,87300,470320,321819,65554,41564,91409,38268,2349,86,44,10012,583579
4_5,87300,458321,312022,64336,39945,91409,38268,2349,86,44,9658,608566
5_5,0,276968,310894,44132,35222,89057,39042,2390,86,44,8843,905626
5_6,90900,461153,310780,64336,32563,91409,38268,2349,86,44,8713,611703
5_7,171000,548398,317533,56864,13647,92417,20676,1400,86,44,46830,443409
5_8,100800,441576,303709,65737,38299,91409,37578,2349,86,44,8368,622349
5_9,100800,450900,312003,66955,39918,91409,37578,2349,86,44,8486,601776
5_T,100800,455578,319017,67986,39586,91409,37578,2349,86,44,8430,589441
5_J,97200,454009,318819,67986,40460,91409,37578,2349,86,44,8435,593929
5_Q,97200,457943,320099,68173,35765,91409,37578,2349,86,44,8601,593057
5_K,97200,457943,320099,68173,42851,91409,37578,2349,86,44,8632,585940
5_A,145800,333964,194656,33284,31155,92417,20127,990,86,44,460991,398790
2_6,90900,497685,340171,67990,37716,91452,38268,2349,43,44,9932,535754
3_6,90900,485135,330275,66772,36097,91452,38268,2349,43,44,9465,561504
4_6,90900,473136,320478,65554,34478,91452,38268,2349,43,44,9111,586491
5_6,90900,461137,310780,64336,32859,91452,38268,2349,43,44,8841,611295
6_6,0,278392,304414,44132,28136,89100,38994,2390,43,44,7891,918768
6_7,162000,539740,314626,56618,7986,92460,20676,1400,43,44,44707,472004
6_8,100800,437433,295858,64706,31315,91452,37578,2349,43,44,7732,642994
6_9,100800,446757,304152,65924,32934,91452,37578,2349,43,44,7850,622421
6_T,100800,451435,311166,66955,32602,91452,37578,2349,43,44,7794,610086
6_J,100800,460759,319658,68173,33509,91452,37578,2349,43,44,7916,590023
6_Q,100800,461294,319559,68173,28679,91452,37578,2349,43,44,7921,594412
6_K,100800,461294,319559,68173,35765,91452,37578,2349,43,44,7952,587295
6_A,162000,345920,194782,33530,29730,92460,20127,990,43,44,457199,375479
2_8,100800,459479,322691,68173,43269,91410,37578,2349,87,44,9498,576926
3_8,100800,458944,321899,68173,41495,91410,37578,2349,87,44,9164,580361
4_8,100800,449700,312528,66955,39876,91410,37578,2349,87,44,8810,602167
5_8,100800,440456,303256,65737,38257,91410,37578,2349,87,44,8540,623790
6_8,100800,436393,295462,64706,31273,91410,37578,2349,87,44,7792,644410
7_8,158400,537154,306310,56618,15072,92418,20667,1400,87,44,36998,487136
8_8,0,146672,199186,44132,35640,89058,33438,2389,87,44,7093,1154565
8_9,91800,390547,279739,64336,40310,91410,36888,2349,87,44,7690,707104
8_T,91800,392470,286327,65367,39978,91410,36888,2349,87,44,7634,697950
8_J,91800,399039,294393,66585,40885,91410,36888,2349,87,44,7756,681068
8_Q,91800,406159,302558,67803,37378,91410,36888,2349,87,44,7878,667950
8_K,100800,315598,303791,63903,43039,91410,36888,2349,87,44,113769,640626
8_A,0,130296,149692,28082,29918,92418,19050,990,87,44,347444,914283
2_9,97200,461309,323638,68360,44694,91367,37578,2349,130,44,9647,575988
3_9,97200,457391,321467,68173,42973,91367,37578,2349,130,44,9136,584496
4_9,100800,458960,320774,68173,41199,91367,37578,2349,130,44,8915,582015
5_9,100800,449716,311502,66955,39580,91367,37578,2349,130,44,8645,603638
6_9,100800,445653,303708,65924,32596,91367,37578,2349,130,44,7897,624258
