vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,281952,334858,44506,65715,88054,39198,2354,1075,44,15762,838786
2_3,67500,474428,337707,67437,66519,90378,38280,2317,1075,44,13878,552741
2_4,67500,474428,336915,67437,66519,90378,38280,2317,1075,44,13657,553754
2_5,67500,469959,334843,67250,64798,90378,38280,2317,1075,44,13343,562517
2_6,79200,483846,335347,67620,63077,90378,38280,2317,1075,44,12686,538434
2_7,88200,494917,336085,67990,61356,90378,38280,2317,1075,44,12640,519022
2_8,88200,494917,335689,67990,61356,90378,38280,2317,1075,44,12657,519401
2_9,184500,577597,309997,57917,39600,91386,20646,1364,1075,44,62765,365413
2_T,100800,461905,315734,68078,52166,90406,37586,2317,1075,44,12685,569508
2_J,97200,463735,317014,68265,53887,90406,37586,2317,1075,44,12851,567924
2_Q,93600,465565,318294,68452,55608,90406,37586,2317,1075,44,13017,566340
2_K,184500,481921,220528,41003,52872,91386,20187,990,1075,44,252388,365410
2_A,0,342388,265925,57075,60858,90378,36900,1980,1075,44,41362,814319
2_3,67500,474428,337707,67437,66519,90336,38280,2317,1075,44,14241,552420
3_3,0,280528,326218,44506,65715,88012,39150,2354,1075,44,13725,850977
3_4,62100,460992,333439,66880,66519,90336,38280,2317,1075,44,13509,576813
3_5,62100,456523,331367,66693,64798,90336,38280,2317,1075,44,13195,585576
3_6,73800,470410,331871,67063,63077,90336,38280,2317,1075,44,12538,561493
3_7,82800,481481,332609,67433,61356,90336,38280,2317,1075,44,12492,542081
3_8,88200,494917,334825,67990,61356,90336,38280,2317,1075,44,12644,520320
3_9,180900,575011,307873,57917,39600,91344,20646,1364,1075,44,62402,374128
3_T,98100,459089,314870,68078,52166,90364,37586,2317,1075,44,12484,576131
3_J,94500,460919,316150,68265,53887,90364,37586,2317,1075,44,12650,574547
3_Q,90900,462749,317430,68452,55608,90364,37586,2317,1075,44,12816,572963
3_K,180900,479335,219808,41003,52872,91344,20187,990,1075,44,250621,374125
3_A,0,339572,265925,57075,60858,90336,36900,1980,1075,44,41161,817378
2_4,67500,474428,336843,67437,66519,90336,38280,2317,1075,44,14229,553296
3_4,62100,460992,333439,66880,66519,90336,38280,2317,1075,44,13718,576604
4_4,0,280528,318523,44506,65715,88012,39102,2354,1075,44,12355,860090
4_5,56700,447556,329378,66323,64798,90336,38280,2317,1075,44,13183,602314
4_6,65700,459339,329882,66693,63077,90336,38280,2317,1075,44,12526,583035
4_7,73800,470410,330620,67063,61356,90336,38280,2317,1075,44,12480,564523
4_8,79200,483846,332836,67620,61356,90336,38280,2317,1075,44,12632,542762
4_9,180900,575011,305857,57917,39600,91344,20646,1364,1075,44,62228,376318
4_T,98100,459089,314114,68078,52166,90364,37586,2317,1075,44,12472,576899
4_J,94500,460919,315394,68265,53887,90364,37586,2317,1075,44,12638,575315
4_Q,90900,462749,316674,68452,55608,90364,37586,2317,1075,44,12804,573731
4_K,180900,479335,219088,41003,52872,91344,20187,990,1075,44,249151,376315
4_A,0,339572,265925,57075,60858,90336,36900,1980,1075,44,41149,817390
2_5,67500,469943,334708,67250,65094,90336,38280,2317,1032,44,14056,561744
3_5,62100,456507,331304,66693,65094,90336,38280,2317,1032,44,13545,585052
4_5,56700,447556,329378,66323,65094,90336,38280,2317,1032,44,13324,601920
5_5,0,276968,310394,44319,61895,88012,39054,2354,1032,44,10866,877366
5_6,65700,446789,320130,65475,61754,90336,38280,2317,1032,44,12397,608050
5_7,73800,457860,320868,65845,60033,90336,38280,2317,1032,44,12351,589538
5_8,79200,471296,323084,66402,60033,90336,38280,2317,1032,44,12503,567777
5_9,171900,561530,301784,57484,39600,91344,20646,1364,1032,44,60468,405108
5_T,98100,458538,313466,68078,50688,90364,37586,2317,1032,44,12460,579631
5_J,94500,456969,313367,68078,52462,90364,37586,2317,1032,44,12465,583120
5_Q,90900,458799,314647,68265,54183,90364,37586,2317,1032,44,12631,581536
5_K,180900,475224,217166,40816,51447,91344,20187,990,1032,44,247628,385526
5_A,0,335622,264546,56888,59433,90336,36900,1980,1032,44,40976,824547
2_6,79200,483814,335158,67620,63669,90421,38280,2317,989,44,13484,537308
3_6,73800,470378,331754,67063,63669,90421,38280,2317,989,44,12973,560616
4_6,65700,459323,329828,66693,63669,90421,38280,2317,989,44,12752,582288
5_6,65700,446773,320130,65475,62050,90421,38280,2317,989,44,12482,607643
6_6,0,275544,303210,44132,58075,88097,39006,2354,989,44,9088,891765
6_7,77400,448661,311224,64627,58710,90421,38280,2317,989,44,11511,608120
6_8,82800,462097,313440,65184,58710,90421,38280,2317,989,44,11663,586359
6_9,167400,550635,297819,57051,39600,91429,20646,1364,989,44,57997,427330
6_T,101700,452014,304236,66860,49365,90449,37586,2317,989,44,11620,595124
6_J,101700,461338,312827,68078,50984,90449,37586,2317,989,44,11742,574250
6_Q,97200,459769,312728,68078,52758,90449,37586,2317,989,44,11747,578639
6_K,189000,475573,215244,40629,50022,91429,20187,990,989,44,245502,382695
