vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,280528,338339,44319,62607,88138,39234,2390,86,990,11100,844573
2_3,78300,476300,333481,66589,64187,90462,38316,2349,86,990,10426,550818
2_4,75600,473484,332689,66589,64187,90462,38316,2349,86,990,9975,557577
2_5,72900,470668,331996,66589,64187,90462,38316,2349,86,990,9608,564153
2_6,72900,487864,341885,67994,60145,90462,38316,2349,86,990,9110,540203
2_7,81900,494450,341244,68177,64085,90462,38316,2349,86,990,8903,521342
2_8,84600,492085,339469,67990,62364,90462,38316,2349,86,990,8743,524850
2_9,87300,494901,339172,67990,62364,90462,38316,2349,86,990,8958,519416
2_T,103500,504472,334713,68078,51046,90490,38312,2349,86,990,9043,509225
2_J,191700,577946,328343,57730,45261,91470,20676,1400,86,990,36995,359707
2_Q,102600,468993,320144,68265,52997,90490,37622,2349,86,990,9386,558382
2_K,99000,470823,321523,68452,54718,90490,37622,2349,86,990,9552,556699
2_A,178200,552086,244412,48930,53772,91470,20247,990,86,990,135463,385658
2_3,78300,476300,333481,66589,64187,90420,38316,2349,86,990,10789,550497
3_3,0,279104,328619,44319,62607,88096,39186,2390,86,990,10143,856764
3_4,70200,460048,329213,66032,64187,90420,38316,2349,86,990,9827,580636
3_5,67500,457232,328520,66032,64187,90420,38316,2349,86,990,9460,587212
3_6,67500,474428,338409,67437,60145,90420,38316,2349,86,990,8962,563262
3_7,76500,481014,337768,67620,64085,90420,38316,2349,86,990,8755,544401
3_8,84600,492085,338605,67990,62364,90420,38316,2349,86,990,8730,525769
3_9,84600,492085,338308,67990,62364,90420,38316,2349,86,990,8757,526039
3_T,100800,501656,333849,68078,51046,90448,38312,2349,86,990,8842,515848
3_J,188100,575360,326075,57730,45261,91428,20676,1400,86,990,36776,368422
3_Q,99900,466177,319280,68265,52997,90448,37622,2349,86,990,9185,565005
3_K,96300,468007,320659,68452,54718,90448,37622,2349,86,990,9351,563322
3_A,174600,549500,243404,48930,53772,91428,20247,990,86,990,133984,394373
2_4,75600,473484,332617,66589,64187,90378,38316,2349,86,990,10588,557120
3_4,70200,460048,329213,66032,64187,90378,38316,2349,86,990,10077,580428
4_4,0,277680,319979,44319,62607,88054,39138,2390,86,990,9299,867762
4_5,62100,443796,325152,65475,64187,90378,38316,2349,86,990,9312,610163
4_6,62100,460992,335041,66880,60145,90378,38316,2349,86,990,8814,586213
4_7,71100,467578,334400,67063,64085,90378,38316,2349,86,990,8607,567352
4_8,79200,478649,335237,67433,62364,90378,38316,2349,86,990,8582,548720
4_9,84600,492085,337552,67990,62364,90378,38316,2349,86,990,8744,526850
4_T,98100,498840,333093,68078,51046,90406,38312,2349,86,990,8641,522363
4_J,184500,572774,323915,57730,45261,91386,20676,1400,86,990,36557,377029
4_Q,97200,463361,318524,68265,52997,90406,37622,2349,86,990,8984,571520
4_K,93600,465191,319903,68452,54718,90406,37622,2349,86,990,9150,569837
4_A,171000,546914,242396,48930,53772,91386,20247,990,86,990,132613,402980
2_5,72900,470668,331861,66589,64187,90336,38316,2349,86,990,10387,563635
3_5,67500,457232,328457,66032,64187,90336,38316,2349,86,990,9876,586943
4_5,62100,443796,325152,65475,64187,90336,38316,2349,86,990,9478,610039
5_5,0,276256,312419,44319,62607,88012,39090,2390,86,990,8539,877596
5_6,56700,447556,331781,66323,60145,90336,38316,2349,86,990,8666,609056
5_7,65700,454142,331140,66506,64085,90336,38316,2349,86,990,8459,590195
5_8,73800,465213,331977,66876,62364,90336,38316,2349,86,990,8434,571563
5_9,79200,478649,334292,67433,62364,90336,38316,2349,86,990,8596,549693
5_T,98100,498840,332445,68078,51046,90364,38312,2349,86,990,8628,523066
5_J,180900,570188,321863,57730,45261,91344,20676,1400,86,990,36338,385528
5_Q,94500,460545,317876,68265,52997,90364,37622,2349,86,990,8783,577927
5_K,90900,462375,319255,68452,54718,90364,37622,2349,86,990,8949,576244
5_A,167400,544328,241388,48930,53772,91344,20247,990,86,990,131350,411479
2_6,72900,487864,341696,67994,60145,90336,38316,2349,86,990,10000,539628
3_6,67500,474428,338292,67437,60145,90336,38316,2349,86,990,9489,562936
4_6,62100,460992,334987,66880,60145,90336,38316,2349,86,990,9091,586032
5_6,56700,447556,331781,66323,60145,90336,38316,2349,86,990,8777,608945
6_6,0,280528,307318,44506,59341,88012,39042,2390,86,990,7924,882167
6_7,60300,450372,330746,66323,58424,90336,38316,2349,86,990,7939,606123
