vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,276256,332381,44132,88726,87220,39222,2354,989,990,15820,824214
2_3,64800,463808,335230,66880,90334,89516,38304,2317,989,990,13936,545200
2_4,62100,460992,334438,66880,90334,89516,38304,2317,989,990,13485,551959
2_5,59400,458176,333745,66880,90334,89516,38304,2317,989,990,13118,558535
2_6,67500,474428,335628,67437,90334,89516,38304,2317,989,990,12638,532223
2_7,72900,483395,336366,67807,88613,89516,38304,2317,989,990,12592,518515
2_8,72900,483395,335970,67807,88613,89516,38304,2317,989,990,12609,518894
2_9,83700,491932,331963,67895,79423,89544,38300,2317,989,990,12691,512560
2_T,99900,505614,328296,68170,68105,89572,38296,2317,989,990,12911,497144
2_J,178200,566702,308339,57484,71214,90524,20646,1364,989,990,54677,361175
2_Q,99000,472810,314141,68357,70056,89572,37606,2317,989,990,13254,543212
2_K,178200,552086,244784,49052,78300,90524,20247,990,989,990,134969,361173
2_A,0,398132,261682,61490,81144,89544,36920,1980,989,990,22904,756529
2_3,64800,463808,335230,66880,90334,89474,38304,2317,989,990,14299,544879
3_3,0,274832,323741,44132,88726,87178,39174,2354,989,990,13783,836405
3_4,56700,447556,330962,66323,90334,89474,38304,2317,989,990,13337,575018
3_5,54000,444740,330269,66323,90334,89474,38304,2317,989,990,12970,581594
3_6,62100,460992,332152,66880,90334,89474,38304,2317,989,990,12490,555282
3_7,67500,469959,332890,67250,88613,89474,38304,2317,989,990,12444,541574
3_8,72900,483395,335106,67807,88613,89474,38304,2317,989,990,12596,519813
3_9,81000,489116,331099,67895,79423,89502,38300,2317,989,990,12490,519183
3_T,97200,502798,327432,68170,68105,89530,38296,2317,989,990,12710,503767
3_J,174600,564116,306215,57484,71214,90482,20646,1364,989,990,54314,369890
3_Q,96300,469994,313277,68357,70056,89530,37606,2317,989,990,13053,549835
3_K,174600,549500,243776,49052,78300,90482,20247,990,989,990,133490,369888
3_A,0,395316,261682,61490,81144,89502,36920,1980,989,990,22703,759588
2_4,62100,460992,334366,66880,90334,89432,38304,2317,989,990,14098,551502
3_4,56700,447556,330962,66323,90334,89432,38304,2317,989,990,13587,574810
4_4,0,273408,316046,44132,88726,87136,39126,2354,989,990,11994,847403
4_5,48600,431304,326901,65766,90334,89432,38304,2317,989,990,12822,604545
4_6,56700,447556,328784,66323,90334,89432,38304,2317,989,990,12342,578233
4_7,62100,456523,329522,66693,88613,89432,38304,2317,989,990,12296,564525
4_8,67500,469959,331738,67250,88613,89432,38304,2317,989,990,12448,542764
4_9,81000,489116,330343,67895,79423,89460,38300,2317,989,990,12477,519994
4_T,94500,499982,326676,68170,68105,89488,38296,2317,989,990,12509,510282
4_J,171000,561530,304199,57484,71214,90440,20646,1364,989,990,53951,378497
4_Q,93600,467178,312521,68357,70056,89488,37606,2317,989,990,12852,556350
4_K,171000,546914,242768,49052,78300,90440,20247,990,989,990,132119,378495
4_A,0,392500,261682,61490,81144,89460,36920,1980,989,990,22502,762647
2_5,59400,458176,333610,66880,90334,89390,38304,2317,989,990,13897,558017
3_5,54000,444740,330206,66323,90334,89390,38304,2317,989,990,13386,581325
4_5,48600,431304,326901,65766,90334,89390,38304,2317,989,990,12988,604421
5_5,0,271984,309296,44132,88726,87094,39078,2354,989,990,10424,857237
5_6,51300,434120,325524,65766,90334,89390,38304,2317,989,990,12194,601076
5_7,56700,443087,326262,66136,88613,89390,38304,2317,989,990,12148,587368
5_8,62100,456523,328478,66693,88613,89390,38304,2317,989,990,12300,565607
5_9,75600,475680,327083,67338,79423,89418,38300,2317,989,990,12329,542837
5_T,94500,499982,326028,68170,68105,89446,38296,2317,989,990,12496,510985
5_J,167400,558944,302291,57484,71214,90398,20646,1364,989,990,53588,386996
5_Q,90900,464362,311873,68357,70056,89446,37606,2317,989,990,12651,562757
5_K,167400,544328,241760,49052,78300,90398,20247,990,989,990,130856,386994
5_A,0,389684,261682,61490,81144,89418,36920,1980,989,990,22301,765706
2_6,67500,474428,335439,67437,90334,89433,38304,2317,989,990,13486,531647
3_6,62100,460992,332035,66880,90334,89433,38304,2317,989,990,12975,554955
4_6,56700,447556,328730,66323,90334,89433,38304,2317,989,990,12577,578051
5_6,51300,434120,325524,65766,90334,89433,38304,2317,989,990,12263,600964
6_6,0,273408,303491,44132,88726,87137,39030,2354,989,990,8984,863063
6_7,54900,436936,324489,65766,88613,89433,38304,2317,989,990,11425,598142
6_8,60300,450372,326705,66323,88613,89433,38304,2317,989,990,11577,576381
6_9,71100,467425,325310,66968,79423,89461,38300,2317,989,990,11606,558415
6_T,89100,491727,324255,67800,68105,89489,38296,2317,989,990,11773,527463
6_J,171900,561530,300491,57484,71214,90441,20646,1364,989,990,52703,382552
6_Q,94500,467178,311333,68357,70056,89489,37606,2317,989,990,11928,557561
6_K,171900,546914,240752,49052,78300,90441,20247,990,989,990,129179,382550
6_A,0,404866,263889,62047,81144,89461,36920,1980,989,990,21755,748263
2_7,72900,483379,336132,67807,88909,89475,38304,2317,946,990,13448,517697
3_7,67500,469943,332728,67250,88909,89475,38304,2317,946,990,12937,541005
4_7,62100,456507,329423,66693,88909,89475,38304,2317,946,990,12539,564101
5_7,56700,443071,326217,66136,88909,89475,38304,2317,946,990,12225,587014
6_7,54900,436936,324489,65766,88909,89475,38304,2317,946,990,11475,597797
7_7,0,271272,297252,43945,84906,87179,38982,2354,946,990,8274,876204
7_8,63000,440638,317169,65105,87290,89475,38304,2317,946,990,11636,595434
7_9,73800,457691,315774,65750,78100,89503,38300,2317,946,990,11665,577468
7_T,91800,481993,314719,66582,66782,89531,38296,2317,946,990,11832,546516
7_J,166500,550635,296634,57051,71214,90483,20646,1364,946,990,51131,404710
7_Q,97200,469443,310901,68357,68578,89531,37606,2317,946,990,12104,554331
7_K,175500,545389,238542,48865,76875,90483,20247,990,946,990,128348,385129
7_A,0,400916,262510,61860,79719,89503,36920,1980,946,990,21540,755420
2_8,72900,483379,335700,67807,88909,89517,38304,2317,946,990,13395,518140
3_8,72900,483379,334908,67807,88909,89517,38304,2317,946,990,13061,519266
4_8,67500,469943,331603,67250,88909,89517,38304,2317,946,990,12663,542362
5_8,62100,456507,328397,66693,88909,89517,38304,2317,946,990,12349,565275
6_8,60300,450372,326669,66323,88909,89517,38304,2317,946,990,11599,576058
7_8,63000,440638,317169,65105,87290,89517,38304,2317,946,990,11650,595378
8_8,0,272696,293337,43945,84906,87221,38934,2354,946,990,8059,878916
8_9,76500,450632,310776,64673,78100,89545,38300,2317,946,990,11842,587683
8_T,94500,470823,308893,65318,66782,89573,38296,2317,946,990,12009,561857
8_J,170100,553221,295050,57051,71214,90525,20646,1364,946,990,51146,400051
8_Q,99900,458273,305075,67093,68578,89573,37606,2317,946,990,12281,569672
8_K,179100,547975,237534,48865,76875,90525,20247,990,946,990,127787,380470
8_A,0,403732,262510,61860,79719,89545,36920,1980,946,990,21717,752385
2_9,83700,491740,331633,67893,81004,90504,38304,2317,0,990,13438,510781
3_9,81000,488924,330841,67893,81004,90504,38304,2317,0,990,12874,517653
4_9,81000,488924,330148,67893,81004,90504,38304,2317,0,990,12653,518567
5_9,75600,475488,326942,67336,81004,90504,38304,2317,0,990,12339,541480
6_9,71100,467249,325214,66966,81004,90504,38304,2317,0,990,11589,557067
7_9,73800,457515,315714,65748,79385,90504,38304,2317,0,990,11640,576387
8_9,76500,450536,310755,64672,79385,90504,38304,2317,0,990,11845,586496
9_9,0,278392,287868,44132,63793,88180,38882,2354,0,990,7722,899991
9_T,97200,476849,292296,65243,59222,90532,38296,2317,0,990,12087,577272
9_J,173700,541821,284860,55787,64671,91512,20646,1364,0,990,49800,427153
9_Q,102600,464299,288640,67018,61018,90532,37606,2317,0,990,12359,584925
9_K,195300,547819,228394,47725,70332,91512,20247,990,0,990,126476,382519
9_A,0,408384,262486,61763,71615,90532,36920,1980,0,990,26131,751503
2_T,99900,505198,327924,68166,71325,91536,38304,2317,0,0,13616,494018
3_T,97200,502382,327132,68166,71325,91536,38304,2317,0,0,13052,500890
4_T,94500,499566,326439,68166,71325,91536,38304,2317,0,0,12601,507550
5_T,94500,499566,325845,68166,71325,91536,38304,2317,0,0,12464,508281
6_T,89100,491327,324117,67796,71325,91536,38304,2317,0,0,11714,524768
7_T,91800,481593,314617,66578,69706,91536,38304,2317,0,0,11765,544088
8_T,94500,470519,308830,65315,69706,91536,38304,2317,0,0,11970,559307
9_T,97200,476641,292263,65241,60861,91536,38300,2317,0,0,12087,575858
T_T,0,289072,283486,44506,38104,89184,38830,2354,0,0,7658,919110
T_J,190800,536842,274428,54582,56515,92544,20646,1364,0,0,48656,435927
T_Q,105300,470860,267746,67084,51883,91536,37606,2317,0,0,12437,605535
T_K,217800,539842,218262,46274,62176,92544,20247,990,0,0,130150,384019
T_A,0,253208,241929,52862,62480,91536,36920,1980,0,0,193168,778221
2_Q,99000,471274,313361,68353,72938,91535,37614,2317,44,0,13942,541926
3_Q,96300,468458,312569,68353,72938,91535,37614,2317,44,0,13378,548798
4_Q,93600,465642,311876,68353,72938,91535,37614,2317,44,0,12927,555458
5_Q,90900,462826,311282,68353,72938,91535,37614,2317,44,0,12560,561935
6_Q,94500,465642,310787,68353,72938,91535,37614,2317,44,0,11810,556764
7_Q,97200,467923,310391,68353,71164,91535,37614,2317,44,0,11994,553769
8_Q,99900,456849,304604,67090,71164,91535,37614,2317,44,0,12199,568988
9_Q,102600,462971,288199,67016,62319,91535,37610,2317,44,0,12316,585377
T_Q,105300,469644,267326,67084,51545,91535,37606,2317,44,0,12436,607467
J_Q,203400,552909,274433,55015,56515,92543,20637,1364,44,0,42955,412489
Q_Q,0,148808,180393,44693,42342,89183,33370,2353,44,0,7947,1163171
Q_K,0,114632,142086,25741,63789,92543,19170,990,44,0,93452,1159857
Q_A,0,215443,228398,53049,64093,91535,36230,1980,44,0,8930,1012602
2_A,0,395508,260845,61488,82429,82649,36924,1980,1033,0,23633,765815
3_A,0,392692,260845,61488,82429,82649,36924,1980,1033,0,23069,769195
4_A,0,389876,260845,61488,82429,82649,36924,1980,1033,0,22618,772462
5_A,0,387060,260845,61488,82429,82649,36924,1980,1033,0,22251,775645
6_A,0,402210,263052,62045,82429,82649,36924,1980,1033,0,21636,758346
7_A,0,398292,261673,61858,80708,82649,36924,1980,1033,0,21455,765732
8_A,0,401108,261673,61858,80708,82649,36924,1980,1033,0,21660,762711
9_A,0,405952,261673,61763,71319,82677,36920,1980,1033,0,26112,762875
T_A,0,250776,241113,52864,60545,82677,36916,1980,1033,0,193191,791209
J_A,0,128160,152048,27192,64671,83657,19569,990,1033,0,27365,1207619
Q_A,0,214211,228002,53051,62496,82677,36226,1980,1033,0,8970,1023658
K_A,0,128160,150896,27192,71757,83657,19170,990,1033,0,20671,1208778
A_A,0,0,61712,44506,67613,80325,27584,1978,1033,0,7683,1419870
