vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,269136,325071,43758,118111,86345,39210,2318,1892,990,20405,805068
2_3,59400,450372,329000,65957,120523,88613,38292,2285,1892,990,17803,537177
2_4,56700,447556,328208,65957,120523,88613,38292,2285,1892,990,17352,543936
2_5,54000,444740,327515,65957,120523,88613,38292,2285,1892,990,16985,550512
2_6,62100,460992,329398,66514,120523,88613,38292,2285,1892,990,16505,524200
2_7,67500,474428,331515,67071,120523,88613,38292,2285,1892,990,16636,502559
2_8,72900,478045,327409,67159,111333,88641,38288,2285,1892,990,16520,506842
2_9,83700,489981,324194,67434,102143,88669,38284,2285,1892,990,16737,495995
2_T,99900,504375,320392,67648,90825,88697,38280,2285,1892,990,17153,479867
2_J,169200,553221,288834,56183,102828,89621,20616,1328,1892,990,71365,356226
2_Q,169200,538605,243024,48619,102828,89621,20247,990,1892,990,140063,356225
2_K,0,409834,259322,61704,102143,88669,36904,1980,1892,990,30042,718824
2_A,0,368366,259475,58554,111333,88641,36908,1980,1892,990,29288,754877
2_3,59400,450372,329000,65957,120523,88571,38292,2285,1892,990,18166,536856
3_3,0,267712,317511,43758,118111,86303,39162,2318,1892,990,17288,817259
3_4,51300,434120,324732,65400,120523,88571,38292,2285,1892,990,17204,566995
3_5,48600,431304,324039,65400,120523,88571,38292,2285,1892,990,16837,573571
3_6,56700,447556,325922,65957,120523,88571,38292,2285,1892,990,16357,547259
3_7,62100,460992,328039,66514,120523,88571,38292,2285,1892,990,16488,525618
3_8,72900,478045,326545,67159,111333,88599,38288,2285,1892,990,16507,507761
3_9,81000,487165,323330,67434,102143,88627,38284,2285,1892,990,16536,502618
3_T,97200,501559,319528,67648,90825,88655,38280,2285,1892,990,16952,486490
3_J,165600,550635,286854,56183,102828,89579,20616,1328,1892,990,70858,364941
3_Q,165600,536019,242016,48619,102828,89579,20247,990,1892,990,138584,364940
3_K,0,407018,259322,61704,102143,88627,36904,1980,1892,990,29841,721883
3_A,0,365550,259475,58554,111333,88599,36908,1980,1892,990,29087,757936
2_4,56700,447556,328136,65957,120523,88529,38292,2285,1892,990,17965,543479
3_4,51300,434120,324732,65400,120523,88529,38292,2285,1892,990,17454,566787
4_4,0,266288,310761,43758,118111,86261,39114,2318,1892,990,14554,828257
4_5,43200,417868,320671,64843,120523,88529,38292,2285,1892,990,16689,596522
4_6,51300,434120,322554,65400,120523,88529,38292,2285,1892,990,16209,570210
