vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,283376,338339,44319,48435,88222,39258,2390,0,990,11454,855521
2_3,83700,481932,333481,66589,50015,90546,38340,2349,0,990,10780,553582
2_4,81000,479116,332689,66589,50015,90546,38340,2349,0,990,10329,560341
2_5,78300,476300,331996,66589,50015,90546,38340,2349,0,990,9962,566917
2_6,75600,490680,341885,67994,45973,90546,38340,2349,0,990,9234,548713
2_7,81900,498919,342623,68364,51634,90546,38340,2349,0,990,8974,527665
2_8,81900,498919,342227,68364,51634,90546,38340,2349,0,990,8991,528044
2_9,84600,501735,341930,68364,51634,90546,38340,2349,0,990,9206,522610
2_T,96300,509202,337471,68452,40316,90574,38336,2349,0,990,9291,519023
2_J,99000,512018,337471,68452,40316,90574,38336,2349,0,990,9510,513288
2_Q,101700,514834,337471,68452,40316,90574,38336,2349,0,990,9729,507553
2_K,198900,583118,328343,57730,45261,91554,20676,1400,0,990,23203,361129
2_A,185400,571874,274730,57484,39600,91554,20307,990,0,990,82293,387082
2_3,83700,481932,333481,66589,50015,90504,38340,2349,0,990,11143,553261
3_3,0,281952,328619,44319,48435,88180,39210,2390,0,990,10497,867712
3_4,75600,465680,329213,66032,50015,90504,38340,2349,0,990,10181,583400
3_5,72900,462864,328520,66032,50015,90504,38340,2349,0,990,9814,589976
3_6,70200,477244,338409,67437,45973,90504,38340,2349,0,990,9086,571772
3_7,76500,485483,339147,67807,51634,90504,38340,2349,0,990,8826,550724
3_8,81900,498919,341363,68364,51634,90504,38340,2349,0,990,8978,528963
3_9,81900,498919,341066,68364,51634,90504,38340,2349,0,990,9005,529233
3_T,93600,506386,336607,68452,40316,90532,38336,2349,0,990,9090,525646
3_J,96300,509202,336607,68452,40316,90532,38336,2349,0,990,9309,519911
3_Q,99000,512018,336607,68452,40316,90532,38336,2349,0,990,9528,514176
3_K,195300,580532,326075,57730,45261,91512,20676,1400,0,990,22984,369844
3_A,181800,569288,273434,57484,39600,91512,20307,990,0,990,81102,395797
2_4,81000,479116,332617,66589,50015,90462,38340,2349,0,990,10942,559884
3_4,75600,465680,329213,66032,50015,90462,38340,2349,0,990,10431,583192
4_4,0,280528,319979,44319,48435,88138,39162,2390,0,990,9653,878710
4_5,67500,449428,325152,65475,50015,90462,38340,2349,0,990,9666,612927
4_6,64800,463808,335041,66880,45973,90462,38340,2349,0,990,8938,594723
4_7,71100,472047,335779,67250,51634,90462,38340,2349,0,990,8678,573675
4_8,76500,485483,337995,67807,51634,90462,38340,2349,0,990,8830,551914
4_9,81900,498919,340310,68364,51634,90462,38340,2349,0,990,8992,530044
4_T,90900,503570,335851,68452,40316,90490,38336,2349,0,990,8889,532161
4_J,93600,506386,335851,68452,40316,90490,38336,2349,0,990,9108,526426
4_Q,96300,509202,335851,68452,40316,90490,38336,2349,0,990,9327,520691
4_K,191700,577946,323915,57730,45261,91470,20676,1400,0,990,22765,378451
4_A,178200,566702,272138,57484,39600,91470,20307,990,0,990,80019,404404
2_5,78300,476300,331861,66589,50015,90420,38340,2349,0,990,10741,566399
3_5,72900,462864,328457,66032,50015,90420,38340,2349,0,990,10230,589707
4_5,67500,449428,325152,65475,50015,90420,38340,2349,0,990,9832,612803
5_5,0,279104,312419,44319,48435,88096,39114,2390,0,990,8893,888544
5_6,59400,450372,331781,66323,45973,90420,38340,2349,0,990,8790,617566
5_7,65700,458611,332519,66693,51634,90420,38340,2349,0,990,8530,596518
5_8,71100,472047,334735,67250,51634,90420,38340,2349,0,990,8682,574757
5_9,76500,485483,337050,67807,51634,90420,38340,2349,0,990,8844,552887
5_T,90900,503570,335203,68452,40316,90448,38336,2349,0,990,8876,532864
5_J,90900,503570,335203,68452,40316,90448,38336,2349,0,990,8907,532833
5_Q,93600,506386,335203,68452,40316,90448,38336,2349,0,990,9126,527098
5_K,188100,575360,321863,57730,45261,91428,20676,1400,0,990,22546,386950
5_A,174600,564116,270842,57484,39600,91428,20307,990,0,990,79044,412903
2_6,75600,490680,341696,67994,45973,90378,38340,2349,0,990,10165,548139
3_6,70200,477244,338292,67437,45973,90378,38340,2349,0,990,9654,571447
4_6,64800,463808,334987,66880,45973,90378,38340,2349,0,990,9256,594543
5_6,59400,450372,331781,66323,45973,90378,38340,2349,0,990,8942,617456
6_6,0,281952,307318,44506,45169,88054,39066,2390,0,990,7859,895000
6_7,60300,450372,330746,66323,45973,90378,38340,2349,0,990,7874,618659
6_8,65700,463808,332962,66880,45973,90378,38340,2349,0,990,8026,596898
