vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,274832,332381,44132,95812,87178,39210,2354,1032,990,15643,818740
2_3,62100,460992,335230,66880,97420,89474,38292,2317,1032,990,13759,543818
2_4,59400,458176,334438,66880,97420,89474,38292,2317,1032,990,13308,550577
2_5,59400,458176,333745,66880,97420,89474,38292,2317,1032,990,13171,551407
2_6,67500,469959,334249,67250,95699,89474,38292,2317,1032,990,12514,533028
2_7,75600,481030,334987,67620,93978,89474,38292,2317,1032,990,12468,514516
2_8,75600,481030,334591,67620,93978,89474,38292,2317,1032,990,12485,514895
2_9,87300,489567,330584,67708,84788,89502,38288,2317,1032,990,12567,507661
2_T,174600,564116,308339,57484,71214,90482,20646,1364,1032,990,61573,360464
2_J,99900,468164,312762,68170,75421,89530,37594,2317,1032,990,12911,543513
2_Q,96300,469994,314141,68357,77142,89530,37594,2317,1032,990,13077,541830
2_K,174600,524444,231494,44878,85386,90482,20217,990,1032,990,177330,360461
2_A,0,375132,261574,58928,88230,89502,36908,1980,1032,990,32105,765923
2_3,62100,460992,335230,66880,97420,89432,38292,2317,1032,990,14122,543497
3_3,0,273408,323741,44132,95812,87136,39162,2354,1032,990,13606,830931
3_4,54000,444740,330962,66323,97420,89432,38292,2317,1032,990,13160,573636
3_5,54000,444740,330269,66323,97420,89432,38292,2317,1032,990,13023,574466
3_6,62100,456523,330773,66693,95699,89432,38292,2317,1032,990,12366,556087
3_7,70200,467594,331511,67063,93978,89432,38292,2317,1032,990,12320,537575
3_8,75600,481030,333727,67620,93978,89432,38292,2317,1032,990,12472,515814
3_9,84600,486751,329720,67708,84788,89460,38288,2317,1032,990,12366,514284
3_T,171000,561530,306215,57484,71214,90440,20646,1364,1032,990,61210,369179
