vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,267712,325071,43758,125197,86303,39198,2318,1935,990,20228,799594
2_3,56700,447556,329000,65957,127609,88571,38280,2285,1935,990,17626,535795
2_4,54000,444740,328208,65957,127609,88571,38280,2285,1935,990,17175,542554
2_5,54000,444740,327515,65957,127609,88571,38280,2285,1935,990,17038,543384
2_6,62100,456523,328019,66327,125888,88571,38280,2285,1935,990,16381,525005
2_7,67500,469959,330136,66884,125888,88571,38280,2285,1935,990,16512,503364
2_8,75600,475680,326030,66972,116698,88599,38276,2285,1935,990,16396,502843
2_9,87300,487616,322815,67247,107508,88627,38272,2285,1935,990,16613,491096
2_T,165600,550635,288834,56183,102828,89579,20616,1328,1935,990,78261,355515
2_J,99900,469600,305272,67648,98141,88655,37578,2285,1935,990,17153,523147
2_Q,165600,511659,230106,44567,109914,89579,20217,990,1935,990,181234,355513
2_K,0,386138,259214,59203,109229,88627,36892,1980,1935,990,36459,731637
2_A,0,338406,259367,56419,118419,88599,36896,1980,1935,990,38489,770804
2_3,56700,447556,329000,65957,127609,88529,38280,2285,1935,990,17989,535474
3_3,0,266288,317511,43758,125197,86261,39150,2318,1935,990,17111,811785
3_4,48600,431304,324732,65400,127609,88529,38280,2285,1935,990,17027,565613
3_5,48600,431304,324039,65400,127609,88529,38280,2285,1935,990,16890,566443
3_6,56700,443087,324543,65770,125888,88529,38280,2285,1935,990,16233,548064
3_7,62100,456523,326660,66327,125888,88529,38280,2285,1935,990,16364,526423
3_8,75600,475680,325166,66972,116698,88557,38276,2285,1935,990,16383,503762
3_9,84600,484800,321951,67247,107508,88585,38272,2285,1935,990,16412,497719
3_T,162000,548049,286854,56183,102828,89537,20616,1328,1935,990,77754,364230
3_J,97200,466784,304408,67648,98141,88613,37578,2285,1935,990,16952,529770
3_Q,162000,509073,229242,44567,109914,89537,20217,990,1935,990,179611,364228
3_K,0,383322,259214,59203,109229,88585,36892,1980,1935,990,36258,734696
3_A,0,335590,259367,56419,118419,88557,36896,1980,1935,990,38288,773863
2_4,54000,444740,328136,65957,127609,88487,38280,2285,1935,990,17788,542097
3_4,48600,431304,324732,65400,127609,88487,38280,2285,1935,990,17277,565405
4_4,0,264864,310761,43758,125197,86219,39102,2318,1935,990,14377,822783
4_5,43200,417868,320671,64843,127609,88487,38280,2285,1935,990,16742,589394
4_6,51300,429651,321175,65213,125888,88487,38280,2285,1935,990,16085,571015
4_7,56700,443087,323292,65770,125888,88487,38280,2285,1935,990,16216,549374
4_8,70200,462244,321798,66415,116698,88515,38276,2285,1935,990,16235,526713
4_9,84600,484800,321195,67247,107508,88543,38272,2285,1935,990,16399,498530
4_T,158400,545463,284982,56183,102828,89495,20616,1328,1935,990,77247,372837
4_J,94500,463968,303652,67648,98141,88571,37578,2285,1935,990,16751,536285
4_Q,158400,506487,228378,44567,109914,89495,20217,990,1935,990,178096,372835
4_K,0,380506,259214,59203,109229,88543,36892,1980,1935,990,36057,737755
4_A,0,332774,259367,56419,118419,88515,36896,1980,1935,990,38087,776922
2_5,54000,444740,327380,65957,127609,88487,38280,2285,1935,990,17776,542865
3_5,48600,431304,323976,65400,127609,88487,38280,2285,1935,990,17265,566173
4_5,43200,417868,320671,64843,127609,88487,38280,2285,1935,990,16867,589269
5_5,0,264864,304821,43758,125197,86219,39054,2318,1935,990,12416,830732
5_6,45900,420684,319294,64843,125888,88487,38280,2285,1935,990,16073,587645
5_7,51300,434120,321411,65400,125888,88487,38280,2285,1935,990,16204,566004
5_8,62100,451173,319917,66045,116698,88515,38276,2285,1935,990,16223,548147
5_9,75600,473729,319314,66877,107508,88543,38272,2285,1935,990,16387,520864
5_T,158400,545463,283218,56183,102828,89495,20616,1328,1935,990,76929,374919
5_J,94500,463968,303004,67648,98141,88571,37578,2285,1935,990,16739,536945
5_Q,158400,506487,227514,44567,109914,89495,20217,990,1935,990,176878,374917
5_K,0,380506,259214,59203,109229,88543,36892,1980,1935,990,36045,737767
5_A,0,332774,259367,56419,118419,88515,36896,1980,1935,990,38075,776934
2_6,62100,456507,327830,66327,126184,88530,38280,2285,1892,990,17204,524175
3_6,56700,443071,324426,65770,126184,88530,38280,2285,1892,990,16693,547483
4_6,51300,429635,321121,65213,126184,88530,38280,2285,1892,990,16295,570579
5_6,45900,420684,319294,64843,126184,88530,38280,2285,1892,990,16158,587264
6_6,0,262728,298312,43571,121377,86262,39006,2318,1892,990,9963,845885
6_7,54900,424386,311767,64182,124565,88530,38280,2285,1892,990,15364,585163
6_8,65700,441439,310273,64827,115375,88558,38276,2285,1892,990,15383,567306
6_9,79200,463995,309670,65659,106185,88586,38272,2285,1892,990,15547,540023
6_T,153900,534568,279397,55750,102828,89538,20616,1328,1892,990,74314,397183
6_J,98100,466233,302464,67648,96663,88614,37578,2285,1892,990,16016,533821
6_Q,162900,504962,225448,44380,108489,89538,20217,990,1892,990,174896,377602
6_K,0,379372,257835,59016,107804,88586,36892,1980,1892,990,35161,742776
6_A,0,344006,260195,56789,116994,88558,36896,1980,1892,990,37368,766636
2_7,67500,469943,329902,66884,126184,88572,38280,2285,1892,990,17327,502545
3_7,62100,456507,326498,66327,126184,88572,38280,2285,1892,990,16816,525853
4_7,56700,443071,323193,65770,126184,88572,38280,2285,1892,990,16418,548949
5_7,51300,434120,321366,65400,126184,88572,38280,2285,1892,990,16281,565634
6_7,54900,424386,311767,64182,124565,88572,38280,2285,1892,990,15398,585087
7_7,0,264152,293992,43571,121377,86304,38958,2318,1892,990,9051,849699
7_8,68400,434380,305167,63750,115375,88600,38276,2285,1892,990,15559,577630
7_9,81900,453537,303736,64395,106185,88628,38272,2285,1892,990,15723,554761
7_T,157500,537154,277849,55750,102828,89580,20616,1328,1892,990,74184,392633
7_J,100800,455063,296530,66384,96663,88656,37578,2285,1892,990,16192,549271
7_Q,166500,507548,224584,44380,108489,89580,20217,990,1892,990,174082,373052
7_K,0,382188,257835,59016,107804,88628,36892,1980,1892,990,35337,739742
7_A,0,344006,260195,56789,116994,88600,36896,1980,1892,990,37314,766648
2_8,75600,475488,325727,66970,118279,89559,38280,2285,946,990,17140,501040
3_8,75600,475488,324935,66970,118279,89559,38280,2285,946,990,16806,502166
4_8,70200,462052,321630,66413,118279,89559,38280,2285,946,990,16408,525262
5_8,62100,450997,319803,66043,118279,89559,38280,2285,946,990,16271,546751
