vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,279200,325798,44030,34421,107215,39114,2318,215,44,21219,858730
2_3,175230,555714,284756,56011,21675,121220,20616,1328,215,44,72138,403357
2_4,94695,438478,298330,64970,34295,119167,37506,2285,215,44,18403,603916
2_5,92040,435702,297538,64970,34295,119167,37506,2285,215,44,18037,610505
2_6,89385,446006,306735,66358,35989,119163,37506,2285,215,44,17336,591282
2_7,89385,455074,314674,67561,36859,119159,37506,2285,215,44,17420,572122
2_8,89385,451760,312822,67376,30417,119159,37506,2285,215,44,17219,584116
2_9,92040,450002,311069,67191,35641,119159,37506,2285,215,44,17070,580082
2_T,99120,450322,309415,67006,33706,119159,37506,2285,215,44,17111,576415
2_J,101775,453098,309217,67006,33706,119159,37506,2285,215,44,17329,570964
2_Q,0,197008,170138,28085,17378,121220,20007,990,215,44,804548,352671
2_K,0,243708,256403,52246,35641,119159,36816,1980,215,44,13323,952769
2_A,0,237256,249335,51228,35821,119163,36816,1980,215,44,9545,970901
3_3,0,226152,185922,30525,21675,119330,16266,1361,215,44,43800,1067014
3_4,162840,539910,271794,55581,21675,121220,20607,1328,215,44,66622,450468
3_5,159300,537363,271002,55581,21675,121220,20607,1328,215,44,66238,457731
3_6,169035,550620,271943,56011,21675,121220,20607,1328,215,44,60666,438940
3_7,177885,563877,273484,56441,21675,121220,20607,1328,215,44,62484,413044
3_8,186735,573122,273943,56686,19969,121220,20607,1328,215,44,64147,394288
3_9,190275,570959,272366,56501,18263,121220,20607,1328,215,44,70910,389616
3_T,199125,570645,270888,56316,16328,121220,20607,1328,215,44,70933,384655
3_J,202665,573192,270690,56316,16328,121220,20607,1328,215,44,71133,378566
3_Q,0,0,0,0,0,122300,0,0,215,44,1552983,36762
3_K,0,135412,156908,28085,18263,121220,19539,990,215,44,53738,1177890
3_A,0,135412,156908,28085,19969,121220,19539,990,215,44,33930,1195992
4_4,0,143788,220086,43845,30399,107225,33462,2317,215,44,16851,1114072
4_5,86730,380034,272168,63214,32769,119171,36816,2285,215,44,17184,701674
4_6,84075,387206,280957,64602,34463,119167,36816,2285,215,44,16483,685991
4_7,84075,393664,288488,65805,35333,119163,36816,2285,215,44,16567,669849
4_8,84075,396808,294761,66823,30417,119159,36816,2285,215,44,16496,664405
4_9,95580,405962,294232,67006,33935,119159,36816,2285,215,44,16339,640731
