vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,276408,315538,44030,48281,107131,39090,2246,301,44,31199,848036
2_3,168150,531898,252980,51587,35535,121136,20556,1256,301,44,126816,402045
2_4,89385,426371,290230,62835,48155,119083,37482,2221,301,44,34905,601292
2_5,89385,426371,289438,62835,48155,119083,37482,2221,301,44,34768,602221
2_6,89385,435615,297278,64038,48143,119079,37482,2221,301,44,34120,584598
2_7,92040,442925,303860,65056,47307,119075,37482,2221,301,44,34028,567965
2_8,95580,441689,302008,64871,40865,119075,37482,2221,301,44,33827,574341
2_9,99120,439586,300255,64686,46089,119075,37482,2221,301,44,34023,569422
2_T,0,195612,170138,28085,17378,121136,20007,990,301,44,807252,351361
2_J,0,235684,253365,51876,46089,119075,36792,1980,301,44,23913,943185
2_Q,0,238300,254722,52061,47795,119075,36792,1980,301,44,17144,944090
2_K,0,240916,256079,52246,49501,119075,36792,1980,301,44,12971,942399
2_A,0,234464,249011,51228,49681,119079,36792,1980,301,44,9193,960531
3_3,0,224756,175662,30525,35535,119246,16242,1281,301,44,53788,1054924
3_4,155760,516094,242502,51157,35535,121136,20547,1256,301,44,118816,449156
3_5,155760,516094,241710,51157,35535,121136,20547,1256,301,44,118661,450103
3_6,169035,527886,241470,51402,33829,121136,20547,1256,301,44,113142,432256
3_7,181425,538980,241830,51647,32123,121136,20547,1256,301,44,114784,408231
3_8,194700,550074,242289,51892,30417,121136,20547,1256,301,44,116447,383201
3_9,199125,547097,240712,51707,28711,121136,20547,1256,301,44,124024,377644
3_T,0,0,0,0,0,122216,0,0,301,44,1552979,36764
3_J,0,127036,154222,27715,28711,121136,19479,990,301,44,93703,1138967
3_Q,0,130526,155403,27900,30417,121136,19479,990,301,44,70966,1155142
3_K,0,134016,156584,28085,32123,121136,19479,990,301,44,53422,1166124
3_A,0,134016,156584,28085,33829,121136,19479,990,301,44,33614,1184226
4_4,0,142392,211986,43845,44259,107141,33438,2245,301,44,24671,1101982
4_5,84075,370703,264068,61079,46629,119087,36792,2221,301,44,33915,693390
4_6,84075,376815,271500,62282,46617,119083,36792,2221,301,44,33267,679307
4_7,86730,381515,277674,63300,45781,119079,36792,2221,301,44,33175,665692
4_8,90270,386737,283947,64318,40865,119075,36792,2221,301,44,33104,654630
4_9,102660,395546,283418,64501,44383,119075,36792,2221,301,44,33292,630071
4_T,0,129828,140418,27900,15672,121136,18930,990,301,44,800742,456343
4_J,0,188868,238184,51691,44383,119075,36102,1980,301,44,22953,1008723
4_Q,0,191484,239541,51876,46089,119075,36102,1980,301,44,16184,1009628
4_K,0,194100,240898,52061,47795,119075,36102,1980,301,44,12011,1007937
4_A,0,190258,234130,51043,47975,119079,36102,1980,301,44,8233,1023159
5_5,0,142392,206262,43845,44259,107141,33414,2245,301,44,20425,1111976
5_6,78765,368503,269583,61914,46617,119083,36792,2221,301,44,33130,695351
5_7,78765,371125,275757,62932,45781,119079,36792,2221,301,44,33038,686469
5_8,81420,376347,282030,63950,40865,119075,36792,2221,301,44,32967,676292
5_9,93810,370666,281501,63706,44383,119075,36792,2221,301,44,48072,651733
5_T,0,129828,140418,27900,15672,121136,18930,990,301,44,713166,543919
5_J,0,188868,238184,51691,44383,119075,36102,1980,301,44,22816,1008860
5_Q,0,191484,239541,51876,46089,119075,36102,1980,301,44,16047,1009765
5_K,0,194100,240898,52061,47795,119075,36102,1980,301,44,11874,1008074
5_A,0,190258,234130,51043,47975,119079,36102,1980,301,44,8096,1023296
6_6,0,138204,200367,43845,44717,107141,33390,2245,301,44,16135,1125915
6_7,75225,360859,267579,61914,45305,119083,36792,2221,301,44,32306,710675
6_8,77880,352971,273852,62505,40389,119079,36792,2221,301,44,45772,700498
6_9,89385,338320,273323,61834,44792,119079,36792,2221,301,44,56047,690166
6_T,0,130526,140418,27900,17607,121136,18930,990,301,44,574819,679633
6_J,0,192182,239541,51876,44551,119075,36102,1980,301,44,22214,1004438
6_Q,0,191484,239541,51876,46318,119075,36102,1980,301,44,15269,1010314
6_K,0,194100,240898,52061,48024,119075,36102,1980,301,44,11096,1008623
6_A,0,197414,242255,52246,47963,119075,36102,1980,301,44,7448,1007476
7_7,0,134016,195120,43845,43832,107141,33366,2245,301,44,13151,1139243
7_8,77880,324765,265773,60694,34295,119083,36792,2221,301,44,52348,738108
7_9,86730,301826,265244,59596,44087,119083,36792,2221,301,44,60553,735827
7_T,0,130526,140418,27900,18428,121136,18930,990,301,44,443046,810585
7_J,0,185208,232365,50858,43846,119079,36102,1980,301,44,22214,1020307
7_Q,0,194798,240898,52061,45372,119075,36102,1980,301,44,15399,1006274
7_K,0,194100,240898,52061,47139,119075,36102,1980,301,44,11050,1009554
7_A,0,194622,240898,52061,47139,119075,36102,1980,301,44,7226,1012856
8_8,0,130526,190521,43845,37329,107141,33342,2245,301,44,10749,1156261
8_9,86730,262580,257372,56992,37993,119087,36792,2221,301,44,64282,787910
8_T,0,130526,140418,27900,13860,121136,18930,990,301,44,336236,921963
8_J,0,178932,225189,49840,37752,119083,36102,1980,301,44,22235,1040846
8_Q,0,188522,233722,51043,39278,119079,36102,1980,301,44,15420,1026813
8_K,0,198112,242255,52246,40804,119075,36102,1980,301,44,11201,1010184
8_A,0,195320,240898,52061,40865,119075,36102,1980,301,44,7201,1018457
9_9,0,127036,186032,43660,40237,107151,33318,2245,301,44,8826,1163454
9_T,0,127036,139237,27715,20790,121136,18930,990,301,44,253159,1002966
9_J,0,169342,216764,48637,43156,119087,36102,1980,301,44,22132,1054759
9_Q,0,178932,225297,49840,44682,119083,36102,1980,301,44,15317,1040726
9_K,0,188522,233830,51043,46208,119079,36102,1980,301,44,11098,1024097
9_A,0,196018,240898,52061,46028,119075,36102,1980,301,44,7228,1012569
T_T,0,0,0,30525,20790,119246,7932,990,301,44,53370,1479106
T_J,0,127036,139237,27715,20790,121136,18930,990,301,44,89597,1166528
T_Q,0,130526,140418,27900,20790,121136,18930,990,301,44,74335,1176934
T_K,0,134016,141599,28085,20790,121136,18930,990,301,44,58311,1188102
