vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,268032,318409,43660,99801,105446,39162,2282,2021,44,24730,808717
2_3,61065,448467,321482,64865,101265,117354,38244,2253,2021,44,23930,531314
2_4,61065,444109,319333,64680,99559,117354,38244,2253,2021,44,23533,540109
2_5,63720,441829,317283,64495,97853,117354,38244,2253,2021,44,23220,543988
2_6,72570,457797,319135,65048,97853,117354,38244,2253,2021,44,22787,517198
2_7,86730,476681,317608,65691,88786,117382,38240,2253,2021,44,22777,494091
2_8,169035,545736,268190,54167,76329,119415,20586,1292,2021,44,101295,354194
2_9,95580,449147,299133,65966,79948,117410,37546,2253,2021,44,22698,540558
2_T,96465,448104,298935,65966,79719,117410,37546,2253,2021,44,23031,540810
2_J,161070,401175,204173,36685,75444,119415,20157,990,2021,44,336934,354196
2_Q,0,306114,256151,54530,89970,117382,36860,1980,2021,44,47718,799534
2_K,0,272432,259254,53342,94021,117354,36864,1980,2021,44,43074,831918
2_A,0,240274,257078,52057,99559,117354,36864,1980,2021,44,28889,876184
3_3,0,268032,311929,43660,99801,105446,39114,2282,2021,44,20630,819345
3_4,55755,435275,317317,64312,99559,117354,38244,2253,2021,44,23199,556971
3_5,55755,430917,315267,64127,97853,117354,38244,2253,2021,44,22886,565583
3_6,64605,446885,317119,64680,97853,117354,38244,2253,2021,44,22453,538793
3_7,77880,465769,315592,65323,88786,117382,38240,2253,2021,44,22443,516571
3_8,169035,545736,266471,54167,76329,119415,20586,1292,2021,44,100529,356679
3_9,95580,449147,298341,65966,79948,117410,37546,2253,2021,44,22364,541684
3_T,96465,448104,298143,65966,79719,117410,37546,2253,2021,44,22697,541936
3_J,161070,401175,203621,36685,75444,119415,20157,990,2021,44,335001,356681
3_Q,0,306114,256151,54530,89970,117382,36860,1980,2021,44,47384,799868
3_K,0,272432,259254,53342,94021,117354,36864,1980,2021,44,42740,832252
3_A,0,240274,257078,52057,99559,117354,36864,1980,2021,44,28555,876518
4_4,0,264542,304767,43475,95779,105456,39066,2282,2021,44,16809,838063
4_5,55755,418717,305633,62924,96327,117358,38244,2253,2021,44,22535,590493
4_6,64605,434685,307485,63477,96327,117358,38244,2253,2021,44,22102,563703
4_7,77880,453569,305958,64120,87260,117386,38240,2253,2021,44,22092,541481
4_8,160185,532479,262716,53737,76329,119415,20586,1292,2021,44,97994,385506
