vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,272220,328453,43660,79709,105571,39234,2354,946,990,15294,823873
2_3,66375,455744,329366,66146,81173,117479,38316,2317,946,990,13427,540025
2_4,63720,452968,328574,66146,81173,117479,38316,2317,946,990,12977,546698
2_5,61065,450192,327881,66146,81173,117479,38316,2317,946,990,12611,553188
2_6,66375,463384,329733,66699,81173,117479,38316,2317,946,990,11949,532943
2_7,71685,476576,331819,67252,81173,117479,38316,2317,946,990,12071,511680
2_8,71685,476576,331423,67252,81173,117479,38316,2317,946,990,12046,512101
2_9,79650,482966,327513,67342,72106,117507,38312,2317,946,990,12128,510527
2_T,94695,496480,323947,67617,60928,117535,38308,2317,946,990,12348,496193
2_J,97350,499256,323947,67617,60928,117535,38308,2317,946,990,12566,490544
2_Q,178770,558261,302678,56995,69399,119540,20646,1364,946,990,46552,356163
2_K,178770,558261,253781,52725,69399,119540,20277,990,946,990,100463,356162
2_A,0,402072,256907,63680,72106,117507,36932,1980,946,990,12325,746859
3_3,0,270824,319813,43660,79709,105571,39186,2354,946,990,12896,836355
3_4,58410,439776,325201,65593,81173,117479,38316,2317,946,990,12475,569628
3_5,55755,437000,324508,65593,81173,117479,38316,2317,946,990,12109,576118
3_6,61065,450192,326360,66146,81173,117479,38316,2317,946,990,11447,555873
3_7,66375,463384,328446,66699,81173,117479,38316,2317,946,990,11569,534610
3_8,71685,476576,330631,67252,81173,117479,38316,2317,946,990,11712,513227
3_9,76995,480190,326721,67342,72106,117507,38312,2317,946,990,11565,517313
3_T,92040,493704,323155,67617,60928,117535,38308,2317,946,990,11785,502979
3_J,94695,496480,323155,67617,60928,117535,38308,2317,946,990,12003,497330
3_Q,175230,555714,300683,56995,69399,119540,20646,1364,946,990,45833,364964
