vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,273616,334402,43845,67809,106330,39222,2390,172,990,10247,833281
2_3,74340,462618,327740,65864,69331,118260,38304,2349,172,990,9584,542752
2_4,71685,459842,326948,65864,69331,118260,38304,2349,172,990,9134,549425
2_5,71685,459842,326255,65864,69331,118260,38304,2349,172,990,8997,550255
2_6,71685,472218,334602,67067,63927,118256,38304,2349,172,990,8349,534385
2_7,83190,480850,333974,67250,67445,118256,38304,2349,172,990,8161,511363
2_8,86730,478570,332221,67065,65739,118256,38304,2349,172,990,7960,513948
2_9,89385,481346,331924,67065,65739,118256,38304,2349,172,990,8174,508600
2_T,184965,564261,322409,57240,43831,120317,20676,1400,172,990,42608,353435
2_J,101775,453978,313275,67340,56496,118284,37610,2349,172,990,8382,551653
2_Q,98235,455736,314632,67525,58202,118284,37610,2349,172,990,8547,550022
2_K,94695,457494,315989,67710,59908,118284,37610,2349,172,990,8712,548391
2_A,171690,510387,226226,44164,59397,120317,20217,990,172,990,178754,379000
3_3,0,272220,324682,43845,67809,106330,39174,2390,172,990,8929,845763
3_4,66375,446650,323575,65311,69331,118260,38304,2349,172,990,8632,572355
3_5,66375,446650,322882,65311,69331,118260,38304,2349,172,990,8495,573185
3_6,66375,459026,331229,66514,63927,118256,38304,2349,172,990,7847,557315
3_7,77880,467658,330601,66697,67445,118256,38304,2349,172,990,7659,534293
3_8,86730,478570,331429,67065,65739,118256,38304,2349,172,990,7626,515074
3_9,86730,478570,331132,67065,65739,118256,38304,2349,172,990,7611,515386
3_T,181425,561714,320276,57240,43831,120317,20676,1400,172,990,42027,362236
3_J,99120,451202,312483,67340,56496,118284,37610,2349,172,990,7819,558439
3_Q,95580,452960,313840,67525,58202,118284,37610,2349,172,990,7984,556808
3_K,92040,454718,315197,67710,59908,118284,37610,2349,172,990,8149,555177
3_A,168150,507840,225398,44164,59397,120317,20217,990,172,990,176868,387801
4_4,0,270824,316042,43845,67809,106330,39126,2390,172,990,7837,856939
4_5,61065,433458,319608,64758,69331,118260,38304,2349,172,990,8106,595903
4_6,61065,445834,327955,65961,63927,118256,38304,2349,172,990,7458,580033
4_7,72570,454466,327327,66144,67445,118256,38304,2349,172,990,7270,557011
