vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,255468,313922,42920,150905,103737,39186,2282,2838,990,24087,775969
2_3,50445,423808,316995,64003,153833,115589,38268,2253,2838,990,21089,522193
2_4,47790,421032,316203,64003,153833,115589,38268,2253,2838,990,20639,528866
2_5,47790,421032,315510,64003,153833,115589,38268,2253,2838,990,20502,529696
2_6,55755,437000,317362,64556,153833,115589,38268,2253,2838,990,20069,503791
2_7,66375,453806,315835,65199,144766,115617,38264,2253,2838,990,20059,486302
2_8,74340,462812,312609,65474,135699,115645,38260,2253,2838,990,20037,481347
2_9,85845,475292,309347,65688,126632,115673,38256,2253,2838,990,20450,469040
2_T,153990,526653,265693,53675,130983,117650,20586,1292,2838,990,92237,345717
2_J,153990,488013,223681,43671,130983,117650,20217,990,2838,990,183565,345716
2_Q,0,376270,249947,58126,126632,115673,36876,1980,2838,990,42261,700711
2_K,0,341336,252231,55960,135699,115645,36880,1980,2838,990,38467,730278
2_A,0,290804,252339,53607,144766,115617,36884,1980,2838,990,40451,772028
3_3,0,254072,307442,42920,150905,103737,39138,2282,2838,990,19529,788451
3_4,42480,407840,312830,63450,153833,115589,38268,2253,2838,990,20137,551796
3_5,42480,407840,312137,63450,153833,115589,38268,2253,2838,990,20000,552626
3_6,50445,423808,313989,64003,153833,115589,38268,2253,2838,990,19567,526721
3_7,61065,440614,312462,64646,144766,115617,38264,2253,2838,990,19557,509232
3_8,74340,462812,311817,65474,135699,115645,38260,2253,2838,990,19703,482473
3_9,83190,472516,308555,65688,126632,115673,38256,2253,2838,990,19887,475826
3_T,150450,524106,263974,53675,130983,117650,20586,1292,2838,990,91242,354518
3_J,150450,485466,222853,43671,130983,117650,20217,990,2838,990,181679,354517
3_Q,0,373494,249947,58126,126632,115673,36876,1980,2838,990,41698,704050
3_K,0,338560,252231,55960,135699,115645,36880,1980,2838,990,37904,733617
3_A,0,288028,252339,53607,144766,115617,36884,1980,2838,990,39888,775367
4_4,0,252676,301637,42920,150905,103737,39090,2282,2838,990,15602,799627
4_5,37170,394648,308863,62897,153833,115589,38268,2253,2838,990,19611,575344
4_6,45135,410616,310715,63450,153833,115589,38268,2253,2838,990,19178,549439
4_7,55755,427422,309188,64093,144766,115617,38264,2253,2838,990,19168,531950
4_8,69030,449620,308543,64921,135699,115645,38260,2253,2838,990,19314,505191
4_9,83190,472516,307862,65688,126632,115673,38256,2253,2838,990,19666,476740
4_T,146910,521559,262354,53675,130983,117650,20586,1292,2838,990,90360,363107
4_J,146910,482919,222025,43671,130983,117650,20217,990,2838,990,180005,363106
4_Q,0,370718,249947,58126,126632,115673,36876,1980,2838,990,41248,707276
4_K,0,335784,252231,55960,135699,115645,36880,1980,2838,990,37454,736843
4_A,0,285942,252339,53607,144766,115617,36884,1980,2838,990,38748,778593
5_5,0,252676,296507,42920,150905,103737,39042,2282,2838,990,12706,807701
5_6,45135,410616,310121,63450,153833,115589,38268,2253,2838,990,19041,550170
5_7,50445,418588,307370,63725,144766,115617,38264,2253,2838,990,19031,548417
5_8,61065,438708,306725,64553,135699,115645,38260,2253,2838,990,19177,526391
5_9,74340,461604,306044,65320,126632,115673,38256,2253,2838,990,19529,498825
5_T,146910,521559,260833,53675,130983,117650,20586,1292,2838,990,89791,365197
5_J,146910,482919,221197,43671,130983,117650,20217,990,2838,990,178743,365196
5_Q,0,370718,249947,58126,126632,115673,36876,1980,2838,990,41111,707413
5_K,0,335784,252231,55960,135699,115645,36880,1980,2838,990,37317,736980
