vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,0,154784,164650,23445,56601,119305,20321,1038,1978,0,725886,444296
2_4,0,0,0,0,0,120337,0,0,1978,0,1467674,122315
2_5,0,98270,126857,23277,55258,119305,19253,988,1978,0,535209,731909
2_6,0,110950,134925,24588,62974,119281,19276,989,1978,0,387974,849369
2_7,0,119826,141894,25731,68361,119257,19299,990,1978,0,283880,931088
2_8,0,119192,141894,25731,68361,119257,19299,990,1978,0,210815,1004787
2_9,0,121728,142993,25899,63924,119257,19299,990,1978,0,153341,1062895
2_T,0,121094,142993,25899,70338,119257,19299,990,1978,0,110775,1099681
2_J,0,121728,142993,25899,70338,119257,19299,990,1978,0,81713,1128109
2_Q,0,122362,142993,25899,70338,119257,19299,990,1978,0,60558,1148630
2_K,0,122996,142993,25899,70338,119257,19299,990,1978,0,43554,1165000
2_A,0,114120,136024,24756,64141,119281,19276,989,1978,0,25536,1206203
3_4,0,102074,115395,23445,45116,119305,18854,988,1978,0,746597,538552
3_5,0,184474,176372,47688,46257,117538,35657,1975,1978,0,315302,785063
3_6,0,180194,194371,47628,55175,117393,35824,1977,1978,0,198319,879445
3_7,0,178926,208708,47703,58618,117252,35987,1979,1978,0,124288,936865
3_8,0,187168,213190,48846,62684,117252,36010,1980,1978,0,78346,964850
3_9,0,185900,213190,48846,58097,117252,36010,1980,1978,0,50559,998492
3_T,0,184632,213190,48846,64511,117252,36010,1980,1978,0,33343,1010562
3_J,0,185900,213190,48846,64511,117252,36010,1980,1978,0,23981,1018656
3_Q,0,187168,213190,48846,64511,117252,36010,1980,1978,0,17986,1023383
3_K,0,188436,213190,48846,64511,117252,36010,1980,1978,0,14086,1026015
3_A,0,192716,199249,48906,56756,117393,35847,1978,1978,0,10607,1046874
4_5,0,98270,114296,23277,45116,119305,18854,988,1978,0,532385,757835
4_6,0,110950,121989,24588,46242,119281,18877,989,1978,0,403164,864246
4_7,0,119826,128583,25731,28755,119257,18900,990,1978,0,302620,965664
4_8,0,119192,128583,25731,57510,119257,18900,990,1978,0,223728,1016435
4_9,0,121728,129682,25899,57510,119257,18900,990,1978,0,166354,1070006
4_T,0,121094,129682,25899,57510,119257,18900,990,1978,0,128959,1108035
4_J,0,121728,129682,25899,57510,119257,18900,990,1978,0,98655,1137705
4_Q,0,122362,129682,25899,57510,119257,18900,990,1978,0,76258,1159468
4_K,0,122996,129682,25899,57510,119257,18900,990,1978,0,58012,1177080
4_A,0,114120,123088,24756,51313,119281,18877,989,1978,0,38752,1219150
5_6,0,133140,171089,46182,53774,117397,35107,1976,1978,0,187525,964136
5_7,0,131872,185273,46257,57217,117256,35270,1978,1978,0,122418,1012785
5_8,0,140114,189854,47400,61283,117256,35293,1979,1978,0,77932,1039215
5_9,0,145186,197163,48510,58097,117252,35320,1980,1978,0,50385,1056433
5_T,0,147088,197910,48678,63168,117252,35320,1980,1978,0,33186,1065744
5_J,0,147088,197910,48678,63168,117252,35320,1980,1978,0,23647,1075283
5_Q,0,148356,197910,48678,63168,117252,35320,1980,1978,0,17652,1080010
5_K,0,149624,197910,48678,63168,117252,35320,1980,1978,0,13752,1082642
5_A,0,150892,183726,48738,55413,117393,35157,1978,1978,0,10273,1106756
6_7,0,122996,186606,46023,60168,117228,35274,1978,1978,0,114623,1025430
6_8,0,128068,190440,46998,68821,117228,35297,1979,1978,0,75993,1045502
6_9,0,133140,197749,48108,65635,117224,35324,1980,1978,0,49584,1061582
6_T,0,135042,198496,48276,71516,117224,35324,1980,1978,0,32511,1069957
6_J,0,140114,200474,48612,71516,117224,35324,1980,1978,0,23122,1071960
6_Q,0,140114,200474,48612,71516,117224,35324,1980,1978,0,16950,1078132
6_K,0,141382,200474,48612,71516,117224,35324,1980,1978,0,13050,1080764
6_A,0,149624,201968,48678,64331,117248,35324,1980,1978,0,9780,1081393
7_8,0,120460,191289,46764,65785,117200,35301,1979,1978,0,71384,1060164
7_9,0,125532,198598,47874,62599,117196,35328,1980,1978,0,48572,1072647
7_T,0,126800,199345,48042,73450,117196,35328,1980,1978,0,32319,1075866
7_J,0,131872,201323,48378,73450,117196,35328,1980,1978,0,23056,1077743
7_Q,0,136944,203301,48714,73450,117196,35328,1980,1978,0,17034,1076379
7_K,0,136944,203301,48714,73450,117196,35328,1980,1978,0,12957,1080456
7_A,0,144552,201221,48780,66119,117224,35324,1980,1978,0,9591,1085535
8_9,0,120460,196620,47538,67688,117196,35328,1980,1978,0,45615,1077901
8_T,0,121728,197367,47706,78539,117196,35328,1980,1978,0,31512,1078970
8_J,0,126800,199345,48042,78539,117196,35328,1980,1978,0,22751,1080345
8_Q,0,131872,201323,48378,78539,117196,35328,1980,1978,0,16855,1078855
8_K,0,136944,203301,48714,78539,117196,35328,1980,1978,0,12928,1075396
8_A,0,143284,201221,48780,71208,117224,35324,1980,1978,0,9385,1081920
9_T,0,119192,196620,47538,74102,117196,35328,1980,1978,0,29659,1088711
9_J,0,124264,198598,47874,74102,117196,35328,1980,1978,0,22412,1088572
9_Q,0,129336,200576,48210,74102,117196,35328,1980,1978,0,16700,1086898
9_K,0,134408,202554,48546,74102,117196,35328,1980,1978,0,12899,1083313
9_A,0,145820,202452,48948,66771,117224,35324,1980,1978,0,9506,1082301
T_J,0,117924,196620,47538,79706,117196,35328,1980,1978,0,20109,1093925
T_Q,0,122996,198598,47874,79706,117196,35328,1980,1978,0,16229,1090419
T_K,0,128068,200576,48210,79706,117196,35328,1980,1978,0,12612,1086650
T_A,0,139480,200474,48612,73185,117224,35324,1980,1978,0,9345,1084702
J_Q,0,124264,198598,47874,79706,117196,35328,1980,1978,0,16394,1088986
J_K,0,129336,200576,48210,79706,117196,35328,1980,1978,0,12777,1085217
J_A,0,140748,200474,48612,73185,117224,35324,1980,1978,0,9510,1083269
Q_K,0,130604,200576,48210,79706,117196,35328,1980,1978,0,12942,1083784
Q_A,0,142016,200474,48612,73185,117224,35324,1980,1978,0,9675,1081836
K_A,0,143284,200474,48612,73185,117224,35324,1980,1978,0,9840,1080403
