vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,153900,495276,232354,48483,32880,121178,20547,1256,258,44,111148,494980
2_4,150660,492912,231463,48483,32880,121178,20547,1256,258,44,110775,501848
2_5,150660,492912,230671,48483,32880,121178,20547,1256,258,44,110620,502795
2_6,162810,503926,230410,48719,31537,121178,20547,1256,258,44,105302,486317
2_7,174150,514306,230734,48955,30194,121178,20547,1256,258,44,106581,464101
2_8,178200,512364,229140,48787,28851,121178,20547,1256,258,44,112819,458860
2_9,185490,512010,227645,48619,27508,121178,20547,1256,258,44,113606,454143
2_T,0,0,0,0,0,122258,0,0,258,44,1467184,122560
2_J,0,116022,144062,25563,27508,121178,19479,990,258,44,84514,1172686
2_Q,0,119192,145161,25731,28851,121178,19479,990,258,44,62539,1188881
2_K,0,122362,146260,25899,30194,121178,19479,990,258,44,45491,1200149
2_A,0,122362,146260,25899,31537,121178,19479,990,258,44,26587,1217710
3_4,73710,350370,254743,58668,40220,119125,36726,2219,258,44,33311,742910
3_5,73710,350370,253951,58668,40220,119125,36726,2219,258,44,33189,743824
3_6,73710,355838,260666,59778,39794,119121,36753,2220,258,44,32588,731534
3_7,76140,360544,266249,60720,35265,119117,36780,2221,258,44,32524,722442
3_8,87480,368942,265648,60894,38993,119117,36780,2221,258,44,32384,699543
3_9,90720,366990,264021,60726,37650,119117,36780,2221,258,44,32554,701223
3_T,0,121728,129682,25899,10142,121178,18900,990,258,44,757754,525729
3_J,0,177368,219210,48546,37650,119117,36090,1980,258,44,23180,1048861
3_Q,0,179772,220441,48714,38993,119117,36090,1980,258,44,16823,1050072
3_K,0,182176,221672,48882,40336,119117,36090,1980,258,44,12879,1048870
3_A,0,178742,215594,47940,40278,119121,36063,1979,258,44,9326,1062959
4_5,68850,339206,250803,58158,40220,119125,36726,2219,258,44,33017,763678
4_6,68850,344674,257518,59268,39794,119121,36753,2220,258,44,32426,751378
4_7,71280,349380,263101,60210,35265,119117,36780,2221,258,44,32362,742286
4_8,82620,357778,262500,60384,38993,119117,36780,2221,258,44,32222,719387
4_9,90720,366990,263229,60726,37650,119117,36780,2221,258,44,32542,702027
4_T,0,121094,129682,25899,10142,121178,18900,990,258,44,748446,535671
4_J,0,176100,219210,48546,37650,119117,36090,1980,258,44,22991,1050318
4_Q,0,178504,220441,48714,38993,119117,36090,1980,258,44,16634,1051529
4_K,0,180908,221672,48882,40336,119117,36090,1980,258,44,12690,1050327
4_A,0,177474,215594,47940,40278,119121,36063,1979,258,44,9137,1064416
5_6,63990,337050,255700,58926,39794,119121,36753,2220,258,44,32408,766040
