vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,179010,520438,299130,52840,29782,120425,20653,1399,1032,44,32682,454869
2_4,91530,424768,274068,62514,34723,118513,37336,2346,1032,44,10607,654823
2_5,89100,422228,273276,62514,34723,118513,37336,2346,1032,44,10294,660898
2_6,86670,416174,291093,62589,39329,118368,37503,2348,1032,44,9733,647421
2_7,84240,423144,295080,63732,43395,118368,37526,2349,1032,44,9511,633883
2_8,81810,421106,294585,63732,38808,118368,37526,2349,1032,44,9309,643635
2_9,81810,421106,294189,63732,45222,118368,37526,2349,1032,44,9294,637632
2_T,84240,419472,292661,63564,43703,118368,37526,2349,1032,44,9326,640019
2_J,86670,422012,292463,63564,43703,118368,37526,2349,1032,44,9491,635082
2_Q,89100,424552,292364,63564,43703,118368,37526,2349,1032,44,9656,630046
2_K,91530,427092,292364,63564,43703,118368,37526,2349,1032,44,9821,624911
2_A,0,170978,152568,24756,34043,120425,19984,989,1032,44,755892,431593
3_4,167670,505752,284177,52436,29782,120425,20644,1399,1032,44,30459,498484
3_5,164430,503388,283385,52436,29782,120425,20644,1399,1032,44,30143,505196
3_6,161190,517852,291430,53747,7224,120401,20667,1400,1032,44,25414,511903
3_7,157950,515488,290836,53747,35979,120401,20667,1400,1032,44,25174,489586
3_8,162810,525446,292358,54151,35979,120401,20667,1400,1032,44,26429,471587
3_9,162810,525446,291962,54151,35979,120401,20667,1400,1032,44,32809,465603
3_T,166050,523504,290566,53983,34460,120401,20667,1400,1032,44,32823,467374
3_J,169290,525868,290368,53983,34460,120401,20667,1400,1032,44,32970,461821
3_Q,172530,528232,290269,53983,34460,120401,20667,1400,1032,44,33117,456169
3_K,175770,530596,290269,53983,34460,120401,20667,1400,1032,44,33264,450418
3_A,0,0,0,0,0,121481,0,0,1032,44,1467190,122557
4_5,84240,366572,248860,60894,33322,118517,36619,2345,1032,44,9996,749863
4_6,81810,360518,266776,60969,37928,118372,36786,2347,1032,44,9445,736277
4_7,79380,367488,270763,62112,41994,118372,36809,2348,1032,44,9223,722739
4_8,76950,371288,277676,63222,38808,118368,36836,2349,1032,44,9135,716596
4_9,85050,381320,278405,63564,43879,118368,36836,2349,1032,44,9137,692320
4_T,85050,377146,276877,63396,42360,118368,36836,2349,1032,44,8992,699854
4_J,87480,379686,276679,63396,42360,118368,36836,2349,1032,44,9157,694917
4_Q,89910,382226,276580,63396,42360,118368,36836,2349,1032,44,9322,689881
4_K,92340,384766,276580,63396,42360,118368,36836,2349,1032,44,9487,684746
4_A,0,110950,123885,24588,32700,120425,18907,989,1032,44,750680,528104
5_6,76950,349354,263727,60459,37928,118372,36786,2347,1032,44,9277,756028
5_7,74520,356324,267714,61602,41994,118372,36809,2348,1032,44,9061,742484
5_8,72090,360124,274627,62712,38808,118368,36836,2349,1032,44,8973,736341
5_9,80190,370156,275356,63054,43879,118368,36836,2349,1032,44,8975,712065
5_T,85050,377146,276184,63396,42360,118368,36836,2349,1032,44,8980,700559
5_J,85050,377146,275986,63396,42360,118368,36836,2349,1032,44,8968,700769
5_Q,87480,379686,275887,63396,42360,118368,36836,2349,1032,44,9133,695733
5_K,89910,368870,275887,62990,42360,118368,36836,2349,1032,44,23060,690598
5_A,0,110316,123885,24588,32700,120425,18907,989,1032,44,664237,615181
6_7,61560,338140,268093,61020,39165,118344,36813,2348,1032,44,8508,777237
6_8,59130,341940,275006,62130,35979,118340,36840,2349,1032,44,8424,771090
6_9,63990,350066,275735,62472,46830,118340,36840,2349,1032,44,8426,746180
6_T,68850,357056,276563,62814,45311,118340,36840,2349,1032,44,8431,734674
6_J,73710,368220,278721,63324,45311,118340,36840,2349,1032,44,8569,715844
6_Q,73710,358680,278622,62976,45311,118340,36840,2349,1032,44,18445,715955
6_K,76140,342776,278622,62280,45311,118340,36840,2349,1032,44,27862,720708
6_A,0,122996,131815,25899,39606,120401,18930,990,1032,44,544755,705836
7_8,54270,330776,272155,61620,41068,118340,36840,2349,1032,44,8243,785567
7_9,59130,338902,272884,61962,51919,118340,36840,2349,1032,44,8246,760656
7_T,63990,345892,273712,62304,50400,118340,36840,2349,1032,44,8251,749150
7_J,68850,347516,275870,62466,50400,118340,36840,2349,1032,44,18277,730320
7_Q,73710,340236,278127,62280,50400,118340,36840,2349,1032,44,27667,721279
7_K,73710,312888,278127,61062,50400,118340,36840,2349,1032,44,37081,740431
7_A,0,122362,131815,25899,39606,120401,18930,990,1032,44,431653,819572
8_9,54270,330776,271363,61620,47482,118340,36840,2349,1032,44,8217,779971
8_T,59130,328226,272191,61672,45963,118340,36840,2349,1032,44,18052,768465
8_J,63990,320946,274349,61428,45963,118340,36840,2349,1032,44,27500,759523
8_Q,68850,304762,276606,61068,45963,118340,36840,2349,1032,44,36716,759734
8_K,73710,286670,278962,59606,45963,118340,36840,2349,1032,44,39516,769272
8_A,0,124898,132914,26067,35169,120401,18930,990,1032,44,325794,926065
9_T,51030,300252,270769,60576,52377,118340,36840,2349,1032,44,27351,791344
9_J,55890,284068,272927,60042,52377,118340,36840,2349,1032,44,36741,791654
9_Q,60750,265976,275184,58754,52377,118340,36840,2349,1032,44,39367,801291
9_K,65610,249792,277540,57234,52377,118340,36840,2349,1032,44,38003,813143
9_A,0,124898,132914,26067,41583,120401,18930,990,1032,44,243997,1001448
T_J,58320,242454,263298,56966,50826,118344,36813,2348,1032,44,38008,843851
T_Q,63180,226906,265555,55446,50826,118344,36813,2348,1032,44,35372,856438
T_K,68040,217082,267911,53520,50826,118344,36813,2348,1032,44,29556,866788
T_A,0,121728,131815,25899,41583,120401,18930,990,1032,44,168870,1081012
