vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,163620,520216,287974,53747,13638,121262,20646,1364,172,44,51942,477679
2_4,89100,409706,280510,61446,26049,119209,37464,2315,172,44,14086,672203
2_5,86670,407166,279718,61446,26049,119209,37464,2315,172,44,13773,678278
2_6,84240,416646,288060,62724,27600,119205,37491,2316,172,44,13128,660678
2_7,81810,422454,295270,63834,28367,119201,37518,2317,172,44,13020,648297
2_8,81810,422956,294775,63834,23780,119201,37518,2317,172,44,12994,652903
2_9,81810,419416,293148,63666,28851,119201,37518,2317,172,44,12847,653314
2_T,87480,419688,291620,63498,27332,119201,37518,2317,172,44,12879,650555
2_J,89910,422228,291422,63498,27332,119201,37518,2317,172,44,13044,645618
2_Q,92340,424768,291323,63498,27332,119201,37518,2317,172,44,13209,640582
2_K,0,182866,159832,25899,16556,121262,20007,990,172,44,753956,430720
2_A,0,221200,229751,47940,27450,119205,36801,1979,172,44,9821,1017941
3_4,152280,505530,273888,53343,13638,121262,20637,1364,172,44,48477,521669
3_5,149040,503166,273096,53343,13638,121262,20637,1364,172,44,48161,528381
3_6,157950,515488,273934,53747,13638,121262,20637,1364,172,44,42799,511269
3_7,162810,525446,275357,54151,13638,121262,20637,1364,172,44,44034,493389
3_8,170910,537768,276879,54555,13638,121262,20637,1364,172,44,45465,469610
3_9,170910,534096,275384,54387,12295,121262,20637,1364,172,44,51713,470040
3_T,178200,533884,273988,54219,10776,121262,20637,1364,172,44,51727,466031
3_J,181440,536248,273790,54219,10776,121262,20637,1364,172,44,51874,460478
3_Q,184680,538612,273691,54219,10776,121262,20637,1364,172,44,52021,454826
3_K,0,0,0,0,0,122342,0,0,172,44,1467188,122558
3_A,0,123630,146557,25899,12295,121262,19569,990,172,44,33264,1228622
4_5,81810,354522,255698,59826,24648,119213,36747,2314,172,44,13475,763835
4_6,79380,360990,263644,61104,26199,119209,36774,2315,172,44,12840,749633
4_7,76950,364288,270458,62214,26966,119205,36801,2316,172,44,12732,740158
4_8,76950,370628,277371,63324,23780,119201,36828,2317,172,44,12820,728869
4_9,85050,377120,276869,63498,27508,119201,36828,2317,172,44,12690,711007
4_T,88290,374852,275341,63330,25989,119201,36828,2317,172,44,12545,713395
4_J,90720,377392,275143,63330,25989,119201,36828,2317,172,44,12710,708458
4_Q,93150,379932,275044,63330,25989,119201,36828,2317,172,44,12875,703422
