vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,84240,440268,291724,61040,45291,119083,38166,2283,301,44,17963,611901
2_4,87480,438132,289701,60872,43948,119083,38166,2283,301,44,17652,614642
2_5,153900,513124,270577,52787,20052,121136,20616,1328,301,44,82370,476069
2_6,88290,410838,281971,61982,44156,119079,37503,2284,301,44,16738,649118
2_7,88290,419186,289181,63092,45557,119075,37530,2285,301,44,16806,630957
2_8,84240,414242,287455,62924,45583,119075,37530,2285,301,44,16648,641977
2_9,84240,414242,287059,62924,44773,119075,37530,2285,301,44,16633,643198
2_T,88290,415514,286762,62924,38817,119075,37530,2285,301,44,16621,644141
2_J,88290,415514,286564,62924,45231,119075,37530,2285,301,44,16610,637936
2_Q,40500,210502,169363,26859,29384,121136,20067,990,301,44,664339,428819
2_K,0,223340,237710,48882,46750,119075,36840,1980,301,44,25957,971425
2_A,0,217396,231137,47940,46692,119079,36813,1979,301,44,9278,1001645
3_4,87480,427274,280709,59762,42547,119087,38139,2282,301,44,17511,637168
3_5,145800,500802,266703,52383,20052,121136,20616,1328,301,44,80589,502550
3_6,88290,402490,273375,60872,42755,119083,37476,2283,301,44,16612,668723
3_7,88290,410838,280585,61982,44156,119079,37503,2284,301,44,16680,650562
3_8,88290,415646,286663,62924,44214,119075,37530,2285,301,44,16636,638696
3_9,87480,412608,285036,62756,43430,119075,37530,2285,301,44,16488,645271
3_T,91530,413880,284739,62756,37474,119075,37530,2285,301,44,16476,646214
3_J,91530,413880,284541,62756,43888,119075,37530,2285,301,44,16465,640009
3_Q,44550,207924,168126,26691,28041,121136,20067,990,301,44,662817,431617
3_K,0,220434,236479,48714,45407,119075,36840,1980,301,44,26448,976582
3_A,0,214490,229906,47772,45349,119079,36813,1979,301,44,9133,1007438
4_5,137700,488480,262928,51979,20052,121136,20616,1328,301,44,78798,528942
4_6,88290,394142,264878,59762,41354,119087,37449,2282,301,44,16486,688229
4_7,88290,402490,272088,60872,42755,119083,37476,2283,301,44,16554,670068
4_8,88290,407298,278166,61814,42813,119079,37503,2284,301,44,16510,658202
4_9,90720,414012,284343,62756,42237,119075,37530,2285,301,44,16476,642525
4_T,94770,412246,282815,62588,36131,119075,37530,2285,301,44,16331,648188
4_J,94770,412246,282617,62588,42545,119075,37530,2285,301,44,16320,641983
4_Q,45360,204252,166889,26523,26698,121136,20067,990,301,44,665728,434316
4_K,0,217528,235248,48546,44064,119075,36840,1980,301,44,26303,982375
4_A,0,211584,228675,47604,44006,119079,36813,1979,301,44,8988,1013231
5_6,138510,488480,253745,51979,20052,121136,20607,1328,301,44,69673,546449
5_7,146610,500802,255168,52383,20052,121136,20607,1328,301,44,71090,522783
5_8,154710,509452,255591,52619,18709,121136,20607,1328,301,44,72389,505418
5_9,166050,519832,256113,52855,17366,121136,20607,1328,301,44,73698,482974
5_T,179010,529578,256734,53091,15847,121136,20607,1328,301,44,75010,459618
5_J,179010,529578,256536,53091,15847,121136,20607,1328,301,44,81394,453432
5_Q,0,0,0,0,0,122216,0,0,301,44,1467182,122561
