vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,60750,430298,301149,61422,71795,118215,38232,2253,1161,44,23367,603618
2_4,60750,426256,299126,61254,70452,118215,38232,2253,1161,44,23056,611505
2_5,63180,424120,297202,61086,69109,118215,38232,2253,1161,44,22787,614915
2_6,71280,438828,298838,61596,69109,118215,38232,2253,1161,44,22348,590400
2_7,162810,520790,256052,51395,48807,120276,20586,1292,1161,44,99578,429513
2_8,87480,415588,280891,62010,61954,118243,37538,2253,1161,44,22180,622962
2_9,87480,415588,280594,62010,61954,118243,37538,2253,1161,44,22165,623274
2_T,88290,414636,280297,62010,61778,118243,37538,2253,1161,44,22471,623583
2_J,129600,320062,185069,31331,47997,120276,20127,990,1161,44,426118,429529
2_Q,0,256148,239184,50100,65363,118215,36852,1980,1161,44,44783,898474
2_K,0,235160,239184,49288,70452,118215,36852,1980,1161,44,33923,926045
2_A,0,219404,238437,48714,71795,118215,36852,1980,1161,44,18422,957280
3_4,60750,414896,290134,60144,69051,118219,38205,2252,1161,44,22915,634533
3_5,63180,412760,288210,59976,67708,118219,38205,2252,1161,44,22661,637928
3_6,71280,427468,289846,60486,67708,118219,38205,2252,1161,44,22222,613413
3_7,154710,508468,252316,50991,48807,120276,20586,1292,1161,44,97659,455994
3_8,87480,415086,280099,62010,60585,118243,37538,2253,1161,44,22168,625637
3_9,87480,412048,278571,61842,60611,118243,37538,2253,1161,44,22020,630493
3_T,88290,411096,278274,61842,60435,118243,37538,2253,1161,44,22326,630802
3_J,129600,316390,183556,31163,46654,120276,20127,990,1161,44,424236,438107
3_Q,0,252608,237953,49932,64020,118215,36852,1980,1161,44,44638,904901
3_K,0,231620,237953,49120,69109,118215,36852,1980,1161,44,33778,932472
3_A,0,215864,237206,48546,70452,118215,36852,1980,1161,44,18277,963707
4_5,63180,401902,279317,58866,66307,118223,38178,2251,1161,44,22525,660350
4_6,71280,416610,280953,59376,66307,118223,38178,2251,1161,44,22096,635825
4_7,146610,496146,248679,50587,48807,120276,20586,1292,1161,44,95740,482376
4_8,87480,406738,271602,60900,59184,118247,37511,2252,1161,44,22042,645143
4_9,90720,413452,277878,61842,59242,118243,37538,2253,1161,44,22008,627923
4_T,90720,409462,276350,61674,59092,118243,37538,2253,1161,44,22181,633586
4_J,132840,314448,182043,30995,45311,120276,20127,990,1161,44,422453,441616
4_Q,0,250338,236722,49764,62677,118215,36852,1980,1161,44,45129,909422
4_K,0,228714,236722,48952,67766,118215,36852,1980,1161,44,34269,937629
4_A,0,212958,235975,48378,69109,118215,36852,1980,1161,44,18132,969500
5_6,71280,405752,272159,58266,64906,118227,38151,2250,1161,44,21964,658144
5_7,138510,483824,245141,50183,48807,120276,20586,1292,1161,44,93821,508659
5_8,87480,398390,263204,59790,57783,118251,37484,2251,1161,44,21916,664550
5_9,90720,405104,269480,60732,57841,118247,37511,2252,1161,44,21882,647330
5_T,94770,410866,275756,61674,57723,118243,37538,2253,1161,44,22169,630107
5_J,136890,311870,180530,30827,43968,120276,20127,990,1161,44,421405,444216
5_Q,0,247432,235491,49596,61334,118215,36852,1980,1161,44,45620,914579
5_K,0,213724,235491,48378,66423,118215,36852,1980,1161,44,46614,943422
5_A,0,210052,234744,48210,67766,118215,36852,1980,1161,44,8099,985181
6_7,142560,486188,243719,50183,48807,120276,20586,1292,1161,44,92740,504748
6_8,90720,389042,257732,58647,57783,118251,37461,2250,1161,44,21271,677942
6_9,93960,395122,264008,59589,57841,118247,37488,2251,1161,44,21237,661356
6_T,98010,400884,270284,60531,57723,118243,37515,2252,1161,44,21524,644133
6_J,140940,314234,180116,30827,43968,120276,20127,990,1161,44,419320,440301
6_Q,0,214992,235491,48378,61334,118215,36852,1980,1161,44,81172,912685
6_K,0,214992,235491,48378,66423,118215,36852,1980,1161,44,11042,977726
6_A,0,217396,236722,48546,67766,118215,36852,1980,1161,44,7602,976020
7_8,153900,484680,231022,49276,41267,120300,20554,1291,1161,44,84255,524554
7_9,165240,495060,231643,49512,39924,120300,20554,1291,1161,44,85565,502010
7_T,178200,504030,232264,49748,38405,120300,20554,1291,1161,44,87653,478654
7_J,0,0,0,0,0,121356,0,0,1161,44,1467182,122561
7_Q,0,119192,145359,25731,46121,120276,19509,990,1161,44,68109,1165812
7_K,0,119192,145359,25731,46121,120276,19509,990,1161,44,55999,1177922
7_A,0,121728,146458,25899,47464,120276,19509,990,1161,44,38393,1190382
8_9,93150,355306,228628,58572,50204,118392,36608,2248,1161,44,21324,746667
8_T,97200,264430,234508,57310,50086,118388,36635,2249,1161,44,117943,732350
8_J,0,107146,130565,24420,39290,120300,19027,989,1161,44,317069,952293
8_Q,0,169654,215058,47301,55176,118243,36135,1979,1161,44,15307,1052246
8_K,0,179164,219639,48444,59242,118243,36158,1980,1161,44,11230,1036999
8_A,0,177262,219639,48444,60611,118243,36158,1980,1161,44,7481,1041281
9_T,93960,226854,227341,52482,50028,118392,36608,2248,1161,44,52169,851017
9_J,0,107146,130565,24420,40633,120300,19027,989,1161,44,232032,1035987
9_Q,0,163208,208485,46359,55118,118247,36108,1978,1161,44,15314,1066282
9_K,0,172718,213066,47502,59184,118247,36131,1979,1161,44,11237,1051035
9_A,0,180300,220870,48612,60585,118243,36158,1980,1161,44,7602,1036749
T_J,0,106512,130565,24420,41166,120300,19027,989,1161,44,167097,1101023
T_Q,0,153724,200780,45249,54276,118251,36081,1977,1161,44,15321,1085440
T_K,0,162600,205361,46392,58976,118251,36104,1978,1161,44,11244,1070193
T_A,0,170182,213165,47502,60377,118247,36131,1979,1161,44,7609,1055907
J_Q,0,119192,138258,25731,19242,120276,19050,990,1161,44,64874,1203486
J_K,0,119192,138258,25731,47997,120276,19050,990,1161,44,48053,1191552
J_A,0,121728,139357,25899,47997,120276,19050,990,1161,44,31723,1204079
Q_K,0,129336,194974,46662,62561,118223,35418,1978,1161,44,11468,1110479
Q_A,0,134408,202382,47772,63962,118219,35445,1979,1161,44,7833,1099099
K_A,0,134408,202382,47772,69051,118219,35445,1979,1161,44,7804,1094039
