vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,70470,433602,304829,61872,58200,118302,38289,2348,129,990,9865,613408
2_4,68040,431062,304037,61872,58200,118302,38289,2348,129,990,9510,619525
2_5,65610,428522,303344,61872,58200,118302,38289,2348,129,990,9197,625501
2_6,65610,444056,312181,63150,54530,118298,38316,2349,129,990,8728,603967
2_7,73710,450046,311580,63324,58258,118298,38316,2349,129,990,8568,586736
2_8,76140,447910,309953,63156,56915,118298,38316,2349,129,990,8410,589738
2_9,78570,450450,309656,63156,56915,118298,38316,2349,129,990,8571,584904
2_T,93150,458904,305634,63228,47933,118326,38312,2349,129,990,8639,574710
2_J,172530,528232,307144,53983,41050,120359,20676,1400,129,990,34380,431431
2_Q,92340,425428,291628,63396,49452,118326,37622,2349,129,990,8925,621719
2_K,89100,427062,292859,63564,50795,118326,37622,2349,129,990,9046,620462
2_A,160380,504496,227872,45599,48807,120359,20247,990,129,990,127323,455112
3_4,63180,418894,300889,61362,58200,118302,38289,2348,129,990,9333,640388
3_5,60750,416354,300196,61362,58200,118302,38289,2348,129,990,9035,646349
3_6,60750,431888,309033,62640,54530,118298,38316,2349,129,990,8566,624815
3_7,68850,437878,308432,62814,58258,118298,38316,2349,129,990,8406,607584
3_8,76140,447910,309161,63156,56915,118298,38316,2349,129,990,8398,590542
3_9,76140,447910,308864,63156,56915,118298,38316,2349,129,990,8382,590855
3_T,90720,456364,304842,63228,47933,118326,38312,2349,129,990,8450,580661
3_J,169290,525868,305011,53983,41050,120359,20676,1400,129,990,34173,439375
3_Q,89910,422888,290836,63396,49452,118326,37622,2349,129,990,8736,627670
3_K,86670,424522,292067,63564,50795,118326,37622,2349,129,990,8857,626413
3_A,157140,502132,226906,45599,48807,120359,20247,990,129,990,125949,463056
4_5,55890,404186,297147,60852,58200,118302,38289,2348,129,990,8863,667108
4_6,55890,419720,305984,62130,54530,118298,38316,2349,129,990,8404,645564
4_7,63990,425710,305383,62304,58258,118298,38316,2349,129,990,8244,628333
4_8,71280,435742,306112,62646,56915,118298,38316,2349,129,990,8236,611291
4_9,76140,447910,308171,63156,56915,118298,38316,2349,129,990,8370,591560
4_T,88290,453824,304149,63228,47933,118326,38312,2349,129,990,8261,586513
4_J,166050,523504,302977,53983,41050,120359,20676,1400,129,990,33966,447220
4_Q,87480,420348,290143,63396,49452,118326,37622,2349,129,990,8547,633522
4_K,84240,421982,291374,63564,50795,118326,37622,2349,129,990,8668,632265
4_A,153900,499768,225940,45599,48807,120359,20247,990,129,990,124674,470901
5_6,51030,407552,303034,61620,54530,118298,38316,2349,129,990,8236,666220
