vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,53460,410092,300541,61272,109390,116534,38292,2285,1892,990,16749,600807
2_4,51030,407552,299749,61272,109390,116534,38292,2285,1892,990,16394,606924
2_5,48600,405012,299056,61272,109390,116534,38292,2285,1892,990,16081,612900
2_6,55890,419720,300692,61782,109390,116534,38292,2285,1892,990,15642,589195
2_7,60750,431888,302553,62292,109390,116534,38292,2285,1892,990,15746,569692
2_8,65610,434994,298817,62364,102059,116562,38288,2285,1892,990,15624,572819
2_9,75330,445584,295900,62604,94728,116590,38284,2285,1892,990,15815,562302
2_T,89910,458344,292472,62786,85746,116618,38280,2285,1892,990,16193,546788
2_J,152280,505530,269352,52503,93489,118595,20616,1328,1892,990,67392,428337
2_Q,152280,492174,226593,45311,93489,118595,20247,990,1892,990,131407,428336
2_K,0,370332,234619,57146,94728,116590,36904,1980,1892,990,27963,769160
2_A,0,332744,234721,54192,102059,116562,36908,1980,1892,990,27170,803086
3_4,46170,395384,296601,60762,109390,116534,38292,2285,1892,990,16217,627787
3_5,43740,392844,295908,60762,109390,116534,38292,2285,1892,990,15919,633748
3_6,51030,407552,297544,61272,109390,116534,38292,2285,1892,990,15480,610043
3_7,55890,419720,299405,61782,109390,116534,38292,2285,1892,990,15584,590540
3_8,65610,434994,298025,62364,102059,116562,38288,2285,1892,990,15612,573623
3_9,72900,443044,295108,62604,94728,116590,38284,2285,1892,990,15626,568253
3_T,87480,455804,291680,62786,85746,116618,38280,2285,1892,990,16004,552739
3_J,149040,503166,267495,52503,93489,118595,20616,1328,1892,990,66909,436281
3_Q,149040,489810,225627,45311,93489,118595,20247,990,1892,990,130033,436280
3_K,0,367792,234619,57146,94728,116590,36904,1980,1892,990,27774,771889
3_A,0,330204,234721,54192,102059,116562,36908,1980,1892,990,26981,805815
4_5,38880,380676,292859,60252,109390,116534,38292,2285,1892,990,15747,654507
4_6,46170,395384,294495,60762,109390,116534,38292,2285,1892,990,15318,630792
4_7,51030,407552,296356,61272,109390,116534,38292,2285,1892,990,15422,611289
4_8,60750,422826,294976,61854,102059,116562,38288,2285,1892,990,15450,594372
4_9,72900,443044,294415,62604,94728,116590,38284,2285,1892,990,15614,568958
4_T,85050,453264,290987,62786,85746,116618,38280,2285,1892,990,15815,558591
4_J,145800,500802,265737,52503,93489,118595,20616,1328,1892,990,66426,444126
4_Q,145800,487446,224661,45311,93489,118595,20247,990,1892,990,128758,444125
4_K,0,365252,234619,57146,94728,116590,36904,1980,1892,990,27585,774618
4_A,0,327664,234721,54192,102059,116562,36908,1980,1892,990,26792,808544
5_6,41310,383216,291545,60252,109390,116534,38292,2285,1892,990,15150,651448
5_7,46170,395384,293406,60762,109390,116534,38292,2285,1892,990,15260,631939
