vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,75330,438682,304829,61872,45372,118386,38313,2348,43,990,10195,615944
2_4,72900,436142,304037,61872,45372,118386,38313,2348,43,990,9840,622061
2_5,70470,433602,303344,61872,45372,118386,38313,2348,43,990,9527,628037
2_6,68040,446596,312181,63150,41702,118382,38340,2349,43,990,8882,611649
2_7,73710,454088,312811,63492,46773,118382,38340,2349,43,990,8678,592648
2_8,73710,454088,312415,63492,46773,118382,38340,2349,43,990,8652,593070
2_9,76140,456628,312118,63492,46773,118382,38340,2349,43,990,8813,588236
2_T,86670,463176,308096,63564,37791,118410,38336,2349,43,990,8881,583998
2_J,89100,465716,308096,63564,37791,118410,38336,2349,43,990,9046,578863
2_Q,91530,468256,308096,63564,37791,118410,38336,2349,43,990,9211,573728
2_K,179010,532960,307144,53983,41050,120443,20676,1400,43,990,21908,432697
2_A,166860,522580,257167,53747,35979,120443,20307,990,43,990,76818,456380
3_4,68040,423974,300889,61362,45372,118386,38313,2348,43,990,9663,642924
3_5,65610,421434,300196,61362,45372,118386,38313,2348,43,990,9365,648885
3_6,63180,434428,309033,62640,41702,118382,38340,2349,43,990,8720,632497
3_7,68850,441920,309663,62982,46773,118382,38340,2349,43,990,8516,613496
3_8,73710,454088,311623,63492,46773,118382,38340,2349,43,990,8640,593874
3_9,73710,454088,311326,63492,46773,118382,38340,2349,43,990,8624,594187
3_T,84240,460636,307304,63564,37791,118410,38336,2349,43,990,8692,589949
3_J,86670,463176,307304,63564,37791,118410,38336,2349,43,990,8857,584814
3_Q,89100,465716,307304,63564,37791,118410,38336,2349,43,990,9022,579679
3_K,175770,530596,305011,53983,41050,120443,20676,1400,43,990,21701,440641
3_A,163620,520216,255925,53747,35979,120443,20307,990,43,990,75720,464324
4_5,60750,409266,297147,60852,45372,118386,38313,2348,43,990,9193,669644
4_6,58320,422260,305984,62130,41702,118382,38340,2349,43,990,8558,653246
4_7,63990,429752,306614,62472,46773,118382,38340,2349,43,990,8354,634245
4_8,68850,441920,308574,62982,46773,118382,38340,2349,43,990,8478,614623
4_9,73710,454088,310633,63492,46773,118382,38340,2349,43,990,8612,594892
4_T,81810,458096,306611,63564,37791,118410,38336,2349,43,990,8503,595801
4_J,84240,460636,306611,63564,37791,118410,38336,2349,43,990,8668,590666
4_Q,86670,463176,306611,63564,37791,118410,38336,2349,43,990,8833,585531
4_K,172530,528232,302977,53983,41050,120443,20676,1400,43,990,21494,448486
4_A,160380,517852,254683,53747,35979,120443,20307,990,43,990,74721,472169
5_6,53460,410092,303034,61620,41702,118382,38340,2349,43,990,8390,673902
5_7,59130,417584,303664,61962,46773,118382,38340,2349,43,990,8192,654895
5_8,63990,429752,305624,62472,46773,118382,38340,2349,43,990,8316,635273
5_9,68850,441920,307683,62982,46773,118382,38340,2349,43,990,8450,615542
5_T,81810,458096,306017,63564,37791,118410,38336,2349,43,990,8491,596407
5_J,81810,458096,306017,63564,37791,118410,38336,2349,43,990,8479,596419
5_Q,84240,460636,306017,63564,37791,118410,38336,2349,43,990,8644,591284
5_K,169290,525868,301042,53983,41050,120443,20676,1400,43,990,21287,456232
5_A,157140,515488,253441,53747,35979,120443,20307,990,43,990,73821,479915
6_7,54270,410092,302044,61620,41702,118382,38340,2349,43,990,7525,674947
6_8,59130,422260,304004,62130,41702,118382,38340,2349,43,990,7653,655321
6_9,63990,434428,306063,62640,41702,118382,38340,2349,43,990,7787,635590
6_T,76950,450604,304397,63222,32720,118410,38336,2349,43,990,7828,616455
