vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,60750,424800,306272,62130,75546,117479,38316,2317,946,990,13297,609461
2_4,58320,422260,305480,62130,75546,117479,38316,2317,946,990,12942,615578
2_5,55890,419720,304787,62130,75546,117479,38316,2317,946,990,12629,621554
2_6,60750,431888,306423,62640,75546,117479,38316,2317,946,990,12014,602995
2_7,65610,444056,308284,63150,75546,117479,38316,2317,946,990,12118,583492
2_8,65610,444056,307888,63150,75546,117479,38316,2317,946,990,12092,583914
2_9,72900,449702,304251,63222,68215,117507,38312,2317,946,990,12157,581785
2_T,86670,461828,300949,63462,59233,117535,38308,2317,946,990,12351,567715
2_J,89100,464368,300949,63462,59233,117535,38308,2317,946,990,12516,562580
2_Q,163620,520216,287974,53747,64734,119540,20646,1364,946,990,45120,433407
2_K,163620,520216,241975,49687,64734,119540,20277,990,946,990,95923,433406
2_A,0,371888,236699,59748,68215,117507,36932,1980,946,990,12327,805072
3_4,53460,410092,302332,61620,75546,117479,38316,2317,946,990,12765,636441
3_5,51030,407552,301639,61620,75546,117479,38316,2317,946,990,12467,642402
3_6,55890,419720,303275,62130,75546,117479,38316,2317,946,990,11852,623843
3_7,60750,431888,305136,62640,75546,117479,38316,2317,946,990,11956,604340
3_8,65610,444056,307096,63150,75546,117479,38316,2317,946,990,12080,584718
3_9,70470,447162,303459,63222,68215,117507,38312,2317,946,990,11968,587736
3_T,84240,459288,300157,63462,59233,117535,38308,2317,946,990,12162,573666
3_J,86670,461828,300157,63462,59233,117535,38308,2317,946,990,12327,568531
3_Q,160380,517852,285979,53747,64734,119540,20646,1364,946,990,44775,441351
3_K,160380,517852,240871,49687,64734,119540,20277,990,946,990,94687,441350
3_A,0,369348,236699,59748,68215,117507,36932,1980,946,990,12138,807801
4_5,46170,395384,298590,61110,75546,117479,38316,2317,946,990,12295,663161
4_6,51030,407552,300226,61620,75546,117479,38316,2317,946,990,11690,644592
4_7,55890,419720,302087,62130,75546,117479,38316,2317,946,990,11794,625089
4_8,60750,431888,304047,62640,75546,117479,38316,2317,946,990,11918,605467
4_9,70470,447162,302766,63222,68215,117507,38312,2317,946,990,11956,588441
4_T,81810,456748,299464,63462,59233,117535,38308,2317,946,990,11973,579518
4_J,84240,459288,299464,63462,59233,117535,38308,2317,946,990,12138,574383
4_Q,157140,515488,284083,53747,64734,119540,20646,1364,946,990,44430,449196
4_K,157140,515488,239767,49687,64734,119540,20277,990,946,990,93550,449195
4_A,0,366808,236699,59748,68215,117507,36932,1980,946,990,11949,810530
5_6,46170,395384,297276,61110,75546,117479,38316,2317,946,990,11522,665248
5_7,51030,407552,299137,61620,75546,117479,38316,2317,946,990,11632,645739
5_8,55890,419720,301097,62130,75546,117479,38316,2317,946,990,11756,626117
5_9,65610,434994,299816,62712,68215,117507,38312,2317,946,990,11794,609091
5_T,81810,456748,298870,63462,59233,117535,38308,2317,946,990,11961,580124
5_J,81810,456748,298870,63462,59233,117535,38308,2317,946,990,11949,580136
5_Q,153900,513124,282286,53747,64734,119540,20646,1364,946,990,44085,456942
5_K,153900,513124,238663,49687,64734,119540,20277,990,946,990,92512,456941
5_A,0,364268,236699,59748,68215,117507,36932,1980,946,990,11760,813259
6_7,49410,397924,296286,61110,75546,117479,38316,2317,946,990,10833,661147
6_8,54270,410092,298246,61620,75546,117479,38316,2317,946,990,10961,641521
6_9,63990,425366,296965,62202,68215,117507,38312,2317,946,990,10999,624495
6_T,80190,447120,296019,62952,59233,117535,38308,2317,946,990,11166,595528
6_J,85050,459288,298375,63462,59233,117535,38308,2317,946,990,11304,575496
6_Q,154710,513124,280588,53747,64734,119540,20646,1364,946,990,43107,458808
6_K,154710,513124,237559,49687,64734,119540,20277,990,946,990,90940,458807
6_A,0,375432,238677,60258,68215,117507,36932,1980,946,990,11087,800280
7_8,56700,412632,297850,61620,75546,117479,38316,2317,946,990,11124,636784
7_9,61560,419780,295444,61860,68215,117507,38312,2317,946,990,11163,634210
7_T,74520,439628,294498,62610,59233,117535,38308,2317,946,990,11330,610389
7_J,79380,451796,296854,63120,59233,117535,38308,2317,946,990,11468,590357
7_Q,157950,515488,278989,53747,64734,119540,20646,1364,946,990,43115,454795
7_K,157950,515488,236455,49687,64734,119540,20277,990,946,990,90452,454795
7_A,0,375432,238677,60258,68215,117507,36932,1980,946,990,11074,800293
8_9,63990,413470,290917,60885,68215,117507,38289,2316,946,990,11328,643451
8_T,76950,429646,289224,61467,59233,117535,38285,2316,946,990,11495,624217
8_J,81810,441814,291580,61977,59233,117535,38285,2316,946,990,11633,604185
8_Q,161190,517852,277489,53747,64734,119540,20646,1364,946,990,43124,450682
8_K,161190,517852,235351,49687,64734,119540,20277,990,946,990,90065,450682
8_A,0,377972,238677,60258,68215,117507,36932,1980,946,990,11238,797589
9_T,79380,434696,274322,61392,51478,117676,38122,2314,946,990,11576,639412
9_J,84240,446864,276678,61902,51478,117676,38122,2314,946,990,11714,619380
9_Q,164430,507694,268074,52604,58537,119564,20623,1363,946,990,42014,475465
9_K,172530,516344,226872,48780,58537,119564,20254,989,946,990,88937,457561
9_A,0,384018,238632,60214,60898,117531,36932,1980,946,990,11519,798644
T_J,86670,455930,258213,61962,42058,117821,37955,2312,946,990,11795,635652
T_Q,179820,503610,258466,51529,50821,119588,20600,1362,946,990,41120,483452
T_K,191970,513990,217348,47589,50821,119588,20231,988,946,990,88075,459768
T_A,0,386558,220237,60274,51478,117676,36765,1978,946,990,11600,823802
J_Q,183060,505974,257500,51529,50821,119588,20600,1362,946,990,41267,478667
J_K,195210,516354,216382,47589,50821,119588,20231,988,946,990,88222,454983
J_A,0,231370,220237,48906,51478,117676,36765,1978,946,990,180861,821097
Q_K,0,0,0,0,0,120620,0,0,946,990,1467192,122556
Q_A,0,114754,139588,24756,58537,119564,19546,989,946,990,19495,1213139
K_A,0,114754,139588,24756,58537,119564,19177,989,946,990,19856,1213147
