vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,68040,431062,304829,61872,64614,118260,38277,2348,172,990,9700,612140
2_4,65610,428522,304037,61872,64614,118260,38277,2348,172,990,9345,618257
2_5,65610,428522,303344,61872,64614,118260,38277,2348,172,990,9208,619087
2_6,65610,440014,310950,62982,59601,118256,38304,2349,172,990,8607,604469
2_7,76140,447910,310349,63156,63329,118256,38304,2349,172,990,8447,582902
2_8,79380,445774,308722,62988,61986,118256,38304,2349,172,990,8289,585094
2_9,81810,448314,308425,62988,61986,118256,38304,2349,172,990,8450,580260
2_T,169290,525868,307144,53983,41050,120317,20676,1400,172,990,40616,430798
2_J,93150,421254,290397,63228,54523,118284,37610,2349,172,990,8639,621708
2_Q,89910,422888,291628,63396,55866,118284,37610,2349,172,990,8760,620451
2_K,86670,424522,292859,63564,57209,118284,37610,2349,172,990,8881,619194
2_A,157140,476056,214858,41483,55221,120317,20217,990,172,990,170382,454478
3_4,60750,416354,300889,61362,64614,118260,38277,2348,172,990,9168,639120
3_5,60750,416354,300196,61362,64614,118260,38277,2348,172,990,9046,639935
3_6,60750,427846,307802,62472,59601,118256,38304,2349,172,990,8445,625317
3_7,71280,435742,307201,62646,63329,118256,38304,2349,172,990,8285,603750
3_8,79380,445774,307930,62988,61986,118256,38304,2349,172,990,8277,585898
3_9,79380,445774,307633,62988,61986,118256,38304,2349,172,990,8261,586211
3_T,166050,523504,305011,53983,41050,120317,20676,1400,172,990,40409,438742
3_J,90720,418714,289605,63228,54523,118284,37610,2349,172,990,8450,627659
3_Q,87480,420348,290836,63396,55866,118284,37610,2349,172,990,8571,626402
3_K,84240,421982,292067,63564,57209,118284,37610,2349,172,990,8692,625145
3_A,153900,473692,214030,41483,55221,120317,20217,990,172,990,168870,462422
4_5,55890,404186,297147,60852,64614,118260,38277,2348,172,990,8874,660694
4_6,55890,415678,304753,61962,59601,118256,38304,2349,172,990,8283,646066
4_7,66420,423574,304152,62136,63329,118256,38304,2349,172,990,8123,624499
4_8,74520,433606,304881,62478,61986,118256,38304,2349,172,990,8115,606647
4_9,79380,445774,306940,62988,61986,118256,38304,2349,172,990,8249,586916
4_T,162810,521140,302977,53983,41050,120317,20676,1400,172,990,40202,446587
4_J,88290,416174,288912,63228,54523,118284,37610,2349,172,990,8261,633511
4_Q,85050,417808,290143,63396,55866,118284,37610,2349,172,990,8382,632254
4_K,81810,419442,291374,63564,57209,118284,37610,2349,172,990,8503,630997
4_A,150660,471328,213202,41483,55221,120317,20217,990,172,990,167457,470267
5_6,51030,407552,303034,61620,59601,118256,38304,2349,172,990,8265,661131
5_7,59130,413542,302433,61794,63329,118256,38304,2349,172,990,8111,643894
5_8,66420,423574,303162,62136,61986,118256,38304,2349,172,990,8103,626852
5_9,71280,435742,305221,62646,61986,118256,38304,2349,172,990,8237,607121
5_T,162810,521140,301042,53983,41050,120317,20676,1400,172,990,40172,448552
5_J,88290,416174,288318,63228,54523,118284,37610,2349,172,990,8248,634118
5_Q,85050,417808,289549,63396,55866,118284,37610,2349,172,990,8369,632861
5_K,81810,419442,290780,63564,57209,118284,37610,2349,172,990,8490,631604
5_A,150660,471328,212374,41483,55221,120317,20217,990,172,990,166319,472233
6_7,59130,406858,294969,60852,56857,118260,38277,2348,172,990,7480,666111
6_8,66420,416890,295698,61194,55514,118260,38277,2348,172,990,7476,649065
6_9,71280,429058,297757,61704,55514,118260,38277,2348,172,990,7610,629334
6_T,154710,513124,298288,53747,35979,120317,20676,1400,172,990,38166,474735
6_J,88290,420348,289054,63396,48083,118284,37610,2349,172,990,7735,635993
6_Q,85050,418944,289054,63396,49452,118284,37610,2349,172,990,7723,639280
6_K,81810,420578,290285,63564,50795,118284,37610,2349,172,990,7844,638023
6_A,162810,482342,212086,41719,53878,120317,20217,990,172,990,159953,456830
7_8,66420,406032,287102,60084,60527,118264,38250,2347,172,990,7349,664767
7_9,71280,418200,289161,60594,60527,118264,38250,2347,172,990,7484,645035
7_T,146610,500802,294534,53343,42393,120317,20676,1400,172,990,36661,494406
7_J,88290,412000,280854,62286,53096,118288,37583,2348,172,990,7609,648788
7_Q,88290,420348,288658,63396,54497,118284,37610,2349,172,990,7711,629999
7_K,84240,418944,288658,63396,55866,118284,37610,2349,172,990,7699,634096
7_A,166050,480400,210159,41551,52535,120317,20217,990,172,990,165295,453628
8_9,73710,409882,280664,59484,59126,118268,38223,2346,172,990,7535,661904
8_T,141750,490844,290879,52939,42393,120317,20676,1400,172,990,35333,514611
8_J,90720,406192,272753,61176,51695,118292,37556,2347,172,990,7660,662751
8_Q,90720,414540,280557,62286,53096,118288,37583,2348,172,990,7762,643962
8_K,90720,422888,288361,63396,54497,118284,37610,2349,172,990,7864,625173
8_A,173340,480186,208232,41383,51192,120317,20217,990,172,990,165135,450150
9_T,144990,493208,289340,52939,42393,120317,20676,1400,172,990,35480,510399
9_J,93150,396210,267578,60033,51695,118292,37533,2346,172,990,7825,676480
9_Q,93150,404558,275382,61143,53096,118288,37560,2347,172,990,7927,657691
9_K,93150,412906,283186,62253,54497,118284,37587,2348,172,990,8029,638902
9_A,176580,482550,207404,41383,51192,120317,20217,990,172,990,164571,445938
T_J,156330,491066,278596,52032,34677,120341,20644,1399,172,990,29077,526980
T_Q,164430,503388,280613,52436,34677,120341,20644,1399,172,990,30522,502692
T_K,172530,515710,282630,52840,34677,120341,20644,1399,172,990,31967,478404
T_A,0,0,0,0,0,121397,0,0,172,990,1467186,122559
J_Q,92340,376604,244441,61236,45195,118433,36703,2345,172,990,8129,725716
J_K,92340,224714,251849,50978,46596,118429,36730,2346,172,990,177327,709833
J_A,0,107146,135182,24420,44995,120341,19117,989,172,990,125076,1133876
Q_K,89100,227118,253080,47898,47939,118429,36730,2346,172,990,11600,876902
Q_A,0,110316,136281,24588,46338,120341,19117,989,172,990,90359,1162813
K_A,0,113486,137380,24756,47681,120341,19117,989,172,990,72114,1175278
