vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,46170,395384,294837,60124,143234,115589,38268,2253,2838,990,20464,592153
2_4,43740,392844,294045,60124,143234,115589,38268,2253,2838,990,20109,598270
2_5,43740,392844,293352,60124,143234,115589,38268,2253,2838,990,19972,599100
2_6,51030,407552,294988,60634,143234,115589,38268,2253,2838,990,19533,575395
2_7,60750,422826,293509,61216,135903,115617,38264,2253,2838,990,19541,558597
2_8,68040,430876,290493,61456,128572,115645,38260,2253,2838,990,19545,553336
2_9,78570,442100,287450,61638,121241,115673,38256,2253,2838,990,19920,541375
2_T,140940,490844,252197,50539,122244,117650,20586,1292,2838,990,88917,423267
2_J,140940,455228,212480,41027,122244,117650,20217,990,2838,990,174434,423266
2_Q,0,348072,230363,54440,121241,115673,36876,1980,2838,990,40039,759792
2_K,0,315924,232443,52402,128572,115645,36880,1980,2838,990,36446,788184
2_A,0,269432,232545,50202,135903,115617,36884,1980,2838,990,38197,827716
3_4,38880,380676,290897,59614,143234,115589,38268,2253,2838,990,19932,619133
3_5,38880,380676,290204,59614,143234,115589,38268,2253,2838,990,19810,619948
3_6,46170,395384,291840,60124,143234,115589,38268,2253,2838,990,19371,596243
3_7,55890,410658,290361,60706,135903,115617,38264,2253,2838,990,19379,579445
3_8,68040,430876,289701,61456,128572,115645,38260,2253,2838,990,19533,554140
3_9,76140,439560,286658,61638,121241,115673,38256,2253,2838,990,19731,547326
3_T,137700,488480,250478,50539,122244,117650,20586,1292,2838,990,88296,431211
3_J,137700,452864,211652,41027,122244,117650,20217,990,2838,990,172922,431210
3_Q,0,345532,230363,54440,121241,115673,36876,1980,2838,990,39850,762521
3_K,0,313384,232443,52402,128572,115645,36880,1980,2838,990,36257,790913
3_A,0,266892,232545,50202,135903,115617,36884,1980,2838,990,38008,830445
4_5,34020,368508,287155,59104,143234,115589,38268,2253,2838,990,19638,640707
4_6,41310,383216,288791,59614,143234,115589,38268,2253,2838,990,19209,616992
4_7,51030,398490,287312,60196,135903,115617,38264,2253,2838,990,19217,600194
4_8,63180,418708,286652,60946,128572,115645,38260,2253,2838,990,19371,574889
4_9,76140,439560,285965,61638,121241,115673,38256,2253,2838,990,19719,548031
4_T,134460,486116,248858,50539,122244,117650,20586,1292,2838,990,87675,439056
4_J,134460,450500,210824,41027,122244,117650,20217,990,2838,990,171509,439055
4_Q,0,342992,230363,54440,121241,115673,36876,1980,2838,990,39661,765250
4_K,0,310844,232443,52402,128572,115645,36880,1980,2838,990,36068,793642
4_A,0,264988,232545,50202,135903,115617,36884,1980,2838,990,37183,833174
5_6,41310,383216,288197,59614,143234,115589,38268,2253,2838,990,19191,617604
5_7,46170,390364,285593,59854,135903,115617,38264,2253,2838,990,19205,615253
5_8,55890,408676,284933,60604,128572,115645,38260,2253,2838,990,19359,594284
5_9,68040,429528,284246,61296,121241,115673,38256,2253,2838,990,19707,568236
5_T,134460,486116,247337,50539,122244,117650,20586,1292,2838,990,87231,441021
5_J,134460,450500,209996,41027,122244,117650,20217,990,2838,990,170371,441021
