vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,55890,419720,306272,62130,88374,117395,38292,2317,1032,990,12967,606925
2_4,53460,417180,305480,62130,88374,117395,38292,2317,1032,990,12612,613042
2_5,53460,417180,304787,62130,88374,117395,38292,2317,1032,990,12475,613872
2_6,60750,427846,305192,62472,87031,117395,38292,2317,1032,990,11904,597083
2_7,68040,437878,305822,62814,85688,117395,38292,2317,1032,990,11876,580160
2_8,68040,437878,305426,62814,85688,117395,38292,2317,1032,990,11850,580582
2_9,78570,445430,301789,62886,78357,117423,38288,2317,1032,990,11915,573307
2_T,157140,515488,287974,53747,64734,119456,20646,1364,1032,990,57592,432141
2_J,89910,424552,284877,63294,70894,117451,37594,2317,1032,990,12230,607163
2_Q,86670,426186,286108,63462,72237,117451,37594,2317,1032,990,12351,605906
2_K,157140,479236,215398,41719,77562,119456,20217,990,1032,990,166426,432138
2_A,0,338824,236600,54528,81043,117423,36908,1980,1032,990,29745,813231
3_4,48600,405012,302332,61620,88374,117395,38292,2317,1032,990,12435,633905
3_5,48600,405012,301639,61620,88374,117395,38292,2317,1032,990,12313,634720
3_6,55890,415678,302044,61962,87031,117395,38292,2317,1032,990,11742,617931
3_7,63180,425710,302674,62304,85688,117395,38292,2317,1032,990,11714,601008
3_8,68040,437878,304634,62814,85688,117395,38292,2317,1032,990,11838,581386
3_9,76140,442890,300997,62886,78357,117423,38288,2317,1032,990,11726,579258
3_T,153900,513124,285979,53747,64734,119456,20646,1364,1032,990,57247,440085
3_J,87480,422012,284085,63294,70894,117451,37594,2317,1032,990,12041,613114
3_Q,84240,423646,285316,63462,72237,117451,37594,2317,1032,990,12162,611857
3_K,153900,476872,214570,41719,77562,119456,20217,990,1032,990,164914,440082
3_A,0,336284,236600,54528,81043,117423,36908,1980,1032,990,29556,815960
4_5,43740,392844,298590,61110,88374,117395,38292,2317,1032,990,12141,655479
4_6,51030,403510,298995,61452,87031,117395,38292,2317,1032,990,11580,638680
4_7,58320,413542,299625,61794,85688,117395,38292,2317,1032,990,11552,621757
4_8,63180,425710,301585,62304,85688,117395,38292,2317,1032,990,11676,602135
4_9,76140,442890,300304,62886,78357,117423,38288,2317,1032,990,11714,579963
4_T,150660,510760,284083,53747,64734,119456,20646,1364,1032,990,56902,447930
4_J,85050,419472,283392,63294,70894,117451,37594,2317,1032,990,11852,618966
4_Q,81810,421106,284623,63462,72237,117451,37594,2317,1032,990,11973,617709
4_K,150660,474508,213742,41719,77562,119456,20217,990,1032,990,163501,447927
4_A,0,333744,236600,54528,81043,117423,36908,1980,1032,990,29367,818689
5_6,46170,395384,297276,61110,87031,117395,38292,2317,1032,990,11562,653745
5_7,51030,403510,297906,61452,85688,117395,38292,2317,1032,990,11540,641152
5_8,55890,415678,299866,61962,85688,117395,38292,2317,1032,990,11664,621530
5_9,68040,432858,298585,62544,78357,117423,38288,2317,1032,990,11702,600168
5_T,150660,510760,282286,53747,64734,119456,20646,1364,1032,990,56734,449895
5_J,85050,419472,282798,63294,70894,117451,37594,2317,1032,990,11839,619573
5_Q,81810,421106,284029,63462,72237,117451,37594,2317,1032,990,11960,618316
5_K,150660,474508,212914,41719,77562,119456,20217,990,1032,990,162363,449893
5_A,0,333744,236600,54528,81043,117423,36908,1980,1032,990,29354,818702
6_7,54270,394690,289211,60342,84287,117399,38265,2316,1032,990,10777,658725
6_8,59130,406858,291171,60852,84287,117399,38265,2316,1032,990,10905,639099
6_9,71280,424038,289890,61434,76956,117427,38261,2316,1032,990,10943,617737
6_T,146610,500802,278571,53343,64734,119456,20646,1364,1032,990,54458,470298
6_J,88290,421510,282303,63294,69525,117451,37594,2317,1032,990,11194,616804
6_Q,85050,420106,282303,63294,70894,117451,37594,2317,1032,990,11182,620091
6_K,154710,473200,210987,41551,76219,119456,20217,990,1032,990,160559,452393
6_A,0,343908,237347,54870,79700,117423,36908,1980,1032,990,28725,809421
7_8,61560,398540,282575,59742,82886,117403,38238,2315,1032,990,10954,656069
7_9,73710,415720,281294,60324,75555,117431,38234,2315,1032,990,10993,634706
7_T,141750,490844,274955,52939,64734,119456,20646,1364,1032,990,52991,490603
7_J,90720,415702,274103,62184,68124,117455,37567,2316,1032,990,11244,630867
7_Q,90720,424050,281907,63294,69525,117451,37594,2317,1032,990,11346,612078
7_K,161190,473622,209060,41383,74876,119456,20217,990,1032,990,159663,449825
7_A,0,341638,236116,54702,78357,117423,36908,1980,1032,990,29216,813942
8_9,76140,409410,276767,59349,75555,117431,38211,2314,1032,990,11158,643947
8_T,144990,493208,273455,52939,64734,119456,20646,1364,1032,990,53000,486490
8_J,93150,405720,268829,61041,68124,117455,37544,2315,1032,990,11409,644695
8_Q,93150,414068,276633,62151,69525,117451,37571,2316,1032,990,11511,625906
8_K,164430,475986,208232,41383,74876,119456,20217,990,1032,990,159000,445712
8_A,0,344178,236116,54702,78357,117423,36908,1980,1032,990,29380,811238
9_T,148230,483050,264040,51796,58537,119480,20623,1363,1032,990,51890,511273
9_J,95580,411272,254080,60966,60369,117596,37381,2313,1032,990,11490,659235
9_Q,95580,419620,261884,62076,61770,117592,37408,2314,1032,990,11592,640446
9_K,179820,472392,200140,40240,68679,119480,20194,989,1032,990,161537,446811
9_A,0,223022,236071,48510,71040,117447,36908,1980,1032,990,160927,814377
T_J,171720,491288,254379,51125,50821,119504,20591,1362,1032,990,45697,503795
T_Q,179820,503610,256396,51529,50821,119504,20591,1362,1032,990,47142,479507
T_K,0,0,0,0,0,120536,0,0,1032,990,1467188,122558
T_A,0,113486,139588,24756,58537,119480,19546,989,1032,990,31967,1201933
J_Q,94770,229654,230547,50936,53869,117737,36551,2312,1032,990,182162,711744
J_K,0,98270,128351,23277,62482,119504,19094,988,1032,990,122654,1135662
J_A,0,189044,205146,48738,63139,117592,36051,1978,1032,990,8231,1040363
Q_K,0,101440,129450,23445,63825,119504,19094,988,1032,990,88075,1164461
Q_A,0,191448,206377,48906,64482,117592,36051,1978,1032,990,8352,1035096
K_A,0,113486,137380,24756,71365,119480,19117,989,1032,990,19562,1204147
