vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,51030,407552,300541,61272,115804,116492,38280,2285,1935,990,16584,599539
2_4,48600,405012,299749,61272,115804,116492,38280,2285,1935,990,16229,605656
2_5,48600,405012,299056,61272,115804,116492,38280,2285,1935,990,16092,606486
2_6,55890,415678,299461,61614,114461,116492,38280,2285,1935,990,15521,589697
2_7,60750,427846,301322,62124,114461,116492,38280,2285,1935,990,15625,570194
2_8,68040,432858,297586,62196,107130,116520,38276,2285,1935,990,15503,568985
2_9,78570,443448,294669,62436,99799,116548,38272,2285,1935,990,15694,557658
2_T,149040,503166,269352,52503,93489,118553,20616,1328,1935,990,73628,427704
2_J,89910,425714,278027,62786,92336,116576,37578,2285,1935,990,16193,587974
2_Q,149040,467550,214119,41431,99903,118553,20217,990,1935,990,169874,427702
2_K,0,348712,234520,54768,101142,116548,36892,1980,1935,990,33810,781007
2_A,0,305400,234622,52162,108473,116520,36896,1980,1935,990,35561,817765
3_4,43740,392844,296601,60762,115804,116492,38280,2285,1935,990,16052,626519
3_5,43740,392844,295908,60762,115804,116492,38280,2285,1935,990,15930,627334
3_6,51030,403510,296313,61104,114461,116492,38280,2285,1935,990,15359,610545
3_7,55890,415678,298174,61614,114461,116492,38280,2285,1935,990,15463,591042
3_8,68040,432858,296794,62196,107130,116520,38276,2285,1935,990,15491,569789
3_9,76140,440908,293877,62436,99799,116548,38272,2285,1935,990,15505,563609
3_T,145800,500802,267495,52503,93489,118553,20616,1328,1935,990,73145,435648
3_J,87480,423174,277235,62786,92336,116576,37578,2285,1935,990,16004,593925
3_Q,145800,465186,213291,41431,99903,118553,20217,990,1935,990,168362,435646
3_K,0,346172,234520,54768,101142,116548,36892,1980,1935,990,33621,783736
3_A,0,302860,234622,52162,108473,116520,36896,1980,1935,990,35372,820494
4_5,38880,380676,292859,60252,115804,116492,38280,2285,1935,990,15758,648093
4_6,46170,391342,293264,60594,114461,116492,38280,2285,1935,990,15197,631294
4_7,51030,403510,295125,61104,114461,116492,38280,2285,1935,990,15301,611791
4_8,63180,420690,293745,61686,107130,116520,38276,2285,1935,990,15329,590538
4_9,76140,440908,293184,62436,99799,116548,38272,2285,1935,990,15493,564314
4_T,142560,498438,265737,52503,93489,118553,20616,1328,1935,990,72662,443493
4_J,85050,420634,276542,62786,92336,116576,37578,2285,1935,990,15815,599777
4_Q,142560,462822,212463,41431,99903,118553,20217,990,1935,990,166949,443491
4_K,0,343632,234520,54768,101142,116548,36892,1980,1935,990,33432,786465
4_A,0,300320,234622,52162,108473,116520,36896,1980,1935,990,35183,823223
5_6,41310,383216,291545,60252,114461,116492,38280,2285,1935,990,15179,646359
5_7,46170,395384,293406,60762,114461,116492,38280,2285,1935,990,15289,626850
