vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
3_4,94245,422598,288243,67605,33816,66247,36828,2349,0,44,12370,687959
3_5,91500,419742,287379,67605,33816,66205,36828,2349,0,44,12168,694668
3_6,88755,413502,307764,67677,33660,66163,36828,2349,0,44,11645,683917
3_7,86010,421536,312246,68955,38193,66121,36828,2349,0,44,11443,668579
3_8,92415,429894,312948,69327,43977,67025,36828,2349,0,44,11241,646256
3_9,92415,429894,312516,69327,43977,67025,36828,2349,0,44,11229,646700
3_T,95160,427992,310791,69138,42330,67067,36828,2349,0,0,11245,649404
3_J,97905,430848,310575,69138,42330,67109,36828,2349,0,0,11423,643799
3_Q,100650,433704,310467,69138,42330,67151,36828,2349,0,0,11601,638086
3_K,103395,436560,310467,69138,42330,67193,36828,2349,0,0,11779,632265
4_5,86010,407190,283872,67044,33816,65302,36828,2349,0,44,11994,717855
4_6,83265,400950,304365,67116,33660,65260,36828,2349,0,44,11471,706996
4_7,80520,408984,308847,68394,38193,65218,36828,2349,0,44,11269,691658
4_8,86925,417342,309549,68766,43977,66122,36828,2349,0,44,11067,669335
4_9,92415,429894,311760,69327,43977,67025,36828,2349,0,44,11217,647468
4_T,92415,425136,310035,69138,42330,67025,36828,2349,0,0,11043,656005
4_J,95160,427992,309819,69138,42330,67067,36828,2349,0,0,11221,650400
4_Q,97905,430848,309711,69138,42330,67109,36828,2349,0,0,11399,644687
4_K,100650,433704,309711,69138,42330,67151,36828,2349,0,0,11577,638866
5_6,77775,388398,300966,66555,33660,64357,36828,2349,0,44,11297,730075
5_7,75030,396432,305448,67833,38193,64315,36828,2349,0,44,11095,714737
5_8,81435,404790,306150,68205,43977,65219,36828,2349,0,44,10893,692414
5_9,86925,417342,308361,68766,43977,66122,36828,2349,0,44,11043,670547
5_T,92415,425136,309279,69138,42330,67025,36828,2349,0,0,11031,656773
5_J,92415,425136,309063,69138,42330,67025,36828,2349,0,0,11019,657001
5_Q,95160,427992,308955,69138,42330,67067,36828,2349,0,0,11197,651288
5_K,97905,416808,308955,68711,42330,67109,36828,2349,0,0,25842,645467
6_7,69540,387264,307263,67560,8157,63412,36828,2349,0,44,10492,759395
6_8,66795,384408,306723,67560,40575,63370,36828,2349,946,44,10290,732416
6_9,72285,396960,308934,68121,40575,64273,36828,2349,946,44,10440,710549
6_T,77775,404754,309852,68493,38928,65176,36828,2349,946,0,10428,696775
6_J,83265,417306,312279,69054,38928,66079,36828,2349,946,0,10578,674692
6_Q,83265,406776,312171,68688,38928,66079,36828,2349,946,0,21462,674812
6_K,86010,389274,312171,67956,38928,66121,36828,2349,946,0,31834,679887
7_8,61305,371856,303540,66999,46359,62467,36828,2349,946,44,10116,749495
7_9,66795,384408,305751,67560,46359,63370,36828,2349,946,44,10266,727628
7_T,72285,392202,306669,67932,44712,64273,36828,2349,946,0,10254,713854
7_J,77775,394224,309096,68127,44712,65176,36828,2349,946,0,21300,691771
7_Q,83265,386418,311631,67956,44712,66079,36828,2349,946,0,31644,680476
7_K,83265,356232,311631,66675,44712,66079,36828,2349,946,0,42009,701578
8_9,61305,371856,302676,66999,53601,62467,36828,2349,989,44,10092,743098
8_T,66795,369120,303594,67066,51954,63370,36828,2349,989,0,20915,729324
8_J,72285,361314,306021,66834,51954,64273,36828,2349,989,0,31320,718137
8_Q,77775,343680,308556,66480,51954,65176,36828,2349,989,0,41481,717036
8_K,83265,323940,311199,64967,51954,66079,36828,2349,989,0,44530,726204
9_T,60390,340266,302028,65901,51954,62466,36828,2349,989,0,32050,757083
9_J,65880,321930,304455,65364,51954,63369,36828,2349,989,0,42394,756792
9_Q,71370,302190,306990,64034,51954,64272,36828,2349,989,0,44558,766770
9_K,76860,284556,309633,62460,51954,65175,36828,2349,989,0,43029,778471
T_J,68625,275538,293571,62051,50253,63411,36828,2349,989,0,43047,815642
T_Q,74115,258606,296106,60477,50253,64314,36828,2349,989,0,40114,828153
T_K,79605,247992,298749,58476,50253,65217,36828,2349,989,0,33671,838175
J_Q,76860,242508,295998,57976,50253,64356,36828,2349,989,0,30830,853357
J_K,82350,238914,298641,55548,50253,65259,36828,2349,989,0,24387,856786
Q_K,85095,240366,298641,52254,50253,65301,36828,2349,989,0,14401,865827
