vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,92415,489831,320532,65490,58641,67025,38208,2253,215,44,26538,551112
2_4,96075,487365,318267,65301,57183,67068,38208,2253,172,44,26364,554004
2_6,99735,459693,310200,66534,57426,67111,37518,2253,129,44,25749,585912
2_7,99735,465177,316986,67578,57507,67111,37518,2253,86,44,25710,572599
2_8,97905,461709,315045,67389,57534,67109,37518,2253,87,44,25536,580175
2_9,98820,461709,314613,67389,56619,67110,37518,2253,86,44,25524,580619
2_T,103395,462762,314289,67389,49914,67154,37518,2253,86,0,25863,581681
2_Q,0,249798,265389,53487,58803,0,36828,1980,173,0,33480,1012366
2_K,0,252540,266790,53676,60261,0,36828,1980,216,0,14816,1025197
2_A,0,245766,259356,52632,60180,0,36828,1980,259,0,11019,1044284
3_4,96075,475029,308136,64068,55644,67068,38208,2253,172,44,26217,579390
3_6,99735,450177,300501,65301,55887,67111,37518,2253,129,44,25602,608046
3_7,99735,455661,307287,66345,55968,67111,37518,2253,86,44,25563,594733
3_8,102480,463275,314181,67389,56049,67153,37518,2253,43,44,25524,576395
3_9,102480,459807,312348,67200,55161,67153,37518,2253,43,44,25350,582947
3_T,107055,460860,312024,67200,48456,67197,37518,2253,43,0,25689,584009
3_Q,0,246492,263988,53298,57345,0,36828,1980,130,0,34008,1018235
3_K,0,249234,265389,53487,58803,0,36828,1980,173,0,14642,1031768
3_A,0,242460,257955,52443,58722,0,36828,1980,216,0,10845,1050855
4_6,99735,440661,290910,64068,54348,67111,37518,2253,129,44,25455,630072
4_7,99735,446145,297696,65112,54429,67111,37518,2253,86,44,25416,616759
4_8,102480,453759,304590,66156,54510,67153,37518,2253,43,44,25377,598421
4_9,106140,461373,311592,67200,53865,67196,37518,2253,0,44,25338,579785
4_T,110715,458958,309867,67011,46998,67240,37518,2253,0,0,25515,586229
4_Q,0,243186,262587,53109,55887,0,36828,1980,87,0,33834,1024806
4_K,0,245928,263988,53298,57345,0,36828,1980,130,0,14468,1038339
4_A,0,239154,256554,52254,57264,0,36828,1980,173,0,10671,1057426
6_7,89670,393513,274116,63696,54537,66164,36828,2253,130,44,24693,706660
6_8,89670,396177,280578,64740,54618,66164,36828,2253,87,44,24654,696491
6_9,92415,400971,287148,65784,53973,66206,36828,2253,44,44,24615,682023
6_T,96990,366642,293826,65547,48645,66250,36828,2253,44,0,64818,670461
6_Q,0,198792,247683,53109,56076,0,36138,1980,88,0,17915,1100523
6_K,0,201534,249084,53298,57534,0,36138,1980,131,0,13718,1098887
6_A,0,205002,250485,53487,57507,0,36138,1980,130,0,10056,1097519
7_8,86010,384615,272172,63696,54537,66121,36828,2253,130,44,24669,721229
7_9,88755,352203,278742,63459,53892,66163,36828,2253,87,44,63117,706761
7_T,93330,327000,285420,63222,48564,66207,36828,2253,87,0,55707,733686
7_Q,0,201534,249084,53298,56049,0,36138,1980,87,0,18065,1096069
7_K,0,200808,249084,53298,57534,0,36138,1980,131,0,13706,1099625
7_A,0,201372,249084,53298,57534,0,36138,1980,131,0,9882,1102885
8_9,86010,312561,270444,61134,52896,66121,36828,2253,129,44,54708,769176
8_T,90585,287358,277122,61385,47568,66165,36828,2253,129,0,55234,787677
8_Q,0,194196,241650,52254,55968,0,36138,1980,130,0,18080,1111908
8_K,0,204276,250485,53487,57507,0,36138,1980,130,0,13856,1094445
8_A,0,201372,249084,53298,57534,0,36138,1980,131,0,9870,1102897
9_T,90585,248442,269040,57474,40971,66165,36828,2253,129,0,56361,844056
9_Q,0,186858,234216,51210,54972,0,36138,1980,172,0,18095,1128663
9_K,0,196938,243051,52443,56511,0,36138,1980,172,0,13871,1111200
9_A,0,204840,250485,53487,56592,0,36138,1980,129,0,10020,1098633
T_Q,0,176052,225489,49977,48213,0,36138,1980,172,0,18110,1156173
T_K,0,186132,234324,51210,49752,0,36138,1980,172,0,13886,1138710
T_A,0,194034,241758,52254,49833,0,36138,1980,129,0,10035,1126143
Q_K,0,148830,219579,51399,58641,0,35448,1980,259,0,14024,1182144
Q_A,0,153912,226581,52443,58722,0,35448,1980,216,0,10173,1172829
K_A,0,156090,227982,52632,60180,0,35448,1980,259,0,10323,1167410
