vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,79605,495336,334089,67394,54396,66036,38232,2285,215,44,19313,555359
2_4,82350,492870,331824,67205,52938,66078,38232,2285,172,44,19139,559167
2_5,86010,490404,329667,67016,51480,66121,38232,2285,129,44,18965,561951
2_7,98820,471690,322383,68621,51723,67110,37542,2285,86,44,18485,573515
2_8,95160,466092,320442,68432,51750,67067,37542,2285,87,44,18311,585092
2_9,94245,466092,320010,68432,51750,67066,37542,2285,87,44,18299,586452
2_T,96075,465366,319686,68432,50646,67068,37542,2285,129,0,18287,586788
2_J,96075,469398,320871,68621,45588,67068,37542,2285,129,0,18437,586290
2_K,0,269910,268947,54292,54477,0,36852,1980,216,0,38248,987382
2_A,0,256410,269511,53865,55935,0,36852,1980,259,0,21462,1016030
3_4,82350,480534,321693,65972,51399,66078,38232,2285,172,44,18992,584553
3_5,86010,478068,319536,65783,49941,66121,38232,2285,129,44,18818,587337
3_7,98820,462174,312684,67388,50184,67110,37542,2285,86,44,18338,595649
3_8,98820,467658,319578,68432,50265,67110,37542,2285,43,44,18299,582228
3_9,96990,464190,317745,68243,50292,67108,37542,2285,44,44,18125,589696
3_T,98820,463464,317421,68243,49188,67110,37542,2285,86,0,18113,590032
3_J,98820,467496,318606,68432,44130,67110,37542,2285,86,0,18263,589534
3_K,0,267306,267546,54103,53019,0,36852,1980,173,0,38776,992549
3_A,0,252378,268110,53676,54477,0,36852,1980,216,0,21288,1023327
4_5,86010,465732,309513,64550,48402,66121,38232,2285,129,44,18671,612615
4_7,98820,452658,303093,66155,48645,67110,37542,2285,86,44,18191,617675
4_8,98820,458142,309987,67199,48726,67110,37542,2285,43,44,18152,604254
4_9,101565,465756,316989,68243,48807,67152,37542,2285,0,44,18113,585808
4_T,102480,461562,315264,68054,47730,67153,37542,2285,43,0,17939,592252
4_J,102480,465594,316449,68243,42672,67153,37542,2285,43,0,18089,591754
4_K,0,264000,266145,53914,51561,0,36852,1980,130,0,39304,998418
4_A,0,249072,266709,53487,53019,0,36852,1980,173,0,21114,1029898
5_7,98820,443142,293610,64922,47106,67110,37542,2285,86,44,18044,639593
5_8,98820,448626,300504,65966,47187,67110,37542,2285,43,44,18005,626172
5_9,101565,456240,307506,67010,47268,67152,37542,2285,0,44,17966,607726
5_T,106140,463128,314616,68054,46434,67196,37542,2285,0,0,17927,588982
5_J,106140,463692,314400,68054,41214,67196,37542,2285,0,0,17915,593866
5_K,0,246654,264744,53298,50103,0,36852,1980,87,0,53597,1004989
5_A,0,245766,265308,53298,51561,0,36852,1980,130,0,10044,1047365
7_8,93330,398124,277032,64550,47295,66207,36852,2285,86,44,17283,709216
7_9,93330,400788,283602,65594,47376,66207,36852,2285,43,44,17244,698939
7_T,96990,404856,290280,66638,46542,66250,36852,2285,43,0,17205,684363
7_J,96990,341916,298467,65309,42861,66250,36852,2285,43,0,90090,671241
7_K,0,202986,249732,53298,50292,0,36162,1980,87,0,12957,1104810
7_A,0,205728,251133,53487,51750,0,36162,1980,87,0,9338,1102639
8_9,89670,389226,275304,64550,47295,66164,36852,2285,86,44,17259,723569
8_T,93330,324498,281982,63764,46461,66207,36852,2285,86,0,87846,708993
8_J,93330,300870,290169,62557,42780,66207,36852,2285,86,0,49939,767229
8_K,0,205728,251133,53487,50265,0,36162,1980,86,0,13107,1100356
8_A,0,205002,251133,53487,51750,0,36162,1980,88,0,9325,1103377
9_T,90585,283452,273792,60280,45465,66165,36852,2285,128,0,49129,804171
9_J,90585,263334,281979,59439,41784,66165,36852,2285,128,0,46810,822943
9_K,0,198390,243699,52443,50184,0,36162,1980,129,0,13122,1116195
9_A,0,208470,252534,53676,51723,0,36162,1980,87,0,9475,1098197
T_J,90585,225276,272604,55766,35025,66165,36852,2285,128,0,43573,884045
T_K,0,186858,234864,51210,49026,0,36162,1980,171,0,13137,1138896
T_A,0,196938,243699,52443,50565,0,36162,1980,129,0,9490,1120898
J_K,0,190326,236265,51399,43968,0,36162,1980,171,0,13287,1138746
J_A,0,200406,245100,52632,45507,0,36162,1980,129,0,9640,1120748
K_A,0,159720,229923,52821,54396,0,35472,1980,216,0,9778,1167998
