vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,63135,465123,328863,64998,112071,63327,38220,2221,2021,44,35969,536312
2_4,63135,460527,326598,64809,110613,63327,38220,2221,1978,44,35795,545037
2_5,63135,460527,325842,64809,110613,63327,38220,2221,1978,44,35783,545805
2_6,80520,482637,323862,65454,102447,65218,38220,2221,1032,44,35207,515442
2_8,98820,463413,305388,66099,94470,67110,37530,2221,87,44,35183,541939
2_9,98820,463062,305064,66099,94470,67110,37530,2221,87,44,35522,542275
2_J,0,287430,262815,54480,101883,0,36840,1980,1076,0,55365,910435
2_Q,0,260070,266088,53725,104829,0,36840,1980,2022,0,42457,944293
2_K,0,246732,266088,53298,110613,0,36840,1980,2022,0,27843,966888
2_A,0,242538,265251,53109,112071,0,36840,1980,2065,0,10254,988196
3_4,63135,447627,316467,63576,109074,63327,38220,2221,1978,44,35648,570987
3_5,63135,447627,315711,63576,109074,63327,38220,2221,1978,44,35636,571755
3_6,80520,469737,313731,64221,100908,65218,38220,2221,1032,44,35060,541392
3_8,98820,462849,304524,66099,92985,67110,37530,2221,43,44,35171,544908
3_9,98820,459030,302799,65910,93012,67110,37530,2221,44,44,35348,550436
3_J,0,283398,261414,54291,100425,0,36840,1980,1033,0,55191,917732
3_Q,0,256038,264687,53536,103371,0,36840,1980,1979,0,42283,951590
3_K,0,242700,264687,53109,109155,0,36840,1980,1979,0,27669,974185
3_A,0,238506,263850,52920,110613,0,36840,1980,2022,0,10080,995493
4_5,63135,435291,305688,62343,107535,63327,38220,2221,1978,44,35489,597033
4_6,80520,457401,303708,62988,99369,65218,38220,2221,1032,44,34913,566670
4_8,98820,453333,294933,64866,91446,67110,37530,2221,43,44,35024,566934
4_9,102480,460596,302043,65910,91527,67153,37530,2221,0,44,35336,547464
4_J,0,280794,260013,54102,98967,0,36840,1980,990,0,55719,922899
4_Q,0,252732,263286,53347,101913,0,36840,1980,1936,0,42811,957459
4_K,0,239394,263286,52920,107697,0,36840,1980,1936,0,27495,980756
4_A,0,235200,262449,52731,109155,0,36840,1980,1979,0,9906,1002064
5_6,80520,447321,298335,61899,99369,65218,38220,2221,1032,44,34901,583224
5_8,98820,439059,288723,63588,91446,67110,37530,2221,43,44,35012,588708
5_9,102480,446322,295833,64632,91527,67153,37530,2221,0,44,35324,569238
5_J,0,280794,260013,54102,98967,0,36840,1980,990,0,55707,922911
5_Q,0,239394,263286,52920,101913,0,36840,1980,1936,0,56564,957471
5_K,0,239394,263286,52920,107697,0,36840,1980,1936,0,13718,994533
5_A,0,235200,262449,52731,109155,0,36840,1980,1979,0,9894,1002076
6_8,102480,445299,271608,63516,82824,67153,37530,2221,43,44,34167,605419
6_9,106140,452562,278718,64560,82905,67196,37530,2221,0,44,34479,585949
6_J,0,242466,259986,52722,90990,0,36840,1980,0,0,96967,930353
6_Q,0,238836,259149,52821,93747,0,36840,1980,990,0,17205,1010736
6_K,0,238836,259149,52821,99531,0,36840,1980,990,0,12846,1009311
6_A,0,241578,260550,53010,100989,0,36840,1980,1033,0,9183,1007141
8_9,105225,300480,238833,59318,74391,67195,36840,2221,44,44,142621,685092
8_J,0,194280,221502,51750,82476,0,36150,1980,44,0,24289,1099833
8_Q,0,194280,237864,51822,86994,0,36150,1980,44,0,17397,1085773
8_K,0,205170,242994,53100,91527,0,36150,1980,44,0,13038,1068301
8_A,0,202992,242994,53100,93012,0,36150,1980,88,0,9024,1072964
9_J,0,186942,214176,50706,82395,0,36150,1980,87,0,24304,1115564
9_Q,0,186942,230538,50778,86913,0,36150,1980,87,0,17412,1101504
9_K,0,197832,235668,52056,91446,0,36150,1980,87,0,13053,1084032
9_A,0,206460,244395,53289,92985,0,36150,1980,87,0,9174,1067784
J_Q,0,138666,209910,49644,89052,0,35460,1980,1076,0,17550,1168966
J_K,0,145926,214203,50733,98805,0,35460,1980,1076,0,13191,1150930
J_A,0,151734,222606,51966,100344,0,35460,1980,1076,0,9312,1137826
Q_K,0,142296,217476,50832,101751,0,35460,1980,2022,0,13314,1147173
Q_A,0,148104,225879,52065,103290,0,35460,1980,2022,0,9435,1134069
K_A,0,148104,225879,52065,109074,0,35460,1980,2022,0,9423,1128297
